,nct_id,canonical_BioLinkBERT-base_interventions,snomed_termid,linkbert_snomed_term_canonical_interventions,linkbert_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
2733,NCT00183274,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2745,NCT00183677,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2747,NCT00184106,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2752,NCT00185575,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2757,NCT00187174,everolimus,428698007,Everolimus (substance),0.0024,"[771577000, 59431004, 372823004]","['Lactam (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)']",Lactam (substance)
2772,NCT00188643,venlafaxine xr,372490001,Venlafaxine (substance),6.1785,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2782,NCT00190866,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2790,NCT00191061,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2820,NCT00195013,paclitaxel,387374002,Paclitaxel (substance),0.0074,"[415710007, 373244000]","['Terpene (substance)', 'Immunologic agent (substance)']",Terpene (substance)
2823,NCT00195598,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2824,NCT00195598,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2833,NCT00196690,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
2846,NCT00198094,alprazolam,386983007,Alprazolam (substance),0.0031,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
2877,NCT00199511,mannitol,387168006,Mannitol (substance),0.0,"[226355009, 372695000]","['Nutrients (substance)', 'Diuretic (substance)']",Nutrients (substance)
2896,NCT00201994,tolvaptan,443058000,Tolvaptan (substance),0.0068,"[372695000, 413639003]","['Diuretic (substance)', 'Benzazepine (substance)']",Diuretic (substance)
2904,NCT00202163,prasterone,78316004,Dehydroepiandrosterone (substance),0.0065,"[304275008, 312263009]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Sex hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
2909,NCT00202293,benzodiazepines,372664007,Benzodiazepine (substance),5.7928,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
2923,NCT00202449,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
2929,NCT00202930,anti-cd20 antibody,386919002,Rituximab (substance),10.145,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
2930,NCT00202930,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
2947,NCT00203073,mitoxantrone,386913001,Mitoxantrone (substance),0.0,"[372723005, 59431004, 373244000]","['Antineoplastic antibiotic (substance)', 'Ketone (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
2966,NCT00203255,soy isoflavones,713310002,Glycine max isoflavone (substance),5.1198,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
2975,NCT00203320,etanercept,387045004,Etanercept (substance),0.0014,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
2977,NCT00203359,etanercept,387045004,Etanercept (substance),0.0014,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
2995,NCT00204074,17-beta estradiol,126172005,Estradiol (substance),0.0,"[304276009, 312263009]","['Estradiol and/or estradiol derivative (substance)', 'Sex hormone (substance)']",Estradiol and/or estradiol derivative (substance)
3004,NCT00205179,isoflavone,713310002,Glycine max isoflavone (substance),9.0505,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
3005,NCT00205179,isoflavones,713310002,Glycine max isoflavone (substance),9.2129,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
3006,NCT00205179,soy isoflavone,713310002,Glycine max isoflavone (substance),1.9142,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
3007,NCT00205491,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3023,NCT00205712,ketamine,373464007,Ketamine (substance),0.0,"[373469002, 59431004, 373265006]","['Hallucinogenic agent (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Hallucinogenic agent (substance)
3047,NCT00206544,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
3050,NCT00206557,dyhydroprogesterone,126093005,Dydrogesterone (substance),7.7341,"[126090008, 312263009]","['Pregnane (substance)', 'Sex hormone (substance)']",Pregnane (substance)
3051,NCT00206557,estradiol,126172005,Estradiol (substance),0.0,"[304276009, 312263009]","['Estradiol and/or estradiol derivative (substance)', 'Sex hormone (substance)']",Estradiol and/or estradiol derivative (substance)
3058,NCT00206570,estradiol,126172005,Estradiol (substance),0.0,"[304276009, 312263009]","['Estradiol and/or estradiol derivative (substance)', 'Sex hormone (substance)']",Estradiol and/or estradiol derivative (substance)
3063,NCT00206765,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3065,NCT00206947,donepez,386855006,Donepezil (substance),6.1105,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
3077,NCT00207727,human monoclonal antibody to il-12p40,716046009,Mepolizumab (substance),11.672,"[68498002, 373244000]","['Antibody (substance)', 'Immunologic agent (substance)']",Antibody (substance)
3111,NCT00209118,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3121,NCT00210483,almotriptan,363569003,Almotriptan (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3122,NCT00210483,almotriptan malate,129478004,Almotriptan malate (substance),0.005,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3123,NCT00210483,amotriptan malate,129478004,Almotriptan malate (substance),6.8945,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3124,NCT00210496,almotriptan,363569003,Almotriptan (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3125,NCT00210496,almotriptan malate,129478004,Almotriptan malate (substance),0.005,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3127,NCT00210509,almotriptan,363569003,Almotriptan (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3128,NCT00210509,almotriptan malate,129478004,Almotriptan malate (substance),0.005,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3143,NCT00210821,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
3146,NCT00210847,acetaminophen,387517004,Paracetamol (substance),0.0082,"[417551008, 373265006]","['Acetamide (substance)', 'Analgesic (substance)']",Acetamide (substance)
3158,NCT00211367,anecortave acetate,79380007,Hydrocortisone acetate (substance),8.442,"[304275008, 79580006]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Adrenal hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3188,NCT00212823,almotriptan,363569003,Almotriptan (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3189,NCT00212823,almotriptan malate,129478004,Almotriptan malate (substance),0.005,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
3199,NCT00214500,migalastat,765340000,Migalastat (substance),0.0,"[226355009, 123682001]","['Nutrients (substance)', 'Piperidine (substance)']",Nutrients (substance)
3200,NCT00214500,migalastat hydrochloride,765341001,Migalastat hydrochloride (substance),0.0,"[226355009, 123682001]","['Nutrients (substance)', 'Piperidine (substance)']",Nutrients (substance)
3211,NCT00215163,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3236,NCT00216411,abobotulinumtoxina,444619001,AbobotulinumtoxinA (substance),0.0028,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
3257,NCT00216736,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3278,NCT00218218,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3281,NCT00218231,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3285,NCT00218257,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
3293,NCT00218439,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3308,NCT00219544,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3312,NCT00219908,mitoxantrone,386913001,Mitoxantrone (substance),0.0,"[372723005, 59431004, 373244000]","['Antineoplastic antibiotic (substance)', 'Ketone (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
3317,NCT00220584,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
3319,NCT00220675,r-huepo,96204007,Nordoxepin (substance),12.2578,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
3362,NCT00222625,activated recombinant factor vii,898200000,Recombinant coagulation factor VII (substance),4.2507,"[102794000, 420220000, 407073003]","['Proenzyme (substance)', 'Blood derivative (substance)', 'Recombinant protein (substance)']",Proenzyme (substance)
3363,NCT00222625,recombinant factor viia,116066006,Eptacog alfa (substance),3.3074,"[102794000, 420220000, 407073003]","['Proenzyme (substance)', 'Blood derivative (substance)', 'Recombinant protein (substance)']",Proenzyme (substance)
3391,NCT00224302,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3425,NCT00226642,serotonin,33635003,Serotonin (substance),0.0059,"[44719008, 35069000]","['Mediator of immune response (substance)', 'Neurotransmitter (substance)']",Mediator of immune response (substance)
3429,NCT00226655,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3433,NCT00226668,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3439,NCT00227266,levocarnitine,372601001,Levocarnitine (substance),0.0,"[226355009, 373267003]","['Nutrients (substance)', 'Antilipemic agent (substance)']",Nutrients (substance)
3442,NCT00227292,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3447,NCT00227812,bupropion hydrochloride,395733003,Bupropion hydrochloride (substance),0.0,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3450,NCT00227994,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
3464,NCT00228605,oravescent fentanyl,373492002,Fentanyl (substance),8.7462,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
3465,NCT00228605,oravescent fentanyl citrate,29190006,Fentanyl citrate (substance),7.0796,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
3471,NCT00229333,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3477,NCT00230568,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
3478,NCT00230568,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
3484,NCT00230776,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3488,NCT00231335,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3503,NCT00232141,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3515,NCT00233025,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3520,NCT00233519,mecasermin rinfabate,422284004,Mecasermin rinfabate (substance),0.0,"[417176000, 102679006]","['Growth substance (substance)', 'Insulin-like growth factor binding protein 3 (substance)']",Growth substance (substance)
3523,NCT00233519,rhigfbp-3,422284004,Mecasermin rinfabate (substance),12.2619,"[417176000, 102679006]","['Growth substance (substance)', 'Insulin-like growth factor binding protein 3 (substance)']",Growth substance (substance)
3529,NCT00234312,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3535,NCT00234533,nutropinaq,417550009,Palifermin (substance),12.452,"[417176000, 407073003]","['Growth substance (substance)', 'Recombinant protein (substance)']",Growth substance (substance)
3605,NCT00236925,hydrocortisone,396458002,Hydrocortisone (substance),0.0,"[304275008, 79580006]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Adrenal hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3679,NCT00240812,pseudoephedrine hcl,12177002,Pseudoephedrine hydrochloride (substance),2.7423,"[372580007, 417901007]","['Bronchodilator (substance)', 'Decongestant (substance)']",Bronchodilator (substance)
3684,NCT00241254,methylprednisolone,116593003,Methylprednisolone (substance),0.0062,"[304275008, 126090008]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3688,NCT00242008,dopamine,412383006,Dopamine (substance),0.0052,"[35069000, 34582008]","['Neurotransmitter (substance)', 'Catecholamine (substance)']",Neurotransmitter (substance)
3705,NCT00243789,ptx,387374002,Paclitaxel (substance),11.553,"[415710007, 373244000]","['Terpene (substance)', 'Immunologic agent (substance)']",Terpene (substance)
3724,NCT00244361,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
3775,NCT00248118,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3777,NCT00248209,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3780,NCT00248612,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3796,NCT00249171,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
3806,NCT00249444,mirtazapine,386847004,Mirtazapine (substance),0.0,"[372720008, 413639003]","['Antidepressant (substance)', 'Benzazepine (substance)']",Antidepressant (substance)
3807,NCT00249483,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3809,NCT00249509,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
3819,NCT00249769,measles vaccine,240484000,Modified measles (disorder),6.6,"[34014006, 27550009]","['Viral disease (disorder)', 'Disorder of blood vessel (disorder)']",Viral disease (disorder)
3821,NCT00250081,onabotulinumtoxina,444627005,OnabotulinumtoxinA (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
3862,NCT00252343,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3863,NCT00252343,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3894,NCT00253266,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3895,NCT00253266,venlafaxine-hcl,108434005,Venlafaxine hydrochloride (substance),2.0611,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3906,NCT00254735,clomipramine,372903001,Clomipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
3923,NCT00254917,pentavac,387154004,Pentostatin (substance),13.143,"[372723005, 373244000]","['Antineoplastic antibiotic (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
3930,NCT00254969,pentavac,387154004,Pentostatin (substance),13.143,"[372723005, 373244000]","['Antineoplastic antibiotic (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
3935,NCT00255021,hepatitis b vaccine,66071002,Viral hepatitis type B (disorder),7.2348,"[34014006, 128241005]","['Viral disease (disorder)', 'Inflammatory disease of liver (disorder)']",Viral disease (disorder)
3937,NCT00255021,pentavac,387154004,Pentostatin (substance),13.143,"[372723005, 373244000]","['Antineoplastic antibiotic (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
3946,NCT00255047,pentacel,387041008,Pentastarch (substance),13.1102,"[373545003, 226355009, 33463005]","['Replacement agent (substance)', 'Nutrients (substance)', 'Liquid substance (substance)']",Replacement agent (substance)
3954,NCT00255554,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
3973,NCT00257010,almotriptan malate,129478004,Almotriptan malate (substance),0.005,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
4010,NCT00259337,pentavac,387154004,Pentostatin (substance),13.143,"[372723005, 373244000]","['Antineoplastic antibiotic (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
4017,NCT00259883,benzodiazepine anxiolytics,372616003,Benzodiazepine sedative (substance),6.0219,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
4018,NCT00259883,benzodiazepines,372664007,Benzodiazepine (substance),5.7928,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
4019,NCT00259883,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4021,NCT00259974,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
4026,NCT00260325,vadecoxib,409135005,Parecoxib (substance),6.822,"[429343000, 373265006]","['Isoxazole (substance)', 'Analgesic (substance)']",Isoxazole (substance)
4027,NCT00260325,valdecoxib,385584001,Valdecoxib (substance),0.0059,"[429343000, 363549008, 373265006]","['Isoxazole (substance)', 'Sulfone (substance)', 'Analgesic (substance)']",Isoxazole (substance)
4030,NCT00260624,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4049,NCT00261729,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4053,NCT00262600,dabigatran etexilate,700029008,Dabigatran etexilate (substance),0.0,"[372862008, 420898009, 420220000]","['Anticoagulant (substance)', 'Benzimidazole (substance)', 'Blood derivative (substance)']",Anticoagulant (substance)
4054,NCT00262600,warfarin,372756006,Warfarin (substance),0.0,"[372862008, 255640000]","['Anticoagulant (substance)', 'Biocide (substance)']",Anticoagulant (substance)
4063,NCT00264485,fentanyl,373492002,Fentanyl (substance),0.0063,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
4064,NCT00264485,fentanyl hcl,29190006,Fentanyl citrate (substance),8.9861,"[123682001, 373265006]","['Piperidine (substance)', 'Analgesic (substance)']",Piperidine (substance)
4069,NCT00264875,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
4070,NCT00264888,ptc124,54378000,Coagulation factor IX (substance),10.7248,"[102794000, 420220000]","['Proenzyme (substance)', 'Blood derivative (substance)']",Proenzyme (substance)
4071,NCT00264914,satavaptan,443058000,Tolvaptan (substance),11.4688,"[372695000, 413639003]","['Diuretic (substance)', 'Benzazepine (substance)']",Diuretic (substance)
4073,NCT00264927,satavaptan,443058000,Tolvaptan (substance),11.4688,"[372695000, 413639003]","['Diuretic (substance)', 'Benzazepine (substance)']",Diuretic (substance)
4094,NCT00266409,alprazolam,386983007,Alprazolam (substance),0.0031,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
4102,NCT00266747,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4103,NCT00266747,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
4110,NCT00267813,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
4131,NCT00271206,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
4143,NCT00271791,prednisone,116602009,Prednisone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
4147,NCT00272025,escitalopram,400447003,Escitalopram (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4161,NCT00273039,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
4167,NCT00273364,mitoxantrone,386913001,Mitoxantrone (substance),0.0,"[372723005, 59431004, 373244000]","['Antineoplastic antibiotic (substance)', 'Ketone (substance)', 'Immunologic agent (substance)']",Antineoplastic antibiotic (substance)
4168,NCT00273364,natalizumab,414805007,Natalizumab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
4169,NCT00273364,rabbit antithymocyte globulin,395855000,Rabbit anti-human T-lymphocyte globulin (substance),6.9758,"[112133008, 68498002, 372823004]","['Immunoglobulin (substance)', 'Antibody (substance)', 'Immunosuppressant (substance)']",Immunoglobulin (substance)
4179,NCT00274170,ergotamine,395975005,Ergotamine (substance),0.0,"[419614002, 373265006]","['Ergoline derivative (substance)', 'Analgesic (substance)']",Ergoline derivative (substance)
4195,NCT00276172,natalizumab,414805007,Natalizumab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
4199,NCT00276315,abobotulinumtoxina,444619001,AbobotulinumtoxinA (substance),0.0028,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
4200,NCT00276315,botulinum toxin type a,108890005,Botulinum toxin type A (substance),0.0,"[111117008, 372666009]","['Bacterial agent (substance)', 'Skeletal muscle relaxant (substance)']",Bacterial agent (substance)
4236,NCT00279825,ld,66322002,Dextran 40 (substance),11.589,"[373545003, 226355009, 33463005]","['Replacement agent (substance)', 'Nutrients (substance)', 'Liquid substance (substance)']",Replacement agent (substance)
4240,NCT00280059,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
4257,NCT00282997,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
4273,NCT00283933,migalastat,765340000,Migalastat (substance),0.0,"[226355009, 123682001]","['Nutrients (substance)', 'Piperidine (substance)']",Nutrients (substance)
4274,NCT00283933,migalastat hydrochloride,765341001,Migalastat hydrochloride (substance),0.0,"[226355009, 123682001]","['Nutrients (substance)', 'Piperidine (substance)']",Nutrients (substance)
