,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
3107,NCT00288626,granulocyte-colony stimulating factor (g-csf) and prednisone,116602009,Prednisone (substance),14.227,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3108,NCT00288639,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3113,NCT00290823,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3116,NCT00291148,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3121,NCT00292110,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
3124,NCT00292123,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
3126,NCT00292188,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3129,NCT00292266,avonex®,783678000,Andexanet alfa (substance),13.2702,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
3130,NCT00292266,rebif®,386902004,Interferon beta-1a (substance),11.6651,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3135,NCT00292734,zolpidem,387569009,Zolpidem (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
3138,NCT00293176,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3143,NCT00294658,prednisone alone,116602009,Prednisone (substance),10.7186,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3148,NCT00296205,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3149,NCT00296517,323u66 (bupropion hydrochloride sustained release),387564004,Bupropion (substance),12.7174,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3154,NCT00296647,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3155,NCT00296647,bupropion + lozenge,387564004,Bupropion (substance),13.201,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3157,NCT00296933,bupropion xl,395733003,Bupropion hydrochloride (substance),4.8,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3160,NCT00297232,natalizumab,414805007,Natalizumab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
3173,NCT00298662,interferon beta-1b and tacrolimus,386903009,Interferon beta-1b (substance),12.2096,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3180,NCT00300196,ancrod (viprinex),43848004,Ancrod (substance),9.8396,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
3182,NCT00300391,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3190,NCT00301223,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3196,NCT00301873,iv zometa,96176000,Zomepirac (substance),11.493,"[300903003, 59431004, 373265006]","['Azole (substance)', 'Ketone (substance)', 'Analgesic (substance)']",Azole (substance)
3201,NCT00302159,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3210,NCT00304083,ifosfamide,386904003,Ifosfamide (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3211,NCT00304083,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
3213,NCT00304083,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
3217,NCT00304291,mitoxantrone,386913001,Mitoxantrone (substance),0.0,"[372688009, 59431004, 373244000]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
3223,NCT00304707,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3230,NCT00305539,adalimumab,407317001,Adalimumab (substance),0.0053,"[106181007, 373244000]","['Immunologic substance (substance)', 'Immunologic agent (substance)']",Immunologic substance (substance)
3238,NCT00306592,bg00002 (natalizumab),414805007,Natalizumab (substance),11.1758,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
3239,NCT00307203,bupropion sr,395733003,Bupropion hydrochloride (substance),5.5471,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3243,NCT00307593,infliximab,386891004,Infliximab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
3244,NCT00307593,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
3245,NCT00307671,"cyclophosphamide, azathioprine,prednisone,methylprednisolone",67221004,Azathioprine sodium (substance),12.8049,"[372688009, 372823004, 373244000]","['Antineoplastic agent (substance)', 'Immunosuppressant (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
3246,NCT00307671,"prednisone, methylprednisolone,cyclophosphamides",116602009,Prednisone (substance),11.9462,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3249,NCT00308113,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3254,NCT00308763,sustained release bupropion,431408005,Bupropion hydrobromide (substance),10.7257,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3262,NCT00310323,caffeine,255641001,Caffeine (substance),0.0059,"[418183005, 259553003]","['Psychotropic agent (substance)', 'Methylated xanthine derivative (substance)']",Psychotropic agent (substance)
3269,NCT00310583,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3286,NCT00312728,bevacizumab,409406007,Bevacizumab (substance),0.0039,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3295,NCT00313976,"interferon beta-1b (betaferon/betaseron, bay86-5046)",386903009,Interferon beta-1b (substance),11.4057,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3301,NCT00314145,chimerivax™-je,1156047000,Idecabtagene vicleucel (substance),12.2553,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3304,NCT00314249,milnacipran 100mg,442642007,Milnacipran hydrochloride (substance),13.2877,"[418183005, 31414002]","['Psychotropic agent (substance)', 'Amide (substance)']",Psychotropic agent (substance)
3318,NCT00315107,alesse,226506004,Brown ale (substance),11.2753,"[226465004, 419442005]","['Drinks (substance)', 'Ethanol (substance)']",Drinks (substance)
3320,NCT00315302,atropine,372832002,Atropine (substance),0.0077,"[372892004, 439718001]","['Antidote (substance)', 'Aza compound (substance)']",Antidote (substance)
3321,NCT00315328,atropine,372832002,Atropine (substance),0.0077,"[372892004, 439718001]","['Antidote (substance)', 'Aza compound (substance)']",Antidote (substance)
3322,NCT00315367,donepezil hci (drug),386855006,Donepezil (substance),4.793,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3328,NCT00316004,7.5% hypertonic saline in 6% dextran-70 (hsd),14715007,Dextran 75 (substance),14.0397,"[373545003, 226355009]","['Replacement agent (substance)', 'Nutrients (substance)']",Replacement agent (substance)
3335,NCT00317447,oral prednisone,116602009,Prednisone (substance),14.1243,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
3338,NCT00318409,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3347,NCT00319592,chimerivax™-je vaccine,1156047000,Idecabtagene vicleucel (substance),13.2249,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3348,NCT00319709,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3360,NCT00320723,"bupropion, transdermal nicotine patch",387564004,Bupropion (substance),13.3024,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3375,NCT00324025,efungumab,407005009,Efalizumab (substance),10.5241,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
3392,NCT00326612,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
3395,NCT00327418,atorvastatin,373444002,Atorvastatin (substance),0.0,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
3396,NCT00327691,atorvastatin,373444002,Atorvastatin (substance),0.0,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
3404,NCT00329082,solanezumab,871700000,Sacituzumab (substance),11.3284,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3410,NCT00329589,velcade (bortezomib),407097007,Bortezomib (substance),5.1719,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3413,NCT00329758,rosuvastatin,700067006,Rosuvastatin (substance),0.0,"[373267003, 31414002]","['Antilipemic agent (substance)', 'Amide (substance)']",Antilipemic agent (substance)
3417,NCT00330187,bupropion sr,395733003,Bupropion hydrochloride (substance),5.5471,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3419,NCT00330291,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
3446,NCT00332644,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3448,NCT00332644,bupropion + lozenge,387564004,Bupropion (substance),13.201,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3451,NCT00332891,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3453,NCT00333164,"asprin, cilostazol",116087001,Cilostazol (substance),8.8557,"[300903003, 31414002]","['Azole (substance)', 'Amide (substance)']",Azole (substance)
3458,NCT00333866,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3459,NCT00333931,phenytoin,387220006,Phenytoin (substance),0.0052,"[288841007, 300903003]","['Patch test substance (substance)', 'Azole (substance)']",Patch test substance (substance)
3471,NCT00335972,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
3472,NCT00335972,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
3478,NCT00336882,midazolam,373476007,Midazolam (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
3503,NCT00340379,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3507,NCT00340834,interferon β-1a 30 µg,386902004,Interferon beta-1a (substance),15.7561,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3511,NCT00343174,ancrod,43848004,Ancrod (substance),0.0028,"[372862008, 106205006]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)']",Anticoagulant (substance)
3515,NCT00344253,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3516,NCT00344253,interferon beta,420710006,Interferon beta (substance),0.002,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3520,NCT00344695,bupropion sr,395733003,Bupropion hydrochloride (substance),5.5471,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3523,NCT00345098,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3527,NCT00346034,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3536,NCT00348192,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3541,NCT00348933,cyanocobalamin,419382002,Cyanocobalamin (substance),0.0,"[226355009, 300903003]","['Nutrients (substance)', 'Azole (substance)']",Nutrients (substance)
3545,NCT00349193,laquinimod 0.3,386941002,Imiquimod (substance),12.6431,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3546,NCT00349193,laquinimod 0.6,386941002,Imiquimod (substance),12.2572,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3554,NCT00351299,dexmedetomidine,437750002,Dexmedetomidine (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
3555,NCT00351611,lyrica (pregabalin),415160008,Pregabalin (substance),6.3795,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3567,NCT00352651,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3570,NCT00352885,human interleukin-2,897192009,Recombinant interleukin 2 (substance),3.6165,"[372688009, 106181007, 407073003]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Recombinant protein (substance)']",Antineoplastic agent (substance)
3577,NCT00354081,"folic acid, vitamin b12 (cyanocobalamin), vitamin b6 (pyridoxine)",419382002,Cyanocobalamin (substance),10.5885,"[226355009, 300903003]","['Nutrients (substance)', 'Azole (substance)']",Nutrients (substance)
3579,NCT00354081,"folic acid, vitamin b12 (cyanocobalamin)",419382002,Cyanocobalamin (substance),7.4861,"[226355009, 300903003]","['Nutrients (substance)', 'Azole (substance)']",Nutrients (substance)
3590,NCT00355576,celecoxib,116081000,Celecoxib (substance),0.0,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
3605,NCT00357786,replagal,718928008,Albutrepenonacog alfa (substance),12.1679,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
3624,NCT00360308,e2007,75665004,Monosodium glutamate (substance),13.441,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
3627,NCT00360412,e2007,75665004,Monosodium glutamate (substance),13.441,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
3647,NCT00362817,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3661,NCT00364559,rosuvastatin,700067006,Rosuvastatin (substance),0.0,"[373267003, 31414002]","['Antilipemic agent (substance)', 'Amide (substance)']",Antilipemic agent (substance)
3662,NCT00364572,epidural injection of etanercept,387045004,Etanercept (substance),12.2502,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
3664,NCT00364689,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
3711,NCT00369564,glutamic acid,85214009,Glutamic acid (substance),0.0,"[226355009, 430503006]","['Nutrients (substance)', 'Glutamate (substance)']",Nutrients (substance)
3715,NCT00369603,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3716,NCT00369785,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3718,NCT00370071,"interferon beta-1b (betaseron, bay86-5046)",386903009,Interferon beta-1b (substance),9.3364,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3723,NCT00370656,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3734,NCT00372528,pregabalin (lyrica),415160008,Pregabalin (substance),5.5262,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3745,NCT00373581,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
3759,NCT00374777,zolpidem mr,387569009,Zolpidem (substance),4.3869,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
3764,NCT00375375,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
3785,NCT00377598,tak-583,387178009,Probucol (substance),14.3565,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3796,NCT00380302,ave1625,75665004,Monosodium glutamate (substance),13.8172,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
3803,NCT00381381,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
3810,NCT00382161,fluvastatin-sodium,412392009,Fluvastatin sodium (substance),2.3023,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
3818,NCT00383448,alemtuzumab,129472003,Alemtuzumab (substance),0.0034,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
3819,NCT00383448,clofarabine,413873006,Clofarabine (substance),0.0014,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
3822,NCT00383448,hydroxyurea,387314007,Hydroxycarbamide (substance),0.0,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
3823,NCT00383448,melphalan,387297002,Melphalan (substance),0.0,"[373244000, 372688009, 372823004]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Immunologic agent (substance)
3825,NCT00383643,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[373288007, 418183005]","['General anesthetic (substance)', 'Psychotropic agent (substance)']",General anesthetic (substance)
3840,NCT00385385,rifalazil,768973004,Rifamycin (substance),10.093,"[2537003, 31414002]","['Antituberculosis agent (substance)', 'Amide (substance)']",Antituberculosis agent (substance)
3858,NCT00390221,biib019 (daclizumab high yield process),386977009,Daclizumab (substance),11.8505,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
3872,NCT00391755,ramelteon,419878007,Ramelteon (substance),0.0044,"[418183005, 418033003]","['Psychotropic agent (substance)', 'Indan (substance)']",Psychotropic agent (substance)
3878,NCT00392912,androgel (solvay pharmaceuticals),783678000,Andexanet alfa (substance),11.4712,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
3888,NCT00394901,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3900,NCT00396019,peg-intron,395823000,Peginterferon alfa-2b (substance),11.3866,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3907,NCT00396669,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
3913,NCT00397098,sr58611a,387178009,Probucol (substance),13.8675,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
3919,NCT00397891,bapineuzumab,710287009,Obinutuzumab (substance),11.0307,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3932,NCT00400075,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3933,NCT00400075,azathioprine,372574004,Azathioprine (substance),0.0,"[372688009, 372823004, 373244000]","['Antineoplastic agent (substance)', 'Immunosuppressant (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
3934,NCT00400634,cere-120 (adeno-associated virus serotype 2 [aav2]-neurturin [ntn]),718928008,Albutrepenonacog alfa (substance),14.0592,"[261226001, 106205006, 407073003]","['Blood component (substance)', 'Hemostasis related substance (substance)', 'Recombinant protein (substance)']",Blood component (substance)
3937,NCT00400816,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
3953,NCT00402480,hydroxyurea,387314007,Hydroxycarbamide (substance),0.0,"[372688009, 31414002]","['Antineoplastic agent (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
3954,NCT00402571,acetaminophen,387517004,Paracetamol (substance),0.002,"[373265006, 31414002]","['Analgesic (substance)', 'Amide (substance)']",Analgesic (substance)
3970,NCT00403767,rivaroxaban,442031002,Rivaroxaban (substance),0.0,"[372862008, 106205006, 31414002]","['Anticoagulant (substance)', 'Hemostasis related substance (substance)', 'Amide (substance)']",Anticoagulant (substance)
3991,NCT00407121,bevacizumab,409406007,Bevacizumab (substance),0.0039,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
3997,NCT00407745,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
3998,NCT00408525,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
4013,NCT00411619,everolimus,428698007,Everolimus (substance),0.0048,"[372688009, 59431004, 372823004, 31414002]","['Antineoplastic agent (substance)', 'Ketone (substance)', 'Immunosuppressant (substance)', 'Amide (substance)']",Antineoplastic agent (substance)
4028,NCT00414167,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
4041,NCT00416195,e2007,75665004,Monosodium glutamate (substance),13.441,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
4059,NCT00419146,ethyl-eicosapentaenoic acid (epa),226367006,Eicosapentaenoic acid (substance),7.0737,"[226355009, 21847005, 871563004]","['Nutrients (substance)', 'Oil (substance)', 'Essential fatty acid (substance)']",Nutrients (substance)
4063,NCT00419653,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
4067,NCT00419731,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
4078,NCT00421720,sufentanil,49998007,Sufentanil (substance),0.0,"[373288007, 373265006]","['General anesthetic (substance)', 'Analgesic (substance)']",General anesthetic (substance)
4079,NCT00421720,remifentanil,386839004,Remifentanil (substance),0.0,"[373288007, 373265006, 31414002]","['General anesthetic (substance)', 'Analgesic (substance)', 'Amide (substance)']",General anesthetic (substance)
4106,NCT00424203,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
4109,NCT00424372,pregabalin,415160008,Pregabalin (substance),0.0,"[226355009, 373265006]","['Nutrients (substance)', 'Analgesic (substance)']",Nutrients (substance)
4110,NCT00424489,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
4111,NCT00424489,atg (rabbit),395855000,Rabbit anti-human T-lymphocyte globulin (substance),9.7499,"[106181007, 261226001, 372823004]","['Immunologic substance (substance)', 'Blood component (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
4113,NCT00424489,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
4119,NCT00425243,zolpidem-mr (sl800750),387569009,Zolpidem (substance),10.8417,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
4127,NCT00427011,e2007,75665004,Monosodium glutamate (substance),13.441,"[80259003, 430503006]","['Food flavoring agent (substance)', 'Glutamate (substance)']",Food flavoring agent (substance)
