,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
4078,NCT00646581,Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4079,NCT00647296,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
4080,NCT00647998,Brain and|Heart disease (disorder)|Right descending aorta (disorder)|Dta and|Dta) and|Ischemia (disorder)|Ischemic encephalopathy (disorder)|Ischemic heart disease (disorder)|Ischemic stroke (disorder)|Neurological complication of procedure (disorder)|Ischemic disorder of spinal cord (disorder)|Loss of teeth due to extraction (disorder)|Transection of transplanted artery (disorder)|Taa) surgery|Thoracoabdominal aortic aneurysm (disorder),Brain and|Heart disease (disorder)|Congenital malformation (disorder)|Dta and|Dta) and|Disorder of blood vessel (disorder)|Ischemic encephalopathy (disorder)|Cerebrovascular accident (disorder)|Neurological complication of procedure (disorder)|Spinal cord disorder (disorder)|Disorder of upper digestive tract (disorder)|Soft tissue injury (disorder)|Taa) surgery
4081,NCT00648375,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
4082,NCT00648596,Erectile dysfunction (disorder),Sexual disorder (disorder)
4083,NCT00648908,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
4084,NCT00649064,Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4085,NCT00649207,Metastatic malignant neoplasm to brain (disorder)|Radiation injury of brain caused by ionizing radiation following radiotherapy procedure (disorder),Neoplastic disease (disorder)|Traumatic brain injury (disorder)
4086,NCT00649220,"Alzheimer's disease (disorder)|Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)|Primary degenerative dementia of the Alzheimer type, senile onset (disorder)",Alzheimer's disease (disorder)|Presenile dementia (disorder)|Senile dementia (disorder)
4087,NCT00649792,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
4088,NCT00649844,Refractory malignant neoplastic disease (disorder)|Drug resistance (disorder)|Schizophrenic disorders (disorder)|Therapy|Treatment,Neoplastic disease (disorder)|Drug resistance (disorder)|Schizophrenia (disorder)|Therapy|Treatment
4089,NCT00649961,Traumatic or nontraumatic brain injury (disorder)|Precocious puberty (disorder)|Prematurity of infant (disorder),Traumatic or nontraumatic brain injury (disorder)|Disorder of endocrine system (disorder)|Prematurity of infant (disorder)
4090,NCT00650104,Parkinson's disease (disorder),Parkinsonism (disorder)
4091,NCT00650429,Acute exacerbation of chronic schizophrenia (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder),Acute psychosis (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)
4092,NCT00650611,Manic bipolar I disorder (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Bipolar disorder (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4093,NCT00650793,Schizophrenia (disorder),Schizophrenia (disorder)
4094,NCT00650871,Primary insomnia (disorder),Sleep disorder (disorder)
4095,NCT00651040,Dermatomyositis (disorder)|Drug|Idiopathic polymyositis (disorder)|Myositis (disorder)|Inclusion body myositis (disorder)|Pm /|Polymyositis (disorder),Inflammation of skin and/or subcutaneous tissue (disorder)|Drug|Disorder of skeletal muscle (disorder)|Pm /
4096,NCT00651690,Postconcussion syndrome (disorder)|Spastic monoplegia of upper limb (disorder),Late effect of injury (disorder)|Paralytic syndrome (disorder)
4097,NCT00651729,Spastic monoplegia of upper limb (disorder),Paralytic syndrome (disorder)
4098,NCT00652171,Treatment resistant depression (disorder),Depressive disorder (disorder)
4099,NCT00652184,Herpes zoster (disorder),Infectious disease (disorder)
4100,NCT00652262,Erectile dysfunction (disorder)|Spinal cord injury (disorder),Sexual disorder (disorder)|Spinal cord disorder (disorder)
4101,NCT00652379,Acromegaly (disorder)|Hypersomatotropic gigantism (disorder),Disorder of endocrine system (disorder)
4102,NCT00652457,Cognitive disorder (disorder)|Huntington's chorea (disorder),Cognitive disorder (disorder)|Chronic mental disorder (disorder)
4103,NCT00653406,Schizophrenic disorders (disorder),Schizophrenia (disorder)
4104,NCT00653562,Insomnia (disorder),Sleep disorder (disorder)
4105,NCT00654082,Erectile dysfunction (disorder)|Spinal cord injury (disorder)|Traumatic spinal cord injury (disorder),Sexual disorder (disorder)|Spinal cord disorder (disorder)
4106,NCT00654394,Asymptomatic stenosis of intracranial carotid artery (disorder)|Carotid atherosclerosis (disorder)|Pure hypercholesterolemia (disorder),Disorder of blood vessel (disorder)|Hyperlipidemia (disorder)
4107,NCT00654498,Restless legs (disorder),Sleep disorder (disorder)
4108,NCT00654576,Schizophrenia (disorder),Schizophrenia (disorder)
4109,NCT00654680,Ed|Spinal cord injury (disorder)|Traumatic spinal cord injury (disorder),Ed|Spinal cord disorder (disorder)
4110,NCT00654706,Schizophrenia (disorder),Schizophrenia (disorder)
4111,NCT00654914,Erectile dysfunction (disorder),Sexual disorder (disorder)
4112,NCT00654927,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
4113,NCT00654953,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Depressive disorder (disorder),Disorder caused by cocaine (disorder)|Depressive disorder (disorder)
4114,NCT00655057,Major depressive disorder (disorder),Depressive disorder (disorder)
4115,NCT00655226,Depressive disorder (disorder)|Chronic hepatitis C co-occurrent with human immunodeficiency virus infection (disorder)|Viral hepatitis type C (disorder)|Human immunodeficiency virus infection (disorder)|Ribavirin|Substance-related disorders,Depressive disorder (disorder)|Disorder of digestive organ (disorder)|Infectious disease (disorder)|Ribavirin|Substance-related disorders
4116,NCT00655278,Essential tremor (disorder),Essential tremor (disorder)
4117,NCT00655486,Focal epilepsy (disorder),Seizure disorder (disorder)
4118,NCT00655551,Focal epilepsy (disorder),Seizure disorder (disorder)
4119,NCT00655629,Erectile dysfunction (disorder),Sexual disorder (disorder)
4120,NCT00655681,Cp|Regional osteoporosis (disorder)|Osteolysis following surgical procedure on skeletal system (disorder)|Spina bifida (disorder)|Structural developmental anomalies of neurenteric canal (disorder),Cp|Disorder of skeletal system (disorder)|Perioperative complication (disorder)|Congenital malformation (disorder)
4121,NCT00656110,Neuroma (disorder)|Restless legs (disorder),Neoplastic disease (disorder)|Sleep disorder (disorder)
4122,NCT00656188,Erectile dysfunction (disorder),Sexual disorder (disorder)
4123,NCT00656253,Parkinson's disease (disorder),Parkinsonism (disorder)
4124,NCT00656357,Cocaine|Cocaine dependence (disorder)|Dependent personality disorder (disorder),Cocaine|Disorder caused by cocaine (disorder)|Personality disorder (disorder)
4125,NCT00656487,Cannabis dependence (disorder)|Cannabis abuse (disorder),Substance dependence (disorder)|Substance abuse (disorder)
4126,NCT00656552,Pe|Anejaculation (disorder),Pe|Disorder of the genitourinary system (disorder)
4127,NCT00657033,Erectile dysfunction (disorder),Sexual disorder (disorder)
4128,NCT00657202,Malignant neoplastic disease (disorder)|Neurofibroma (disorder)|Neurofibromatosis type 1 (disorder)|Non|Neoplastic disease (disorder),Neoplastic disease (disorder)|Non
4129,NCT00657397,"Viral hepatitis type C (disorder)|Human immunodeficiency virus infection (disorder)|Opioid dependence, on agonist therapy (disorder)",Disorder of digestive organ (disorder)|Infectious disease (disorder)|Substance dependence (disorder)
4130,NCT00657501,2-methyl-3-hydroxybutyric aciduria (disorder)|Sexual disorder (disorder)|Postsurgical menopause (disorder),Chronic metabolic disorder (disorder)|Sexual disorder (disorder)|Perioperative complication (disorder)
4131,NCT00657644,Aetiology|Erectile dysfunction (disorder),Aetiology|Sexual disorder (disorder)
4132,NCT00657748,Spongy degeneration of central nervous system (disorder),Disorder of amino acid metabolism (disorder)
4133,NCT00657813,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
4134,NCT00658177,Erectile dysfunction (disorder),Sexual disorder (disorder)
4135,NCT00658476,Depressive disorder (disorder)|Major depressive disorder (disorder),Depressive disorder (disorder)
4136,NCT00658645,Schizophrenia (disorder),Schizophrenia (disorder)
4137,NCT00658931,Adjustment reaction with destructiveness (disorder)|Adjustment disorder with depressed mood (disorder)|Depressive disorder (disorder)|Pain,Adjustment disorder (disorder)|Depressive disorder (disorder)|Pain
4138,NCT00659230,Hyperosmolality (disorder)|Hyperaro|Osteogenesis imperfecta (disorder)|Posttraumatic stress disorder (disorder),Hyperosmolality (disorder)|Hyperaro|Congenital malformation (disorder)|Anxiety disorder (disorder)
4139,NCT00659334,Neoplasm of brain (disorder)|Inflammatory disease of the central nervous system (disorder)|Inflammatory disorder (disorder)|Intracranial tumor (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Inflammatory disease of the central nervous system (disorder)|Inflammatory disorder (disorder)
4140,NCT00659373,Malignant neoplastic disease (disorder)|Carcinoma in situ of breast (disorder)|Suppression of ovulation (disorder),Neoplastic disease (disorder)|Disorder of breast (disorder)|Disorder of endocrine system (disorder)
4141,NCT00659776,Generalized atherosclerosis (disorder)|Inflammatory disease of the central nervous system (disorder)|Multiple sclerosis (disorder)|Thrombosis (disorder)|Transient ischemic attack (disorder)|Vasculitis (disorder),Disorder of blood vessel (disorder)|Inflammatory disease of the central nervous system (disorder)|Multiple sclerosis (disorder)|Thrombosis (disorder)|Acute disease of cardiovascular system (disorder)
4142,NCT00659854,Cow's milk protein-induced anaphylaxis (disorder)|Sleep apnea (disorder)|Obstructive sleep apnea syndrome (disorder),Hypersensitivity reaction (disorder)|Sleep disorder (disorder)
4143,NCT00659919,Acute akathisia caused by neuroleptic (disorder),Akathisia (disorder)
4144,NCT00659958,Drugs|Partial epilepsy with impairment of consciousness (disorder)|Focal epilepsy (disorder),Drugs|Seizure disorder (disorder)
4145,NCT00660595,Acute schizophrenic episode (disorder)|Stress reaction with psychomotor agitation (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)|Schizophrenic disorders (disorder)|Schizophreniform disorder (disorder),Schizophrenia (disorder)|Adjustment disorder (disorder)|Schizoaffective disorder (disorder)|Acute psychosis (disorder)
4146,NCT00660998,Diabetes mellitus type 1 (disorder)|Erectile dysfunction (disorder),Disorder of glucose metabolism (disorder)|Sexual disorder (disorder)
4147,NCT00661063,Chronic painful neuropathy due to diabetes mellitus (disorder),Disorder of nervous system due to diabetes mellitus (disorder)
4148,NCT00661115,Erectile dysfunction (disorder),Sexual disorder (disorder)
4149,NCT00661219,Depressive disorder (disorder)|Erectile dysfunction (disorder),Depressive disorder (disorder)|Sexual disorder (disorder)
4150,NCT00661297,Erectile dysfunction (disorder),Sexual disorder (disorder)
4151,NCT00661596,Depressive disorder (disorder)|Erectile dysfunction (disorder)|Primary erectile dysfunction (disorder),Depressive disorder (disorder)|Sexual disorder (disorder)
4152,NCT00661674,Opioid withdrawal syndrome (disorder)|Substance withdrawal syndrome (disorder),Opioid withdrawal syndrome (disorder)|Substance withdrawal syndrome (disorder)
4153,NCT00661700,Erectile dysfunction (disorder),Sexual disorder (disorder)
4154,NCT00662441,Erectile dysfunction (disorder),Sexual disorder (disorder)
4155,NCT00662649,Multiple sclerosis (disorder)|Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
4156,NCT00662818,Migraine with aura (disorder)|Stable angina (disorder),Disorder of blood vessel (disorder)|Heart disease (disorder)
4157,NCT00663026,Amnestic mild cognitive disorder (disorder)|Non-amnestic Alzheimer disease (disorder),Cognitive disorder (disorder)|Alzheimer's disease (disorder)
4158,NCT00663039,Disease (disorder)|Hormone receptor negative neoplasm (disorder)|Schizophrenia (disorder),Disease (disorder)|Neoplastic disease (disorder)|Schizophrenia (disorder)
4159,NCT00663130,Erectile dysfunction (disorder)|Moderately severe major depression single episode (disorder),Sexual disorder (disorder)|Depressive disorder (disorder)
4160,NCT00663338,Clumsiness - motor delay (disorder)|Psychophysical visual disturbance (disorder)|Cerebrovascular accident (disorder),Developmental delay (disorder)|Visual disturbance (disorder)|Cerebrovascular accident (disorder)
4161,NCT00663416,Ischemic stroke (disorder),Cerebrovascular accident (disorder)
4162,NCT00663598,Erectile dysfunction (disorder),Sexual disorder (disorder)
4163,NCT00663728,Ed,Ed
4164,NCT00663845,Atherosclerosis of artery (disorder)|Dyslipidemia (disorder)|Ed|Erectile dysfunction (disorder),Disorder of blood vessel (disorder)|Dyslipidemia (disorder)|Ed|Sexual disorder (disorder)
4165,NCT00663871,Anger|Disorder of cardiovascular system (disorder)|Heart disease (disorder),Anger|Disorder of cardiovascular system (disorder)|Heart disease (disorder)
4166,NCT00663936,Alzheimer's disease (disorder)|Dementia (disorder)|Amnestic mild cognitive disorder (disorder),Alzheimer's disease (disorder)|Dementia (disorder)|Cognitive disorder (disorder)
4167,NCT00664157,Parkinson's disease (disorder),Parkinsonism (disorder)
4168,NCT00664209,Movement disorder (disorder)|Parkinson's disease (disorder),Movement disorder (disorder)|Parkinsonism (disorder)
4169,NCT00664755,Smoking,Smoking
4170,NCT00664833,Ed|Erectile dysfunction (disorder),Ed|Sexual disorder (disorder)
4171,NCT00664846,Ischemic stroke (disorder)|Second primary cancer (disorder)|Secondary cerebrovascular disease (disorder),Cerebrovascular accident (disorder)|Neoplastic disease (disorder)|Secondary cerebrovascular disease (disorder)
4172,NCT00665054,Erectile dysfunction (disorder),Sexual disorder (disorder)
4173,NCT00665223,Huntington's chorea (disorder),Chronic mental disorder (disorder)
4174,NCT00665340,Erectile dysfunction (disorder)|Primary erectile dysfunction (disorder),Sexual disorder (disorder)
4175,NCT00665444,Bipolar disorder (disorder)|Bipolar I disorder (disorder)|Depressive disorder (disorder)|Mania (disorder)|Obesity (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)|Mood disorder of manic type (disorder)|Obesity (disorder)
4176,NCT00665496,Erectile dysfunction (disorder),Sexual disorder (disorder)
4177,NCT00666068,Hypopituitarism (disorder),Disorder of endocrine system (disorder)
4178,NCT00666224,Multiple sclerosis (disorder)|Clinically isolated syndrome (disorder),Multiple sclerosis (disorder)|Clinically isolated syndrome (disorder)
4179,NCT00666653,Parkinson's disease (disorder),Parkinsonism (disorder)
4180,NCT00666757,Severe depression (disorder)|Severe major depression (disorder),Depressive disorder (disorder)
4181,NCT00666809,Chronic deafness (disorder)|Erectile dysfunction (disorder)|Subjective pulsatile tinnitus (disorder)|Leudet's tinnitus (disorder),"Ear, nose and throat disorder (disorder)|Sexual disorder (disorder)"
4182,NCT00666978,"Tobacco dependence, continuous (disorder)|Tobacco",Substance dependence (disorder)|Tobacco
4183,NCT00667745,Bipolar disorder (disorder)|Depressive disorder (disorder)|Mania (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)|Mood disorder of manic type (disorder)
4184,NCT00667810,Familial type 3 hyperlipoproteinemia (disorder)|Non-amnestic Alzheimer disease (disorder),Disorder of skin (disorder)|Alzheimer's disease (disorder)
4185,NCT00667966,Spinal cord injury (disorder)|Traumatic spinal cord injury (disorder),Spinal cord disorder (disorder)
4186,NCT00667979,Erectile dysfunction (disorder),Sexual disorder (disorder)
4187,NCT00668005,"Hypertensive disorder, systemic arterial (disorder)|Erectile dysfunction (disorder)","Hypertensive disorder, systemic arterial (disorder)|Sexual disorder (disorder)"
4188,NCT00668018,Erectile dysfunction (disorder),Sexual disorder (disorder)
4189,NCT00668057,Ed|Erectile dysfunction (disorder),Ed|Sexual disorder (disorder)
4190,NCT00668096,Erectile dysfunction (disorder),Sexual disorder (disorder)
4191,NCT00668109,"Diabetes mellitus (disorder)|Erectile dysfunction (disorder)|Hyperlipidemia (disorder)|Hypertensive disorder, systemic arterial (disorder)","Disorder of glucose metabolism (disorder)|Sexual disorder (disorder)|Hyperlipidemia (disorder)|Hypertensive disorder, systemic arterial (disorder)"
4192,NCT00668135,Erectile dysfunction (disorder),Sexual disorder (disorder)
4193,NCT00668343,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
4194,NCT00668434,Acute sciatica (disorder)|Pain|Sciatica (disorder),Peripheral nerve disease (disorder)|Pain
4195,NCT00668564,Disorder of peroxisomal function (disorder),Hereditary metabolic disease (disorder)
4196,NCT00668837,Schizophrenia (disorder),Schizophrenia (disorder)
4197,NCT00669461,Constipation - functional (disorder)|Delayed perforation of colon (disorder)|Parkinson's disease (disorder)|Pd,Disorder of digestive organ (disorder)|Parkinsonism (disorder)|Pd
4198,NCT00669695,Obstructive sleep apnea syndrome (disorder),Sleep disorder (disorder)
4199,NCT00669903,Schizophrenia (disorder),Schizophrenia (disorder)
4200,NCT00670202,Atherosclerosis of artery (disorder)|Dissection of extracranial carotid artery (disorder)|Disorder of blood vessel (disorder),Disorder of blood vessel (disorder)
4201,NCT00670449,Progressive relapsing multiple sclerosis (disorder),Multiple sclerosis (disorder)
4202,NCT00670813,Depressive disorder (disorder),Depressive disorder (disorder)
4203,NCT00670904,Smoking,Smoking
4204,NCT00671086,Chronic insomnia (disorder),Sleep disorder (disorder)
4205,NCT00671099,Accidental injury (disorder)|Posttraumatic stress disorder (disorder),Accidental injury (disorder)|Anxiety disorder (disorder)
4206,NCT00671489,Accidental injury (disorder)|Posttraumatic stress disorder (disorder),Accidental injury (disorder)|Anxiety disorder (disorder)
4207,NCT00671710,Malignant neoplastic disease (disorder)|Glial tumor of brain (disorder)|Neurosis (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Neurosis (disorder)
4208,NCT00671853,Bipolar disorder (disorder)|Superimposed infection (disorder)|Generalized anxiety disorder (disorder)|Substance-related disorders,Bipolar disorder (disorder)|Infectious disease (disorder)|Anxiety disorder (disorder)|Substance-related disorders
4209,NCT00672022,Infantile GM2 gangliosidosis (disorder)|Tay-Sachs disease (disorder)|Sandhoff disease (disorder),Hereditary metabolic disease (disorder)
4210,NCT00672373,Tardive dyskinesia (disorder),Medication-induced movement disorder (disorder)
4211,NCT00672464,Cardiovascular morbidity (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Cardiovascular morbidity (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4212,NCT00672659,Major depressive disorder (disorder),Depressive disorder (disorder)
4213,NCT00672945,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
4214,NCT00673452,Fibromyalgia (disorder),Fibromyalgia (disorder)
4215,NCT00674219,Generalized anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder),Anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder)
4216,NCT00674570,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
4217,NCT00675025,Cognitive disorder (disorder)|Complete trisomy 21 syndrome (disorder),Cognitive disorder (disorder)|Chromosomal disorder (disorder)
4218,NCT00675090,Amnestic mild cognitive disorder (disorder)|Non-amnestic Alzheimer disease (disorder),Cognitive disorder (disorder)|Alzheimer's disease (disorder)
4219,NCT00675272,Brainstem death (disorder)|Vascular insufficiency (disorder)|Ischemia (disorder),Brainstem death (disorder)|Disorder of blood vessel (disorder)
4220,NCT00675532,Dependent drug abuse (disorder)|Opiate|Opioid withdrawal syndrome (disorder)|Opioid dependence (disorder),Substance abuse (disorder)|Opiate|Opioid withdrawal syndrome (disorder)|Substance dependence (disorder)
4221,NCT00675623,Alzheimer's disease (disorder)|Non-amnestic Alzheimer disease (disorder),Alzheimer's disease (disorder)
4222,NCT00676143,Apolipoprotein e 4 carriers|Non-amnestic Alzheimer disease (disorder),Apolipoprotein e 4 carriers|Alzheimer's disease (disorder)
4223,NCT00676156,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
4224,NCT00676403,Restless legs (disorder),Sleep disorder (disorder)
4225,NCT00676676,Anorexia nervosa (disorder)|Depressive disorder (disorder)|Psychogenic fatigue (disorder)|Selective serotonin reuptake inhibitor (|Treatment resistant depression (disorder)|Ssri or,Behavioral syndrome associated with physiological disturbance and physical factors (disorder)|Depressive disorder (disorder)|Bodily distress disorder (disorder)|Selective serotonin reuptake inhibitor (|Ssri or
4226,NCT00676715,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
4227,NCT00677352,Panic disorder (disorder),Anxiety disorder (disorder)
4228,NCT00677898,Mental disorder (disorder),Mental disorder (disorder)
4229,NCT00677963,Carotid atherosclerosis (disorder)|Retinal neovascularization (disorder)|Skin plaque (disorder),Disorder of blood vessel (disorder)|Disorder of skin (disorder)
4230,NCT00678314,Carpal tunnel syndrome (disorder)|Pain,Peripheral nerve disease (disorder)|Pain
4231,NCT00678431,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
4232,NCT00678704,Diabetes mellitus (disorder)|Erectile dysfunction (disorder),Disorder of glucose metabolism (disorder)|Sexual disorder (disorder)
4233,NCT00678795,Detrusor overactivity (disorder)|Functional fecal incontinence (disorder)|Multiple sclerosis (disorder),Disorder of the genitourinary system (disorder)|Disorder of digestive organ (disorder)|Multiple sclerosis (disorder)
4234,NCT00679627,Alzheimer's disease (disorder)|Non-amnestic Alzheimer disease (disorder),Alzheimer's disease (disorder)
4235,NCT00679900,Chronic insomnia (disorder)|Insomnia (disorder)|Middle insomnia (disorder),Sleep disorder (disorder)
4236,NCT00680602,Obsessive-compulsive disorder (disorder)|Psychotic disorder (disorder),Obsessive-compulsive disorder (disorder)|Psychotic disorder (disorder)
4237,NCT00680823,Headache disorder (disorder),Headache disorder (disorder)
4238,NCT00681239,Epilepsy (disorder)|Refractory infantile spasms (disorder)|Intractable idiopathic partial epilepsy (disorder)|Dietetic microangiopathy (disorder)|Seizure disorder (disorder),Seizure disorder (disorder)|Disorder of blood vessel (disorder)
4239,NCT00681538,Multiple sclerosis (disorder)|Spastic syndrome (disorder),Multiple sclerosis (disorder)|Spastic syndrome (disorder)
4240,NCT00681551,Metastatic malignant neoplasm to brain (disorder),Neoplastic disease (disorder)
4241,NCT00681629,Schizophrenic disorders (disorder),Schizophrenia (disorder)
4242,NCT00681772,Erectile dysfunction (disorder),Sexual disorder (disorder)
4243,NCT00681863,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
4244,NCT00682019,Ed|Erectile dysfunction (disorder),Ed|Sexual disorder (disorder)
4245,NCT00682734,Migraine with aura (disorder)|Episodic migraine (disorder),Disorder of blood vessel (disorder)
4246,NCT00682929,Multiple sclerosis (disorder)|Secondary progressive multiple sclerosis (disorder)|Spastic syndrome (disorder)|Essential tremor (disorder),Multiple sclerosis (disorder)|Spastic syndrome (disorder)|Essential tremor (disorder)
4247,NCT00683189,Metachromatic leucodystrophy (disorder),Hereditary metabolic disease (disorder)
4248,NCT00683423,Diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder),Disorder of glucose metabolism (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)
4249,NCT00683566,Parkinson's disease (disorder)|Uncontrolled asthma (disorder),Parkinsonism (disorder)|Disorder of respiratory system (disorder)
4250,NCT00683644,Nutritional deficiency disorder (disorder)|Leudet's tinnitus (disorder),"Nutritional disorder (disorder)|Ear, nose and throat disorder (disorder)"
4251,NCT00684073,Buprenorphine maintenance therapy|Opioid dependence (disorder),Buprenorphine maintenance therapy|Substance dependence (disorder)
4252,NCT00684515,Cerebral infarction (disorder),Ischemic encephalopathy (disorder)
4253,NCT00684944,Alzheimer's disease (disorder)|Non-amnestic Alzheimer disease (disorder),Alzheimer's disease (disorder)
4254,NCT00685178,Anxiety disorder (disorder)|Cocaine|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Methadone|Methadone treatment|Opioid dependence (disorder)|Pain|Posttraumatic stress disorder (disorder)|Tobacco,Anxiety disorder (disorder)|Cocaine|Disorder caused by cocaine (disorder)|Methadone|Methadone treatment|Substance dependence (disorder)|Pain|Tobacco
4255,NCT00685269,Severe pediatric obstructive sleep apnea (disorder)|Obstructive sleep apnea of adult (disorder),Sleep disorder (disorder)
4256,NCT00685334,Anorexia nervosa (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
4257,NCT00685815,Restless legs (disorder),Sleep disorder (disorder)
4258,NCT00685919,Postural orthostatic tachycardia syndrome (disorder),Heart disease (disorder)
4259,NCT00686127,X-linked intellectual disability Armfield type (disorder)|Malignant neoplasm of breast (disorder)|Scar of skin (disorder)|Surgical scar (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain,Congenital malformation (disorder)|Disorder of breast (disorder)|Disorder of skin (disorder)|Scar (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain
4260,NCT00686140,Endogenous depression first episode (disorder)|Nondependent mixed drug abuse (disorder)|Naive|Schizophrenia (disorder)|Treatment,Depressive disorder (disorder)|Substance abuse (disorder)|Naive|Schizophrenia (disorder)|Treatment
4261,NCT00686699,Combined pyramidal-extrapyramidal syndrome (disorder)|Medication-induced movement disorder (disorder)|Extrapyramidal disease (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Combined pyramidal-extrapyramidal syndrome (disorder)|Medication-induced movement disorder (disorder)|Extrapyramidal disease (disorder)|Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4262,NCT00686920,Hepatic encephalopathy (disorder),Metabolic encephalopathy (disorder)
4263,NCT00686998,Schizophrenia (disorder),Schizophrenia (disorder)
4264,NCT00687609,Attention deficit hyperactivity disorder (disorder)|Cannabis abuse (disorder),Disorders of attention and motor control (disorder)|Substance abuse (disorder)
4265,NCT00688207,Alzheimer's disease (disorder)|Non-amnestic Alzheimer disease (disorder),Alzheimer's disease (disorder)
4266,NCT00688324,Alcohol abuse (disorder)|Schizophrenia (disorder),Disorder caused by alcohol (disorder)|Schizophrenia (disorder)
4267,NCT00688597,Glycogen storage disease due to acid maltase deficiency (disorder),Hereditary metabolic disease (disorder)
4268,NCT00688805,Cocaine|Substance|Substance-related disorders,Cocaine|Substance|Substance-related disorders
4269,NCT00688818,Anxiety disorder (disorder)|Depressive disorder (disorder),Anxiety disorder (disorder)|Depressive disorder (disorder)
4270,NCT00688935,Total visual and total hearing impairment (disorder),Hearing loss (disorder)
4271,NCT00688948,Benign neoplasm of urinary bladder (disorder)|Functional disorder of urinary bladder (disorder)|Multiple sclerosis (disorder)|Malignant tumor of prostate (disorder),Disorder of the genitourinary system (disorder)|Multiple sclerosis (disorder)
4272,NCT00689052,Fibromyalgia (disorder),Fibromyalgia (disorder)
4273,NCT00689572,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Stimulant dependence (disorder),Disorder caused by cocaine (disorder)|Substance dependence (disorder)
4274,NCT00689585,Complex regional pain syndrome (disorder)|Pain,Chronic pain syndrome (disorder)|Pain
4275,NCT00690118,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
4276,NCT00690235,Metabolic syndrome X (disorder)|Obesity (disorder)|Schizophrenia (disorder),Metabolic syndrome X (disorder)|Obesity (disorder)|Schizophrenia (disorder)
4277,NCT00690274,Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizoaffective disorder (disorder)|Schizophrenia (disorder)
4278,NCT00690534,Aplasia of muscle (disorder)|Muscle atrophy (disorder)|Sarcopenia (disorder),Congenital malformation (disorder)|Degenerative disorder of muscle (disorder)
4279,NCT00690716,Migraine (disorder)|Nummular headache (disorder),Disorder of blood vessel (disorder)|Headache disorder (disorder)
4280,NCT00690898,Acromegaly (disorder)|Pituitary macroadenoma (disorder)|Neoplastic disease (disorder),Disorder of endocrine system (disorder)|Neoplastic disease (disorder)
4281,NCT00690924,Dysplasia of lung (disorder)|Malignant tumor of lung (disorder)|Myeloid metaplasia (disorder),Congenital malformation (disorder)|Disorder of respiratory system (disorder)|Myeloid metaplasia (disorder)
