,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
3025,NCT00422292,Modified measles (disorder)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance),Modified measles (disorder)|Immunologic substance (substance)
3026,NCT00422331,Lithium carbonate (substance),Psychotropic agent (substance)
3027,NCT00422422,Brivaracetam (substance),Brivaracetam (substance)
3028,NCT00422578,Tadalafil (substance),Tadalafil (substance)
3029,NCT00422734,Tadalafil (substance),Tadalafil (substance)
3030,NCT00422812,Humidifier lung (disorder)|Antigen of Streptococcus pneumoniae Danish serotype 5 capsular polysaccharide conjugated to nontypeable Haemophilus influenzae protein D (substance),Humidifier lung (disorder)|Immunologic substance (substance)
3031,NCT00422955,Rosiglitazone (substance),Rosiglitazone (substance)
3032,NCT00422994,Ropinirole (substance),Azole (substance)
3033,NCT00423085,Rivastigmine tartrate (substance),Parasympathomimetic agent (substance)
3034,NCT00423527,Levetiracetam (substance),Levetiracetam (substance)
3035,NCT00423605,Spaglumate sodium (substance),Amino acid derivative (substance)
3036,NCT00423813,Spaglumate sodium (substance),Amino acid derivative (substance)
3037,NCT00423878,Risperidone (substance)|Olanzapine (substance)|Aripiprazole (substance)|Quetiapine (substance),Psychotropic agent (substance)
3038,NCT00423943,Modafinil (substance),Psychotropic agent (substance)
3039,NCT00423969,Escitalopram (substance)|Galantamine (substance),Psychotropic agent (substance)|Parasympathomimetic agent (substance)
3040,NCT00424203,Cyclophosphamide (substance)|Freund's adjuvant (substance)|Doxorubicin hydrochloride (substance),Immunologic agent (substance)|Immunologic substance (substance)|Antineoplastic agent (substance)
3041,NCT00424372,Pregabalin (substance),Nutrients (substance)
3042,NCT00424489,Cyclophosphamide (substance)|Rabbit anti-human T-lymphocyte globulin (substance)|Disorder due to and following transplantation of stem cell (disorder)|Filgrastim (substance)|Mesna (substance)|Methylprednisolone (substance),"Immunologic agent (substance)|Immunologic substance (substance)|Disorder due to and following transplantation of stem cell (disorder)|Colony-stimulating factor, granulocytic (substance)|Antidote (substance)|Corticosteroid and/or corticosteroid derivative (substance)"
3043,NCT00424892,Desvenlafaxine succinate (substance),Psychotropic agent (substance)
3044,NCT00424931,Modafinil (substance)|Ticarcillin disodium (substance),Psychotropic agent (substance)|Amide (substance)
3045,NCT00425243,Zolpidem (substance),Azole (substance)
3046,NCT00425256,Bremelanotide (substance),Bremelanotide (substance)
3047,NCT00425282,Ribavirin (substance),Azole (substance)
3048,NCT00425815,Ticarcillin disodium (substance),Amide (substance)
3049,NCT00426673,Brivaracetam (substance),Brivaracetam (substance)
3050,NCT00426816,Ticarcillin disodium (substance),Amide (substance)
3051,NCT00426842,Midodrine hydrochloride (substance),Midodrine hydrochloride (substance)
3052,NCT00426946,Reboxetine (substance),Psychotropic agent (substance)
3053,NCT00427011,Monosodium glutamate (substance),Food flavoring agent (substance)
3054,NCT00427076,Vancomycin (substance)|Isoxazole (substance),Glycopeptide (substance)|Azole (substance)
3055,NCT00427206,Daily headache (disorder),Daily headache (disorder)
3056,NCT00427674,Iofetamine (123-I) hydrochloride (substance),Radioactive isotope (substance)
3057,NCT00428090,Rosiglitazone (substance),Rosiglitazone (substance)
3058,NCT00428298,Valaciclovir (substance),Nucleoside (substance)
3059,NCT00428350,Quetiapine fumarate (substance),Psychotropic agent (substance)
3060,NCT00428389,Rivastigmine tartrate (substance),Parasympathomimetic agent (substance)
3061,NCT00428935,Recombinant non-replicating human adenovirus 5 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance),Recombinant non-replicating human adenovirus 5 vector encoding severe acute respiratory syndrome coronavirus 2 spike protein (substance)
3062,NCT00429169,Bupropion (substance)|Paroxetine (substance),Ketone (substance)|Psychotropic agent (substance)
3063,NCT00429208,Nicotine (substance),Parasympathomimetic agent (substance)
3064,NCT00429260,Sarin (substance),Sarin (substance)
3065,NCT00429442,Simvastatin (substance),Antilipemic agent (substance)
3066,NCT00429676,Haloperidol (substance),Ketone (substance)
3067,NCT00430105,Cyclophosphamide (substance),Immunologic agent (substance)
3068,NCT00430573,Cycloserine (substance),Antituberculosis agent (substance)
3069,NCT00431171,Lithium carbonate (substance),Psychotropic agent (substance)
3070,NCT00431184,Pentazocine (substance)|Lorazepam (substance),Analgesic (substance)|Psychotropic agent (substance)
3071,NCT00431522,Sodium valproate (substance),Psychotropic agent (substance)
3072,NCT00432042,"Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Milnacipran (substance)",Adverse reaction to component of vaccine product (disorder)|Psychotropic agent (substance)
3073,NCT00432055,Botulinum toxin type A (substance),Bacterial agent (substance)
3074,NCT00432081,Indometacin (substance),Analgesic (substance)
3075,NCT00432237,Fruit pie wholemeal one crust (substance)|Low calorie creamy salad dressing (substance)|Vanadium-49 (substance),Fruit pie wholemeal one crust (substance)|Salad dressing (substance)|Radioactive isotope (substance)
3076,NCT00432263,Somatrem (substance),Recombinant protein (substance)
3077,NCT00432796,Dalteparin (substance)|Substance (substance),Anticoagulant (substance)|Substance (substance)
3078,NCT00433121,Quetiapine (substance)|Risperidone (substance)|Escitalopram (substance)|Citalopram (substance)|Olanzapine (substance)|Sertraline (substance)|Haloperidol (substance),Psychotropic agent (substance)|Ketone (substance)
3079,NCT00433147,Camostat mesilate (substance),Hemostatic agent (substance)
3080,NCT00433368,L-ornithine L-aspartate (substance),L-ornithine L-aspartate (substance)
3081,NCT00433667,Ribavirin (substance),Azole (substance)
3082,NCT00433719,Efavirenz (substance),Gaseous substance (substance)
3083,NCT00433732,Naproxen sodium (substance)|Sumatriptan (substance),Analgesic (substance)|Amide (substance)
3084,NCT00434083,Naproxen sodium (substance)|Sumatriptan (substance),Analgesic (substance)|Amide (substance)
3085,NCT00434148,Pasireotide (substance),Antineoplastic agent (substance)
3086,NCT00434304,Ropinirole (substance),Azole (substance)
3087,NCT00434876,Quetiapine fumarate (substance),Psychotropic agent (substance)
3088,NCT00435370,Risperidone (substance)|Tropisetron (substance),Psychotropic agent (substance)|Azole (substance)
3089,NCT00436345,Remifentanil (substance)|Propofol (substance),General anesthetic (substance)
3090,NCT00436371,Amisulpride (substance),Psychotropic agent (substance)
3091,NCT00436826,Interferon beta (substance)|Cladribine (substance),Antineoplastic agent (substance)
3092,NCT00437125,Duloxetine hydrochloride (substance),Psychotropic agent (substance)
3093,NCT00437281,Pregabalin (substance),Nutrients (substance)
3094,NCT00437372,Sunitinib (substance),Antineoplastic agent (substance)
3095,NCT00437385,Tricyclic antidepressant (substance),Psychotropic agent (substance)
3096,NCT00437632,Oxiconazole nitrate (substance)|Caffeine (substance),Azole (substance)|Psychotropic agent (substance)
3097,NCT00437814,Poisoning caused by ketamine (disorder),Poisoning (disorder)
3098,NCT00437840,Oxiconazole nitrate (substance),Azole (substance)
3099,NCT00438087,Methylprednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
3100,NCT00438139,Dronabinol (substance),Dronabinol (substance)
3101,NCT00438386,Aripiprazole (substance),Psychotropic agent (substance)
3102,NCT00438451,Levetiracetam (substance)|Carbamazepine (substance)|Lamotrigine (substance),Levetiracetam (substance)|Carbamazepine (substance)|Lamotrigine (substance)
3103,NCT00438568,Regular insulin (substance),Insulin (substance)
3104,NCT00438607,Ibritumomab tiuxetan (substance),Antineoplastic agent (substance)
3105,NCT00438776,Olanzapine (substance)|Sugar sweetened beverage (substance),Psychotropic agent (substance)|Drinks (substance)
3106,NCT00438971,Duloxetine (substance),Psychotropic agent (substance)
3107,NCT00439166,Rifampicin (substance)|Doxycycline (substance),Antituberculosis agent (substance)|Doxycycline (substance)
3108,NCT00439413,Selegiline hydrochloride (substance),Selegiline hydrochloride (substance)
3109,NCT00439634,Monosodium glutamate (substance),Food flavoring agent (substance)
3110,NCT00439699,Memantine (substance),Memantine (substance)
3111,NCT00439868,Bambuterol hydrochloride (substance),Bambuterol hydrochloride (substance)
3112,NCT00440050,Docosahexaenoic acid (substance),Nutrients (substance)
3113,NCT00440232,Frovatriptan (substance),Azole (substance)
3114,NCT00440323,Zolpidem (substance)|Ticarcillin disodium (substance),Azole (substance)|Amide (substance)
3115,NCT00440518,Lacosamide (substance)|Substance (substance),Amino acid derivative (substance)|Substance (substance)
3116,NCT00440713,Aripiprazole (substance),Psychotropic agent (substance)
3117,NCT00440843,Olanzapine (substance)|Familiar food (substance),Psychotropic agent (substance)|Familiar food (substance)
3118,NCT00441103,Interferon beta-1a (substance),Antineoplastic agent (substance)
3119,NCT00441259,Antigen of inactivated whole Japanese encephalitis virus adsorbed (substance)|Idecabtagene vicleucel (substance),Immunologic substance (substance)|Antineoplastic agent (substance)
3120,NCT00441285,Praziquantel (substance)|Albendazole (substance),Praziquantel (substance)|Albendazole (substance)
3121,NCT00441558,Flibanserin (substance),Flibanserin (substance)
3122,NCT00441649,Methylphenidate (substance),Psychotropic agent (substance)
3123,NCT00441896,Ganirelix (substance),Ganirelix (substance)
3124,NCT00442104,Ganirelix (substance),Ganirelix (substance)
3125,NCT00442169,Idecabtagene vicleucel (substance)|Sodium chloride solution (substance)|Isologous chimera (disorder),Antineoplastic agent (substance)|Sodium chloride solution (substance)|Isologous chimera (disorder)
3126,NCT00442221,Sumatriptan succinate (substance),Amide (substance)
3127,NCT00442325,Atorvastatin (substance),Antilipemic agent (substance)
3128,NCT00442780,Ibritumomab tiuxetan (substance),Antineoplastic agent (substance)
3129,NCT00442845,Atorvastatin (substance),Antilipemic agent (substance)
3130,NCT00442923,Carvedilol (substance),Carvedilol (substance)
3131,NCT00442936,Replacement agent (substance)|Cabotegravir sodium (substance)|Zolmitriptan (substance)|Gadolinium-150 (substance),Replacement agent (substance)|Cabotegravir sodium (substance)|Zolmitriptan (substance)|Radioactive isotope (substance)
3132,NCT00443209,Rizatriptan (substance)|Cabotegravir sodium (substance)|Telotristat (substance),Azole (substance)|Cabotegravir sodium (substance)|Telotristat (substance)
3133,NCT00443352,Duloxetine (substance),Psychotropic agent (substance)
3134,NCT00443417,Piblokto (disorder),Piblokto (disorder)
3135,NCT00443625,Skatole (substance),Skatole (substance)
3136,NCT00443846,Antigen of live attenuated Rotavirus (substance)|Idecabtagene vicleucel (substance),Immunologic substance (substance)|Antineoplastic agent (substance)
3137,NCT00443872,Selegiline hydrochloride (substance),Selegiline hydrochloride (substance)
3138,NCT00444028,Central cord syndrome of spinal cord at fifth lumbar level (disorder)|Interstitial lung disease due to vaping (disorder)|Continuous inhalant abuse (disorder)|Obstruction of lumen of respiratory tract caused by inhalation of lid of pen (disorder)|Anomalous origin of left pulmonary artery from right pulmonary artery (disorder),Central cord syndrome of spinal cord at fifth lumbar level (disorder)|Interstitial lung disease due to vaping (disorder)|Continuous inhalant abuse (disorder)|Obstruction of lumen of respiratory tract caused by inhalation of lid of pen (disorder)|Anomalous origin of left pulmonary artery from right pulmonary artery (disorder)
3139,NCT00444873,Lanreotide acetate (substance),Lanreotide acetate (substance)
3140,NCT00444886,Botulinum toxin type A and/or botulinum toxin type A derivative (substance),Bacterial agent (substance)
3141,NCT00444964,Mecasermin (substance),Somatomedin C (substance)
3142,NCT00445705,Ticarcillin disodium (substance),Amide (substance)
3143,NCT00446082,Pasireotide (substance),Antineoplastic agent (substance)
3144,NCT00446550,Camostat mesilate (substance),Hemostatic agent (substance)
3145,NCT00446641,Cilostazol (substance),Azole (substance)
3146,NCT00446719,Eletriptan (substance),Eletriptan (substance)
3147,NCT00446992,Olanzapine (substance),Psychotropic agent (substance)
3148,NCT00447018,Hypertonic saline (substance)|Mannitol (substance),Sodium chloride solution (substance)|Nutrients (substance)
3149,NCT00447044,Essential amino acid (substance)|Soda bread (substance),Nutrients (substance)|Soda bread (substance)
3150,NCT00447369,Sodium valproate (substance)|Pregabalin (substance),Psychotropic agent (substance)|Nutrients (substance)
3151,NCT00447499,Lanreotide acetate (substance),Lanreotide acetate (substance)
3152,NCT00447525,Eftrenonacog alfa (substance)|Acute poliomyelitis (disorder),Blood component (substance)|Acute poliomyelitis (disorder)
3153,NCT00447941,Spinocerebellar ataxia type 36 (disorder),Spinocerebellar ataxia type 36 (disorder)
3154,NCT00448058,Latamoxef disodium (substance)|Venlafaxine (substance),Amide (substance)|Psychotropic agent (substance)
3155,NCT00448578,Lithium (substance)|Quetiapine fumarate (substance),Psychotropic agent (substance)
3156,NCT00448825,Topiramate (substance),Topiramate (substance)
3157,NCT00448890,Tazemetostat (substance),Antineoplastic agent (substance)
3158,NCT00448916,Pregabalin (substance),Nutrients (substance)
3159,NCT00449007,Fluoxetine (substance)|Bupropion (substance),Psychotropic agent (substance)|Ketone (substance)
3160,NCT00449397,Quetiapine fumarate (substance),Psychotropic agent (substance)
3161,NCT00449683,Terazosin (substance),Terazosin (substance)
3162,NCT00449709,Sitagliptin hydrochloride monohydrate (substance),Azole (substance)
3163,NCT00449774,Lamotrigine overdose (disorder),Poisoning (disorder)
3164,NCT00449787,Sumatriptan (substance)|Naproxen (substance),Amide (substance)|Analgesic (substance)
3165,NCT00449865,Creatine (substance),Metabolite (substance)
3166,NCT00450437,Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance)|Mecasermin (substance),Immunologic substance (substance)|Somatomedin C (substance)
3167,NCT00451074,Gentamicin poisoning (disorder),Poisoning (disorder)
3168,NCT00451204,Glatiramer (substance)|Estriol (substance),Immunosuppressant (substance)|Estriol (substance)
3169,NCT00451230,Hydrocortisone (substance)|Cocaine (substance),Corticosteroid and/or corticosteroid derivative (substance)|Local anesthetic (substance)
3170,NCT00451451,Glatiramer acetate (substance)|Lymphocyte antigen CD2 (substance),Immunosuppressant (substance)|Immunologic substance (substance)
3171,NCT00451516,Hypericum perforatum extract (substance),Herbal medicine agent (substance)
3172,NCT00451633,Monosodium glutamate (substance),Food flavoring agent (substance)
3173,NCT00451750,Hydrocortisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
3174,NCT00451815,Duvelisib (substance),Antineoplastic agent (substance)
3175,NCT00452231,Cycloserine (substance),Antituberculosis agent (substance)
3176,NCT00452504,B*3504 (substance),Gene (substance)
3177,NCT00453180,Acetylcysteine (substance),Nutrients (substance)
3178,NCT00453570,"Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Antigen of Bordetella pertussis toxoid (substance)",Adverse reaction to component of vaccine product (disorder)|Immunologic substance (substance)
3179,NCT00453609,Naltrexone hydrochloride (substance),Antidote (substance)
3180,NCT00453804,Naltrexone hydrochloride (substance)|Naltrexone (substance),Antidote (substance)
3181,NCT00453921,Methylphenidate (substance),Psychotropic agent (substance)
3182,NCT00454870,Memantine hydrochloride (substance),Memantine hydrochloride (substance)
3183,NCT00455000,Eptinezumab (substance),Immunologic substance (substance)
3184,NCT00455143,Dexmedetomidine (substance),Azole (substance)
3185,NCT00455234,Promethazine teoclate (substance)|Olanzapine embonate monohydrate (substance),Promethazine teoclate (substance)|Psychotropic agent (substance)
3186,NCT00455507,Istradefylline (substance),Istradefylline (substance)
3187,NCT00455520,Ceftazidime (substance),Amide (substance)
3188,NCT00455637,Botulinum toxin type A (substance),Bacterial agent (substance)
3189,NCT00455702,Cycloserine (substance),Antituberculosis agent (substance)
3190,NCT00455715,Sildenafil (substance),Amide (substance)
3191,NCT00456014,Escitalopram (substance)|Desipramine (substance),Psychotropic agent (substance)
3192,NCT00456339,Adverse reaction to amoxicillin and/or clavulanic acid (disorder),Adverse reaction to amoxicillin and/or clavulanic acid (disorder)
3193,NCT00456430,Escitalopram (substance),Psychotropic agent (substance)
3194,NCT00456586,Istradefylline (substance),Istradefylline (substance)
3195,NCT00456794,Istradefylline (substance),Istradefylline (substance)
3196,NCT00456820,Bambuterol hydrochloride (substance),Bambuterol hydrochloride (substance)
3197,NCT00456898,Desvenlafaxine succinate (substance)|Codeine (substance)|Paroxetine (substance),Psychotropic agent (substance)|Analgesic (substance)
3198,NCT00456937,Escitalopram (substance),Psychotropic agent (substance)
3199,NCT00456976,Selegiline (substance),Selegiline (substance)
3200,NCT00457054,Lithium (substance),Psychotropic agent (substance)
3201,NCT00457106,Risperidone (substance)|Paroxetine (substance),Psychotropic agent (substance)
3202,NCT00457197,Quetiapine (substance),Psychotropic agent (substance)
3203,NCT00457730,Duloxetine (substance),Psychotropic agent (substance)
3204,NCT00457769,Donepezil (substance),Ketone (substance)
3205,NCT00457808,Sirolimus (substance),Antineoplastic agent (substance)
3206,NCT00457899,Quetiapine fumarate (substance),Psychotropic agent (substance)
3207,NCT00457964,Everolimus (substance),Antineoplastic agent (substance)
3208,NCT00458107,Spinocerebellar ataxia type 36 (disorder),Spinocerebellar ataxia type 36 (disorder)
3209,NCT00458211,Ziprasidone (substance),Psychotropic agent (substance)
3210,NCT00459264,Folic acid (substance),Nutrients (substance)
3211,NCT00459316,Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance),Immunologic substance (substance)
3212,NCT00459420,Chocolate covered wafer/biscuit bar (substance),Chocolate covered wafer/biscuit bar (substance)
3213,NCT00459550,Oxiconazole nitrate (substance),Azole (substance)
3214,NCT00459667,Interferon beta-1b (substance),Antineoplastic agent (substance)
3215,NCT00459693,Carbon (11-C) flumazenil (substance),Radioactive isotope (substance)
3216,NCT00459953,Extended series patch test substance (substance),Patch test substance (substance)
3217,NCT00460148,Ropinirole (substance),Azole (substance)
3218,NCT00460473,Dexmedetomidine (substance),Azole (substance)
3219,NCT00460486,Antigen of inactivated whole Tick-borne encephalitis virus Neudorfl strain (substance),Immunologic substance (substance)
3220,NCT00460512,Paliperidone palmitate (substance),Psychotropic agent (substance)
3221,NCT00460564,Oxiconazole nitrate (substance),Azole (substance)
3222,NCT00460655,Oxiconazole nitrate (substance),Azole (substance)
3223,NCT00461149,Octreotide acetate (substance),Octreotide acetate (substance)
3224,NCT00461656,Infected conjunctival abrasion (disorder),Infected conjunctival abrasion (disorder)
3225,NCT00461942,Green tea (substance),Drinks (substance)
3226,NCT00462007,Cerebellar decompression injury (disorder),Cerebellar decompression injury (disorder)
3227,NCT00462228,Memantine (substance),Memantine (substance)
3228,NCT00462254,Ramelteon (substance),Psychotropic agent (substance)
3229,NCT00463203,Bevacizumab (substance)|Irinotecan (substance),Antineoplastic agent (substance)
3230,NCT00463346,Acamprosate (substance),Nutrients (substance)
3231,NCT00463372,Pipotiazine palmitate (substance),Psychotropic agent (substance)
3232,NCT00463437,"Antigen of live attenuated Measles morbillivirus (substance)|Antigen of Bordetella pertussis toxoid (substance)|Sitaxentan (substance)|Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid protein (substance)|Antigen of Neisseria meningitidis conjugated (substance)|Antigen of Streptococcus pneumoniae Danish serotype 3 capsular polysaccharide conjugated to Corynebacterium diphtheriae cross-reacting material 197 protein (substance)|Idecabtagene vicleucel (substance)|Human menopausal gonadotropin (substance)|Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)",Immunologic substance (substance)|Azole (substance)|Antineoplastic agent (substance)|Human menopausal gonadotropin (substance)|Adverse reaction to component of vaccine product (disorder)
3233,NCT00463476,Antigen of inactivated whole Japanese encephalitis virus SA14-14-2 strain (substance),Immunologic substance (substance)
3234,NCT00463580,Infliximab (substance),Immunologic substance (substance)
3235,NCT00463684,Antigen of inactivated whole Japanese encephalitis virus SA14-14-2 strain (substance)|Antigen of live attenuated Measles morbillivirus (substance),Immunologic substance (substance)
3236,NCT00463775,Topiramate (substance),Topiramate (substance)
3237,NCT00463879,Galantamine (substance),Parasympathomimetic agent (substance)
3238,NCT00463957,Tadalafil (substance)|Sildenafil (substance),Tadalafil (substance)|Amide (substance)
3239,NCT00464061,Pimavanserin (substance),Psychotropic agent (substance)
3240,NCT00464191,Escitalopram (substance),Psychotropic agent (substance)
3241,NCT00464243,Pimavanserin (substance),Psychotropic agent (substance)
3242,NCT00464269,Brivaracetam (substance),Brivaracetam (substance)
3243,NCT00464334,Ruthenium-95 (substance)|Immunostimulating conjugate antigen (substance),Radioactive isotope (substance)|Immunologic substance (substance)
3244,NCT00464698,Duloxetine (substance),Psychotropic agent (substance)
3245,NCT00464763,Dexmedetomidine (substance),Azole (substance)
3246,NCT00464958,Tizanidine (substance),Tizanidine (substance)
3247,NCT00465153,Linseed oil (substance),Patch test substance (substance)
3248,NCT00465244,Poisoning caused by lorazepam (disorder),Poisoning (disorder)
3249,NCT00465283,Donepezil (substance),Ketone (substance)
3250,NCT00465439,Lidocaine hydrochloride anhydrous (substance),Local anesthetic (substance)
3251,NCT00465452,Substance with dopamine receptor agonist mechanism of action (substance),Substance with dopamine receptor agonist mechanism of action (substance)
3252,NCT00465517,Ganirelix (substance),Ganirelix (substance)
3253,NCT00465595,Psilocybin (substance),Psychotropic agent (substance)
3254,NCT00465608,Propranolol (substance),Propranolol (substance)
3255,NCT00466167,Pramipexole (substance),Pramipexole (substance)
3256,NCT00466310,Risperidone (substance)|Aripiprazole (substance),Psychotropic agent (substance)
3257,NCT00466609,Quetiapine fumarate (substance)|Clomipramine (substance),Psychotropic agent (substance)
3258,NCT00466661,Acamprosate (substance),Nutrients (substance)
3259,NCT00467207,Botulinum toxin type A (substance),Bacterial agent (substance)
3260,NCT00467259,Testosterone patch adverse reaction (disorder),Testosterone patch adverse reaction (disorder)
3261,NCT00467454,Naltrexone (substance),Antidote (substance)
3262,NCT00467584,Aspirin overdose (disorder)|Buffered aspirin (substance),Poisoning (disorder)|Analgesic (substance)
3263,NCT00467766,Donepezil (substance),Ketone (substance)
3264,NCT00468052,Dexmedetomidine (substance)|Fentanyl (substance),Azole (substance)|General anesthetic (substance)
3265,NCT00468078,Flortaucipir (18-F) (substance),Radioactive isotope (substance)
3266,NCT00468481,Nucleotide binding oligomerization domain containing 2-associated autoinflammatory disease (disorder)|Drostanolone propionate (substance),Nucleotide binding oligomerization domain containing 2-associated autoinflammatory disease (disorder)|Drostanolone propionate (substance)
3267,NCT00468650,Sildenafil citrate (substance),Amide (substance)
3268,NCT00468897,Somatorelin acetate (substance),Somatorelin acetate (substance)
3269,NCT00468923,Rosuvastatin (substance)|Candesartan cilexetil (substance),Antilipemic agent (substance)|Candesartan cilexetil (substance)
3270,NCT00469079,Electronic cigarette liquid containing nicotine (substance),Electronic cigarette liquid (substance)
3271,NCT00469378,Rasburicase (substance),Antidote (substance)
3272,NCT00469456,Memantine (substance),Memantine (substance)
3273,NCT00469664,Guanfacine (substance),Guanfacine (substance)
3274,NCT00469885,Nicotine resin complex (substance),Parasympathomimetic agent (substance)
3275,NCT00470418,Nickel carbonyl (substance),Nickel carbonyl (substance)
3276,NCT00470509,Adalimumab (substance),Immunologic substance (substance)
3277,NCT00470925,Iodofiltic acid (123-I) (substance),Radioactive isotope (substance)
3278,NCT00471211,Beta-alanine-pyruvate aminotransferase (substance),Beta-alanine-pyruvate aminotransferase (substance)
3279,NCT00471445,Imitation cream (substance),Cream (substance)
3280,NCT00471588,Pramipexole (substance),Pramipexole (substance)
3281,NCT00471744,Sulthiamine (substance),Amide (substance)
3282,NCT00472199,Pramipexole (substance),Pramipexole (substance)
3283,NCT00472355,Apomorphine (substance),Apomorphine (substance)
3284,NCT00472381,Insulin (substance),Insulin (substance)
3285,NCT00472641,Ziprasidone mesilate (substance),Psychotropic agent (substance)
3286,NCT00473213,Interferon beta (substance),Antineoplastic agent (substance)
3287,NCT00473434,Paliperidone (substance),Psychotropic agent (substance)
3288,NCT00473902,Creatine monohydrate (substance),Metabolite (substance)
3289,NCT00474058,Rotigotine (substance),Rotigotine (substance)
3290,NCT00474409,Merodicein (substance),Merodicein (substance)
3291,NCT00474487,Antigen of Neisseria meningitidis serogroup W135 capsular oligosaccharide conjugated to Corynebacterium diphtheriae cross-reacting material 197 protein (substance)|Antigen of Neisseria meningitidis serogroup A capsular polysaccharide conjugated (substance)|Premenstrual tension syndrome (disorder)|Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance),Immunologic substance (substance)|Premenstrual tension syndrome (disorder)
3292,NCT00474513,Baloxavir marboxil (substance),Baloxavir marboxil (substance)
3293,NCT00474526,"Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Disease caused by Rotavirus (disorder)|Antigen of Streptococcus pneumoniae Danish serotype 7A capsular polysaccharide (substance)|Deoxythymidine diphosphate (substance)|Haemophilus influenzae type b infection (disorder)|Viral hepatitis, type A (disorder)|Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance)|DNA mismatch repair protein Msh2 (substance)","Adverse reaction to component of vaccine product (disorder)|Disease caused by Rotavirus (disorder)|Immunologic substance (substance)|Deoxythymidine diphosphate (substance)|Haemophilus influenzae type b infection (disorder)|Viral hepatitis, type A (disorder)|DNA mismatch repair protein Msh2 (substance)"
3294,NCT00474552,Samarium (substance),Samarium and/or samarium compound (substance)
3295,NCT00474916,Krypton-85 (substance),Radioactive isotope (substance)
3296,NCT00475462,Drug or medicament (substance)|Metoprolol (substance),Drug or medicament (substance)|Metoprolol (substance)
3297,NCT00475501,Finasteride (substance)|Substance (substance)|Testosterone enantate (substance),Finasteride (substance)|Substance (substance)|Testosterone and/or testosterone derivative (substance)
3298,NCT00475514,Frovatriptan succinate anhydrous (substance),Azole (substance)
3299,NCT00475865,Glatiramer acetate (substance)|Teriflunomide (substance),Immunosuppressant (substance)|Immunologic agent (substance)
3300,NCT00475878,Escitalopram (substance),Psychotropic agent (substance)
3301,NCT00476008,Memantine (substance),Memantine (substance)
3302,NCT00476151,Trifle with fresh cream (substance),Trifle with fresh cream (substance)
3303,NCT00477295,Carbamazepine (substance)|Zonisamide (substance),Carbamazepine (substance)|Amide (substance)
3304,NCT00477373,Pseudopelade (disorder),Pseudopelade (disorder)
3305,NCT00477503,Indium (111-In) pentetate (substance)|Gallium (67-Ga) citrate (substance),Radioactive isotope (substance)
3306,NCT00477659,Donepezil hydrochloride (substance),Ketone (substance)
3307,NCT00477802,Botulinum toxin type A (substance),Bacterial agent (substance)
3308,NCT00478179,Two patches (substance),Body tissue patch material (substance)
3309,NCT00478205,Donepezil hydrochloride monohydrate (substance),Ketone (substance)
3310,NCT00478465,Valganciclovir (substance),Nucleoside (substance)
3311,NCT00478647,Velaglucerase alfa (substance),Cerebrosidase (substance)
3312,NCT00478907,Psychotic disorder caused by ketamine (disorder),Psychotic disorder caused by ketamine (disorder)
3313,NCT00479154,Botulinum toxin type A (substance),Bacterial agent (substance)
3314,NCT00479219,Latamoxef disodium (substance),Amide (substance)
3315,NCT00479297,Probucol (substance),Polyphenol (substance)
3316,NCT00479349,Probucol (substance),Polyphenol (substance)
3317,NCT00479440,Samarium (substance),Samarium and/or samarium compound (substance)
3318,NCT00479557,Lymphocyte antigen CD3 (substance)|Itaqui virus disease (disorder)|Callaloo and cho cho (substance),Immunologic substance (substance)|Itaqui virus disease (disorder)|Callaloo and cho cho (substance)
3319,NCT00479700,Probucol (substance),Polyphenol (substance)
3320,NCT00479765,Albumin bound paclitaxel (substance),Antineoplastic agent (substance)
3321,NCT00480181,Nabilone (substance)|Substance (substance),Nabilone (substance)|Substance (substance)
3322,NCT00480207,Folic acid (substance)|N-3 fatty acid (substance)|Cyanocobalamin (substance),Nutrients (substance)|Essential fatty acid (substance)
