,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
2921,NCT00437632,Oxiconazole nitrate (substance),Oxiconazole nitrate (substance)
2922,NCT00437814,Ketamine (substance),Hallucinogenic agent (substance)
2923,NCT00437840,Oxiconazole nitrate (substance)|Nicotine (substance),Oxiconazole nitrate (substance)|Nicotine (substance)
2924,NCT00438087,Corticosteroid and/or corticosteroid derivative (substance),Corticosteroid and/or corticosteroid derivative (substance)
2925,NCT00438139,Dronabinol (substance)|Cannabis (substance),Synthetic cannabinoid (substance)|Hallucinogenic agent (substance)
2926,NCT00438386,Aripiprazole (substance),Aripiprazole (substance)
2927,NCT00438451,Anticonvulsant (substance)|Carbamazepine (substance)|Lamotrigine (substance)|Levetiracetam (substance),Anticonvulsant (substance)|Carbamazepine (substance)|Lamotrigine (substance)|Levetiracetam (substance)
2928,NCT00438568,Insulin (substance),Insulin (substance)
2929,NCT00438607,Ibritumomab tiuxetan (substance)|Levodopa (substance),Antibody (substance)|Catecholamine (substance)
2930,NCT00438776,Olanzapine (substance),Olanzapine (substance)
2931,NCT00438971,Duloxetine (substance),Antidepressant (substance)
2932,NCT00439166,Antineoplastic antibiotic (substance)|Doxycycline (substance)|Rifampicin (substance),Antineoplastic antibiotic (substance)|Doxycycline (substance)|Rifampicin (substance)
2933,NCT00439413,Selegiline (substance),Selegiline (substance)
2934,NCT00439634,Aripiprazole (substance)|Monosodium glutamate (substance)|Substance with cannabinoid receptor agonist mechanism of action (substance)|Substance with orexin receptor antagonist mechanism of action (substance)|Olanzapine (substance)|Paliperidone (substance)|Quetiapine (substance)|Risperidone (substance),Aripiprazole (substance)|Glutamate (substance)|Substance with cannabinoid receptor agonist mechanism of action (substance)|Substance with orexin receptor antagonist mechanism of action (substance)|Olanzapine (substance)|Paliperidone (substance)|Quetiapine (substance)|Risperidone (substance)
2935,NCT00439699,Memantine (substance),Memantine (substance)
2936,NCT00439868,Bambuterol hydrochloride (substance),Bronchodilator (substance)
2937,NCT00440050,Docosenoate (substance),Fatty acid (substance)
2938,NCT00440232,Frovatriptan (substance)|Tripe (substance),Frovatriptan (substance)|Tripe (substance)
2939,NCT00440323,Ticarcillin disodium (substance)|Zolpidem (substance),Lactam (substance)|Sedative (substance)
2940,NCT00440518,Lacosamide (substance),Lacosamide (substance)
2941,NCT00440713,Aripiprazole (substance),Aripiprazole (substance)
2942,NCT00440843,Olanzapine (substance),Olanzapine (substance)
2943,NCT00441103,Interferon beta-1a (substance)|Ring chromosome 17 syndrome (disorder),Mediator of immune response (substance)|Ring chromosome 17 syndrome (disorder)
2944,NCT00441259,Idecabtagene vicleucel (substance)|Polyvinyl chloride (substance)|Antigen of inactivated whole Japanese encephalitis virus adsorbed (substance)|Japanese encephalitis virus disease (disorder)|Antigen of inactivated whole Japanese encephalitis virus Nakayama-NIH strain (substance)|Remdesivir (substance),Genetically modified T-cell (substance)|Polyvinyl chloride (substance)|Antigen of Japanese encephalitis virus (substance)|Viral disease (disorder)|Remdesivir (substance)
2945,NCT00441285,Albendazole (substance)|Praziquantel (substance),Benzimidazole (substance)|Praziquantel (substance)
2946,NCT00441558,Flibanserin (substance),Benzimidazole (substance)
2947,NCT00441649,Methylphenidate (substance),Methylphenidate (substance)
2948,NCT00441896,Ganirelix (substance),Ganirelix (substance)
2949,NCT00442104,Ganirelix (substance),Ganirelix (substance)
2950,NCT00442169,Antigen of inactivated whole severe acute respiratory syndrome coronavirus 2 (substance)|Antigen of West Nile virus (substance),Antigen of inactivated whole severe acute respiratory syndrome coronavirus 2 (substance)|Antigen of West Nile virus (substance)
2951,NCT00442221,Cocktail (substance),Ethanol (substance)
2952,NCT00442325,Atorvastatin (substance)|Substance with 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitor mechanism of action (substance),Antilipemic agent (substance)
2953,NCT00442780,Ibritumomab tiuxetan (substance),Antibody (substance)
2954,NCT00442845,Atorvastatin (substance)|Substance with 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitor mechanism of action (substance),Antilipemic agent (substance)
2955,NCT00442923,Substance with beta adrenergic receptor antagonist mechanism of action (substance)|Carvedilol (substance),Substance with beta adrenergic receptor antagonist mechanism of action (substance)|Carvedilol (substance)
2956,NCT00442936,Carbidopa (substance)|Telaprevir (substance),Catecholamine (substance)|Gaseous substance (substance)
2957,NCT00443014,Donepezil (substance),Piperidine (substance)
2958,NCT00443209,Carbidopa (substance)|Telaprevir (substance),Catecholamine (substance)|Gaseous substance (substance)
2959,NCT00443352,Duloxetine (substance),Antidepressant (substance)
2960,NCT00443404,Clonidine (substance)|Gabapentin (substance)|Ketamine (substance),Clonidine (substance)|Nutrients (substance)|Hallucinogenic agent (substance)
2961,NCT00443417,Piblokto (disorder),Piblokto (disorder)
2962,NCT00443625,Skatole (substance),Skatole (substance)
2963,NCT00443846,Antigen of live attenuated Rotavirus (substance)|Antigen of Neisseria meningitidis serogroup C capsular oligosaccharide conjugated (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide (substance)|Mitomycin (substance),Antigen of live attenuated virus (substance)|Antigen of Neisseria meningitidis (substance)|Antineoplastic antibiotic (substance)
2964,NCT00443872,Substance with dopamine receptor agonist mechanism of action (substance)|Selegiline (substance)|Zeatin (substance),Substance with dopamine receptor agonist mechanism of action (substance)|Selegiline (substance)|Biocide (substance)
2965,NCT00444028,Loxapine (substance)|Stachyose (substance),Loxapine (substance)|Nutrients (substance)
2966,NCT00444873,Lanreotide (substance)|Octreotide (substance),Gastrointestinal hormone (substance)
2967,NCT00444886,Clostridium botulinum toxin (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
2968,NCT00444964,Somatotropin (substance),Somatotropin (substance)
2969,NCT00445705,Ticarcillin disodium (substance),Lactam (substance)
2970,NCT00446082,Pasireotide (substance),Gastrointestinal hormone (substance)
2971,NCT00446550,Camostat mesilate (substance)|Silver-104 (substance),Camostat mesilate (substance)|Radioactive isotope (substance)
2972,NCT00446641,Aspirin (substance)|Cilostazol (substance),Analgesic (substance)|Tetrazole (substance)
2973,NCT00446992,Psychotic disorder (disorder)|Olanzapine (substance),Psychotic disorder (disorder)|Olanzapine (substance)
2974,NCT00447018,Hypertonic saline (substance)|Mannitol (substance),Sodium chloride solution (substance)|Nutrients (substance)
2975,NCT00447369,Pregabalin (substance)|Sodium valproate (substance),Nutrients (substance)|Fatty acid (substance)
2976,NCT00447525,Cocktail (substance)|Antigen of inactivated whole Human poliovirus (substance)|Antigen of Bordetella pertussis toxoid (substance)|Acute poliomyelitis (disorder),Ethanol (substance)|Antigen of Human poliovirus (substance)|Antigen of acellular Bordetella pertussis (substance)|Viral disease (disorder)
2977,NCT00447941,Spinocerebellar ataxia type 36 (disorder),Spinocerebellar ataxia type 36 (disorder)
2978,NCT00448058,Latamoxef disodium (substance)|Venlafaxine (substance),Lactam (substance)|Antidepressant (substance)
2979,NCT00448578,Lithium (substance)|Quetiapine (substance)|Quetiapine fumarate (substance),Antidepressant (substance)|Quetiapine (substance)|Quetiapine fumarate (substance)
2980,NCT00448825,Topiramate (substance),Topiramate (substance)
2981,NCT00448890,Tazemetostat (substance),Tazemetostat (substance)
2982,NCT00448916,Pregabalin (substance),Nutrients (substance)
2983,NCT00449007,Antidepressant (substance)|Bupropion (substance)|Fluoxetine (substance),Antidepressant (substance)
2984,NCT00449397,Quetiapine fumarate (substance),Quetiapine fumarate (substance)
2985,NCT00449683,Terazosin (substance),Terazosin (substance)
2986,NCT00449709,Sitagliptin hydrochloride monohydrate (substance),Sitagliptin hydrochloride monohydrate (substance)
2987,NCT00449774,Lamotrigine (substance),Lamotrigine (substance)
2988,NCT00449787,Naproxen (substance)|Sumatriptan (substance),Analgesic (substance)|Sulfone (substance)
2989,NCT00449865,Creatine (substance),Metabolite (substance)
2990,NCT00450437,Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance),Antigen of Neisseria meningitidis (substance)
2991,NCT00451074,Gentamicin (substance),Glycoside (substance)
2992,NCT00451204,Estriol (substance)|Glatiramer (substance),Biochemical Down's screening marker (substance)|Immunosuppressant (substance)
2993,NCT00451451,Lymphocyte antigen CD2 (substance)|Glatiramer acetate (substance),Lymphocyte antigen (substance)|Immunosuppressant (substance)
2994,NCT00451633,Monosodium glutamate (substance)|Levodopa (substance),Glutamate (substance)|Catecholamine (substance)
2995,NCT00451750,Glucocorticoid (substance)|Hydrocortisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
2996,NCT00451815,Ibritumomab tiuxetan (substance),Antibody (substance)
2997,NCT00452231,Cycloserine (substance),Cycloserine (substance)
2998,NCT00452504,B*3504 (substance),B*3504 (substance)
2999,NCT00452621,Psychosis with origin in childhood (disorder)|Protein and/or protein derivative (substance)|Antigen of Tick-borne encephalitis virus (substance),Psychosis with origin in childhood (disorder)|Nutrients (substance)|Antigen of Tick-borne encephalitis virus (substance)
3000,NCT00453180,Acetylcysteine (substance),Nutrients (substance)
3001,NCT00453570,"Properdin (substance)|Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Clostridium tetani toxoid protein (substance)|Deoxythymidine diphosphate (substance)|Adverse reaction to component of vaccine product containing only acellular Bordetella pertussis, Clostridium tetani, Corynebacterium diphtheriae, Haemophilus influenzae type b, Hepatitis B virus and inactivated Human poliovirus antigens (disorder)|Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Acute poliomyelitis (disorder)|Antigen of inactivated whole Human poliovirus (substance)|Thymostimulin (substance)",Properdin (substance)|Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Deoxythymidine diphosphate (substance)|Adverse reaction to component of vaccine product (disorder)|Viral disease (disorder)|Antigen of Human poliovirus (substance)|Thymostimulin (substance)
3002,NCT00453609,Naltrexone (substance),Naltrexone (substance)
3003,NCT00453804,Naltrexone (substance),Naltrexone (substance)
3004,NCT00453921,Methylphenidate (substance),Methylphenidate (substance)
3005,NCT00454870,Memantine hydrochloride (substance),Memantine hydrochloride (substance)
3006,NCT00455000,Eptinezumab (substance),Antibody (substance)
3007,NCT00455143,Dexmedetomidine (substance),Sedative (substance)
3008,NCT00455234,Haloperidol (substance)|Olanzapine (substance)|Promethazine (substance),Ketone (substance)|Olanzapine (substance)|Promethazine (substance)
3009,NCT00455507,Istradefylline (substance)|A*6802 (substance),Istradefylline (substance)|A*6802 (substance)
3010,NCT00455520,Ceftazidime (substance)|Tapentadol (substance),Lactam (substance)|Analgesic (substance)
3011,NCT00455637,AbobotulinumtoxinA (substance)|Botulinum toxin type A (substance),Bacterial agent (substance)
3012,NCT00455702,Cycloserine (substance),Cycloserine (substance)
3013,NCT00455715,Substance with phosphodiesterase 5 inhibitor mechanism of action (substance)|Sildenafil (substance),Substance with phosphodiesterase 5 inhibitor mechanism of action (substance)|Sulfone (substance)
3014,NCT00456014,Antidepressant (substance),Antidepressant (substance)
3015,NCT00456339,Antineoplastic antibiotic (substance)|Steroid (substance),Antineoplastic antibiotic (substance)|Steroid (substance)
3016,NCT00456430,Antidepressant (substance)|Escitalopram (substance),Antidepressant (substance)
3017,NCT00456586,Carbidopa (substance)|Istradefylline (substance)|A*6802 (substance)|Levodopa (substance),Catecholamine (substance)|Istradefylline (substance)|A*6802 (substance)
3018,NCT00456794,Carbidopa (substance)|Istradefylline (substance)|Levodopa (substance),Catecholamine (substance)|Istradefylline (substance)
3019,NCT00456820,Bupropion (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Bambuterol hydrochloride (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Bronchodilator (substance)
3020,NCT00456898,Genetic code (substance)|Codeine (substance)|Desvenlafaxine (substance)|Dissociated vertical deviation (disorder)|Morphine (substance)|Paroxetine (substance),Genetic code (substance)|Analgesic (substance)|Antidepressant (substance)|Dissociated vertical deviation (disorder)
3021,NCT00456937,Escitalopram (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
3022,NCT00456976,Anti-psychotic agent (substance)|Selegiline (substance),Anti-psychotic agent (substance)|Selegiline (substance)
3023,NCT00457054,Lithium (substance),Antidepressant (substance)
3024,NCT00457106,Paroxetine (substance)|Risperidone (substance),Antidepressant (substance)|Risperidone (substance)
3025,NCT00457197,Quetiapine (substance),Quetiapine (substance)
3026,NCT00457730,Duloxetine (substance)|Ibuprofen (substance),Antidepressant (substance)|Analgesic (substance)
3027,NCT00457769,Androgen receptor (substance)|Donepezil (substance),Receptor (substance)|Piperidine (substance)
3028,NCT00457808,Sirolimus (substance),Lactam (substance)
3029,NCT00457899,Quetiapine (substance),Quetiapine (substance)
3030,NCT00457964,Everolimus (substance),Lactam (substance)
3031,NCT00458107,Spinocerebellar ataxia type 36 (disorder),Spinocerebellar ataxia type 36 (disorder)
3032,NCT00458211,Ziprasidone (substance),Ziprasidone (substance)
3033,NCT00459264,Folic acid (substance),Nutrients (substance)
3034,NCT00459316,Antigen of Human gammaherpesvirus 4 capsid protein (substance)|Aseptic meningitis (disorder)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated (substance),Antigen of Human gammaherpesvirus 4 capsid protein (substance)|Aseptic meningitis (disorder)|Antigen of Neisseria meningitidis (substance)
3035,NCT00459420,Caffeine (substance)|Maturity-onset diabetes of the young (disorder),Caffeine (substance)|Maturity-onset diabetes of the young (disorder)
3036,NCT00459550,Oxiconazole nitrate (substance),Oxiconazole nitrate (substance)
3037,NCT00459667,Interferon beta (substance)|Interferon beta-1b (substance),Mediator of immune response (substance)
3038,NCT00460148,Ropinirole (substance),Ropinirole (substance)
3039,NCT00460161,Tramadol (substance),Analgesic (substance)
3040,NCT00460473,Dexmedetomidine (substance),Sedative (substance)
3041,NCT00460486,Incomplete adjuvant (substance),Mediator of immune response (substance)
3042,NCT00460512,Paliperidone (substance),Paliperidone (substance)
3043,NCT00460564,Oxiconazole nitrate (substance),Oxiconazole nitrate (substance)
3044,NCT00460655,Oxiconazole nitrate (substance),Oxiconazole nitrate (substance)
3045,NCT00461149,Octreotide acetate (substance)|Somatostatin analog (substance),Gastrointestinal hormone (substance)
3046,NCT00461656,Povidone iodine (substance),Povidone iodine (substance)
3047,NCT00462007,Didanosine (substance)|Levodopa (substance),Didanosine (substance)|Catecholamine (substance)
3048,NCT00462228,Memantine (substance),Memantine (substance)
3049,NCT00462449,Botulinum toxin type A (substance)|Clostridium botulinum toxin (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
3050,NCT00463203,Bevacizumab (substance)|Irinotecan (substance),Antibody (substance)|Piperidine (substance)
3051,NCT00463346,Acamprosate (substance),Nutrients (substance)
3052,NCT00463372,Platelet factor 4 (substance)|Pipotiazine palmitate (substance),Mucopolysaccharide (substance)|Pipotiazine palmitate (substance)
3053,NCT00463437,Antigen of Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate conjugated to Neisseria meningitidis serogroup B outer membrane protein (substance)|Pentetic acid (substance)|Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Antigen of Neisseria meningitidis serogroup C (substance)|Antigen of Streptococcus pneumoniae capsular polysaccharide conjugated (substance)|Sitaxentan (substance),Antigen of Haemophilus influenzae type b capsular polysaccharide conjugated (substance)|Pentetic acid (substance)|Antigen of Neisseria meningitidis (substance)|Antigen of Streptococcus pneumoniae capsular polysaccharide (substance)|Isoxazole (substance)
3054,NCT00463476,Japanese encephalitis virus disease (disorder)|Antigen of inactivated whole Japanese encephalitis virus SA14-14-2 strain (substance)|Modified measles (disorder)|Antigen of inactivated whole Japanese encephalitis virus adsorbed (substance),Viral disease (disorder)|Antigen of Japanese encephalitis virus (substance)
3055,NCT00463580,Infliximab (substance)|Substance with tumor necrosis factor alpha inhibitor mechanism of action (substance),Antibody (substance)|Substance with tumor necrosis factor alpha inhibitor mechanism of action (substance)
3056,NCT00463684,Japanese encephalitis virus disease (disorder)|Antigen of inactivated whole Japanese encephalitis virus SA14-14-2 strain (substance)|Modified measles (disorder),Viral disease (disorder)|Antigen of Japanese encephalitis virus (substance)
3057,NCT00463775,Topiramate (substance),Topiramate (substance)
3058,NCT00463879,Galantamine (substance)|Substance with nicotinic receptor agonist mechanism of action (substance),Benzazepine (substance)|Substance with nicotinic receptor agonist mechanism of action (substance)
3059,NCT00463957,Sildenafil (substance)|Tadalafil (substance),Sulfone (substance)|Tadalafil (substance)
3060,NCT00464061,Monuron (substance)|Pimavanserin (substance),Biocide (substance)|Piperidine (substance)
3061,NCT00464191,Escitalopram (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)
3062,NCT00464243,Monuron (substance)|Pimavanserin (substance),Biocide (substance)|Piperidine (substance)
3063,NCT00464269,Brivaracetam (substance),Brivaracetam (substance)
3064,NCT00464334,Inanition (disorder)|Immunostimulating conjugate antigen (substance)|Ruthenium-95 (substance),Inanition (disorder)|Immunostimulating conjugate antigen (substance)|Radioactive isotope (substance)
3065,NCT00464698,Duloxetine (substance),Antidepressant (substance)
3066,NCT00464763,Dexmedetomidine (substance),Sedative (substance)
3067,NCT00464958,Tizanidine (substance)|Tizanidine hydrochloride (substance),Tizanidine (substance)|Tizanidine hydrochloride (substance)
3068,NCT00465153,Linolenic acid (substance)|Vegetable flan (substance)|N-3 fatty acid (substance),Fatty acid (substance)|Vegetable flan (substance)
3069,NCT00465244,Benzotriazole (substance)|Benzazepine (substance)|Lev's syndrome (disorder)|Levetiracetam (substance)|Lorazepam (substance),Benzotriazole (substance)|Benzazepine (substance)|Lev's syndrome (disorder)|Levetiracetam (substance)|Hypnotic agent (substance)
3070,NCT00465283,Donepezil (substance),Piperidine (substance)
3071,NCT00465439,Lidocaine (substance)|Lidocaine hydrochloride anhydrous (substance),Local anesthetic (substance)
3072,NCT00465452,"Substance dependence, continuous (disorder)|Substance with dopamine receptor agonist mechanism of action (substance)|Pramipexole (substance)|Ropinirole (substance)","Substance dependence, continuous (disorder)|Substance with dopamine receptor agonist mechanism of action (substance)|Pramipexole (substance)|Ropinirole (substance)"
3073,NCT00465517,Ganirelix (substance),Ganirelix (substance)
3074,NCT00465595,Psilocybin (substance),Hallucinogenic agent (substance)
3075,NCT00465608,Propranolol (substance),Propranolol (substance)
3076,NCT00466167,Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|Levodopa (substance)|Pramipexole (substance),Substance with dihydroxyphenylalanine decarboxylase inhibitor mechanism of action (substance)|Catecholamine (substance)|Pramipexole (substance)
3077,NCT00466310,Anti-psychotic agent (substance)|Aripiprazole (substance)|Risperidone (substance),Anti-psychotic agent (substance)|Aripiprazole (substance)|Risperidone (substance)
3078,NCT00466609,Clomipramine (substance)|Fluoxetine (substance)|Quetiapine (substance),Antidepressant (substance)|Quetiapine (substance)
3079,NCT00466661,Acamprosate (substance)|Mood disorder (disorder)|Antidepressant (substance),Nutrients (substance)|Mood disorder (disorder)|Antidepressant (substance)
3080,NCT00467259,Testosterone (substance),Sex hormone (substance)
3081,NCT00467454,Naltrexone (substance),Naltrexone (substance)
3082,NCT00467584,Aspirin (substance),Analgesic (substance)
3083,NCT00468052,Dexmedetomidine (substance),Sedative (substance)
3084,NCT00468481,Folic acid (substance),Nutrients (substance)
3085,NCT00468650,Mefenorex (substance)|Sildenafil (substance)|Sildenafil citrate (substance),Amfetamine and/or amfetamine derivative (substance)|Sulfone (substance)
3086,NCT00468897,Carbenicillin disodium (substance)|Rosiglitazone (substance),Lactam (substance)|Rosiglitazone (substance)
3087,NCT00468923,Candesartan (substance)|Cholesterol (substance)|Hydrochlorothiazide (substance)|Rosuvastatin (substance),Benzimidazole (substance)|Cholesterol (substance)|Diuretic (substance)|Antilipemic agent (substance)
3088,NCT00469378,Rasburicase (substance),Rasburicase (substance)
3089,NCT00469456,Memantine (substance),Memantine (substance)
3090,NCT00469664,Aripiprazole (substance)|Guanfacine (substance)|Olanzapine (substance)|Quetiapine (substance)|Risperidone (substance),Aripiprazole (substance)|Guanfacine (substance)|Olanzapine (substance)|Quetiapine (substance)|Risperidone (substance)
3091,NCT00470418,Nickel carbonyl (substance),Nickel carbonyl (substance)
3092,NCT00470509,Adalimumab (substance)|Substance with tumor necrosis factor alpha inhibitor mechanism of action (substance),Antibody (substance)|Substance with tumor necrosis factor alpha inhibitor mechanism of action (substance)
3093,NCT00470925,Sertindole (substance)|Sertraline (substance),Piperidine (substance)|Antidepressant (substance)
3094,NCT00471211,Beta-alanine-pyruvate aminotransferase (substance),Beta-alanine-pyruvate aminotransferase (substance)
3095,NCT00471445,Amitriptyline (substance)|Ketamine (substance),Antidepressant (substance)|Hallucinogenic agent (substance)
3096,NCT00471588,Amisulpride (substance)|Substance with dopamine receptor D2 antagonist mechanism of action (substance)|Pramipexole (substance),Amisulpride (substance)|Substance with dopamine receptor D2 antagonist mechanism of action (substance)|Pramipexole (substance)
3097,NCT00471744,Anticonvulsant (substance)|Levetiracetam (substance)|Sulthiamine (substance),Anticonvulsant (substance)|Levetiracetam (substance)|Sulfone (substance)
3098,NCT00472199,Elapegademase (substance)|Pramipexole (substance)|Saprol (substance),Recombinant protein (substance)|Pramipexole (substance)|Saprol (substance)
3099,NCT00472355,Apomorphine (substance),Apomorphine (substance)
3100,NCT00472641,Germanium radioisotope (substance)|Ziprasidone (substance),Radioactive isotope (substance)|Ziprasidone (substance)
3101,NCT00473213,Interferon beta antibody (substance)|Interferon beta (substance)|Interferon beta-1b (substance),Antibody (substance)|Mediator of immune response (substance)
3102,NCT00473434,Paliperidone (substance),Paliperidone (substance)
3103,NCT00473902,Linoleic acid (substance)|Creatine monohydrate (substance)|Vincristine sulfate (substance),Fatty acid (substance)|Metabolite (substance)|Vincristine sulfate (substance)
3104,NCT00474058,Rotigotine (substance),Rotigotine (substance)
3105,NCT00474409,Betahistine mesilate (substance),Betahistine mesilate (substance)
3106,NCT00474487,Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance)|Polysaccharide (substance),Antigen of Neisseria meningitidis (substance)|Nutrients (substance)
3107,NCT00474513,Protein kinase (substance)|Baloxavir marboxil (substance)|Substance with histamine H3 receptor antagonist mechanism of action (substance),Protein kinase (substance)|Baloxavir marboxil (substance)|Substance with histamine H3 receptor antagonist mechanism of action (substance)
3108,NCT00474526,Antigen of Neisseria meningitidis serogroup A capsular oligosaccharide conjugated (substance),Antigen of Neisseria meningitidis (substance)
3109,NCT00474552,Samarium (substance),Samarium (substance)
3110,NCT00474916,Krypton-85 (substance),Radioactive isotope (substance)
3111,NCT00475462,Metoprolol (substance),Metoprolol (substance)
3112,NCT00475501,Finasteride (substance)|Testosterone (substance),Finasteride (substance)|Sex hormone (substance)
3113,NCT00475514,Frovatriptan (substance),Frovatriptan (substance)
3114,NCT00475865,Gallium (substance)|Glatiramer acetate (substance)|Teriflunomide (substance),Gallium (substance)|Immunosuppressant (substance)|Immunologic agent (substance)
3115,NCT00475878,Antidepressant (substance)|Buprenorphine (substance)|Escitalopram (substance),Antidepressant (substance)|Analgesic (substance)
3116,NCT00476008,Memantine (substance),Memantine (substance)
3117,NCT00476151,Amitriptyline (substance)|Antigen of Neisseria meningitidis serogroup C capsular oligosaccharide conjugated to Corynebacterium diphtheriae cross-reacting material 197 protein (substance)|Ketamine (substance),Antidepressant (substance)|Antigen of Neisseria meningitidis (substance)|Hallucinogenic agent (substance)
3118,NCT00477295,Carbamazepine (substance)|Zonisamide (substance),Carbamazepine (substance)|Sulfone (substance)
3119,NCT00477373,Valproate (substance)|Valproic acid (substance),Fatty acid (substance)
3120,NCT00477503,Citrate (substance)|Pentetic acid (substance),Citrate (substance)|Pentetic acid (substance)
3121,NCT00477659,Donepezil (substance)|Donepezil hydrochloride (substance),Piperidine (substance)
3122,NCT00477802,Clostridium botulinum toxin (substance)|Botulinum toxin type A (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
3123,NCT00478179,Bupivacaine (substance)|Ethylene (substance),Local anesthetic (substance)|Ethylene (substance)
3124,NCT00478205,Donepezil (substance),Piperidine (substance)
3125,NCT00478465,Valganciclovir (substance),Valganciclovir (substance)
3126,NCT00478647,Glucosylceramidase (substance)|Imiglucerase (substance)|Velaglucerase alfa (substance),Cerebrosidase (substance)
3127,NCT00479154,Clostridium botulinum toxin (substance)|Botulinum toxin type A (substance)|OnabotulinumtoxinA (substance),Bacterial agent (substance)
3128,NCT00479219,Latamoxef disodium (substance),Lactam (substance)
3129,NCT00479297,Probucol (substance),Polyphenol (substance)
3130,NCT00479349,Probucol (substance),Polyphenol (substance)
3131,NCT00479440,Samarium (substance),Samarium (substance)
3132,NCT00479557,Lymphocyte antigen CD3 (substance)|Neon-21 (substance),Lymphocyte antigen (substance)|Neon-21 (substance)
3133,NCT00479700,Probucol (substance),Polyphenol (substance)
3134,NCT00479765,Paclitaxel (substance)|Regan isoenzyme (substance),Terpene (substance)|Alkaline phosphatase (substance)
3135,NCT00480181,Gabapentin (substance)|Nabilone (substance),Nutrients (substance)|Synthetic cannabinoid (substance)
3136,NCT00480207,Folic acid (substance)|N-3 fatty acid (substance),Nutrients (substance)|Fatty acid (substance)
3137,NCT00480441,Dronabinol (substance)|Cannabis (substance),Synthetic cannabinoid (substance)|Hallucinogenic agent (substance)
3138,NCT00480467,Samarium (substance),Samarium (substance)
3139,NCT00480571,B*4003 (substance),B*4003 (substance)
3140,NCT00480818,Probucol (substance),Polyphenol (substance)
3141,NCT00480844,Risperidone (substance)|Sertindole (substance),Risperidone (substance)|Piperidine (substance)
3142,NCT00480870,Substance with acetylcholinesterase inhibitor mechanism of action (substance)|Donepezil (substance),Substance with acetylcholinesterase inhibitor mechanism of action (substance)|Piperidine (substance)
3143,NCT00481013,Valproic acid (substance),Fatty acid (substance)
3144,NCT00481520,Probucol (substance),Polyphenol (substance)
3145,NCT00481975,Rimonabant (substance),Rimonabant (substance)
3146,NCT00482430,Carbidopa (substance),Catecholamine (substance)
3147,NCT00483028,Donepezil (substance),Piperidine (substance)
3148,NCT00483314,Acetylcysteine (substance),Nutrients (substance)
3149,NCT00483379,Alglucosidase alfa (substance),Alglucosidase alfa (substance)
3150,NCT00483535,Ethinylestradiol (substance)|Clofazimine (substance)|Levonorgestrel (substance),Estradiol and/or estradiol derivative (substance)|Antileprotic drug (substance)|Sex hormone (substance)
3151,NCT00483548,Lamotrigine (substance)|Lithium (substance)|Mood disorder (disorder)|Valproate (substance)|Valproic acid (substance)|Ziprasidone (substance),Lamotrigine (substance)|Antidepressant (substance)|Mood disorder (disorder)|Fatty acid (substance)|Ziprasidone (substance)
3152,NCT00483574,Antigen of Neisseria meningitidis serogroup A capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance)|Antigen of Neisseria meningitidis serogroup C capsular polysaccharide conjugated to Corynebacterium diphtheriae toxoid protein (substance),Antigen of Neisseria meningitidis (substance)
3153,NCT00483652,Fampridine (substance),Biocide (substance)
3154,NCT00483704,Carbidopa (substance)|Telaprevir (substance),Catecholamine (substance)|Gaseous substance (substance)
3155,NCT00483717,Ketorolac (substance)|Ketorolac trometamol (substance),Analgesic (substance)
3156,NCT00484471,Aripiprazole (substance)|Valproate (substance)|Valproic acid (substance),Aripiprazole (substance)|Fatty acid (substance)
3157,NCT00484536,Cytidine diphosphate (substance),Cytidine diphosphate (substance)
3158,NCT00484692,Bupropion (substance),Antidepressant (substance)
3159,NCT00484757,Orexin (substance),Orexin (substance)
