,nct_id,canonical_aact_conditions,snomed_termid,aact_snomed_term_canonical_conditions,aact_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
4457,NCT00474487,meningococcal meningitis,192644005,Meningococcal meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4459,NCT00474526,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4506,NCT00481013,spinal muscular atrophy,5262007,Spinal muscular atrophy (disorder),0.0059,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4507,NCT00481013,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4516,NCT00483574,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4517,NCT00483574,meningococcal meningitis,192644005,Meningococcal meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4526,NCT00484692,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4527,NCT00484692,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4532,NCT00485511,spinal muscular atrophy,5262007,Spinal muscular atrophy (disorder),0.0059,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4533,NCT00485511,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4547,NCT00487630,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
4579,NCT00490789,tuberous sclerosis,7199000,Tuberous sclerosis syndrome (disorder),0.0044,"[363235000, 126950007]","['Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Hereditary disorder of nervous system (disorder)
4625,NCT00495352,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4639,NCT00497159,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
4664,NCT00501748,neuromyelitis optica,25044007,Neuromyelitis optica (disorder),0.007,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
4667,NCT00502216,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4671,NCT00503230,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4673,NCT00503529,"encephalitis, tick-borne",712986001,Encephalitis caused by tick-borne encephalitis virus (disorder),3.1432,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
4707,NCT00507728,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4719,NCT00510263,bell palsy,193093009,Bell's palsy (disorder),0.0,"[422426003, 37340000]","['Facial nerve disorder (disorder)', 'Motor neuron disease (disorder)']",Facial nerve disorder (disorder)
4722,NCT00511134,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4745,NCT00514774,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
4771,NCT00518180,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4772,NCT00518180,meningococcal meningitis,192644005,Meningococcal meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
4782,NCT00519181,"paraparesis, tropical spastic",714279000,Myelopathy caused by Human T-lymphotropic virus 1 (disorder),2.0023,"[128117002, 48522003]","['Infectious disease of central nervous system (disorder)', 'Spinal cord disorder (disorder)']",Infectious disease of central nervous system (disorder)
4816,NCT00526071,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
4825,NCT00527410,meningeal carcinomatosis,230156002,Malignant meningitis (disorder),0.0,"[7180009, 126950007]","['Meningitis (disorder)', 'Neoplasm of nervous system (disorder)']",Meningitis (disorder)
4830,NCT00528151,"optic atrophy, hereditary, leber",58610003,Leber's optic atrophy (disorder),4.8251,"[77157004, 363235000]","['Disorder of optic nerve (disorder)', 'Hereditary disorder of nervous system (disorder)']",Disorder of optic nerve (disorder)
4831,NCT00528268,spinal muscular atrophy,5262007,Spinal muscular atrophy (disorder),0.0059,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4832,NCT00528268,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4838,NCT00530127,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
4863,NCT00533221,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
4864,NCT00533286,paresis,51928006,General paresis - neurosyphilis (disorder),6.3478,"[128117002, 78689005]","['Infectious disease of central nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Infectious disease of central nervous system (disorder)
4868,NCT00534001,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4871,NCT00534404,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
4900,NCT00537680,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
4921,NCT00541216,"myasthenic syndromes, congenital",230672006,Congenital myasthenic syndrome (disorder),2.4075,"[128213006, 363235000, 257277002]","['Neuromuscular junction disorder (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)']",Neuromuscular junction disorder (disorder)
4969,NCT00548470,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5059,NCT00563563,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5072,NCT00566046,"epilepsy, post-traumatic",75023009,Post-traumatic epilepsy (disorder),2.3339,"[128613002, 127295002]","['Seizure disorder (disorder)', 'Traumatic brain injury (disorder)']",Seizure disorder (disorder)
5095,NCT00567320,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5107,NCT00568698,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
5109,NCT00568802,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
5122,NCT00571805,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5135,NCT00573885,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5149,NCT00576927,sleep deprivation,248256006,Not getting enough sleep (disorder),7.9688,"[194437008, 44186003]","['Disorders of initiating and maintaining sleep (disorder)', 'Dyssomnia (disorder)']",Disorders of initiating and maintaining sleep (disorder)
5153,NCT00578669,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5186,NCT00584805,"encephalomyelitis, eastern equine",417496004,Neuroinvasive Eastern equine encephalitis virus infection (disorder),2.3215,"[128117002, 416925005, 45170000]","['Infectious disease of central nervous system (disorder)', 'Eastern equine encephalitis virus infection (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5200,NCT00587769,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5229,NCT00592995,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
5238,NCT00593957,rett syndrome,68618008,Rett syndrome (disorder),0.0,"[35919005, 363235000, 110359009, 78689005]","['Pervasive developmental disorder (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Intellectual disability (disorder)', 'Chronic brain syndrome (disorder)']",Pervasive developmental disorder (disorder)
5249,NCT00594958,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5250,NCT00594958,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5252,NCT00595270,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5253,NCT00595270,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5254,NCT00595309,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5255,NCT00595309,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5256,NCT00595465,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5257,NCT00595465,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5263,NCT00595790,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5264,NCT00595790,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5265,NCT00595868,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5266,NCT00595868,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5271,NCT00596271,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5272,NCT00596271,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5315,NCT00602927,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5328,NCT00604708,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5329,NCT00604708,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5334,NCT00605085,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5335,NCT00605085,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5364,NCT00608881,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
5377,NCT00611650,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5423,NCT00618280,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5431,NCT00619203,"meningitis, bacterial",95883001,Bacterial meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
5432,NCT00619203,bacterial meningitis,95883001,Bacterial meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
5451,NCT00621764,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5452,NCT00621764,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5473,NCT00625131,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5519,NCT00631202,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
5542,NCT00632645,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
5548,NCT00634270,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
5589,NCT00640003,ataxia telangiectasia,68504005,Ataxia-telangiectasia syndrome (disorder),0.0039,"[48522003, 363235000]","['Spinal cord disorder (disorder)', 'Hereditary disorder of nervous system (disorder)']",Spinal cord disorder (disorder)
5623,NCT00643136,sleep deprivation,248256006,Not getting enough sleep (disorder),7.9688,"[194437008, 44186003]","['Disorders of initiating and maintaining sleep (disorder)', 'Dyssomnia (disorder)']",Disorders of initiating and maintaining sleep (disorder)
5631,NCT00644137,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5701,NCT00652457,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
5737,NCT00657202,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
5783,NCT00664755,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5788,NCT00665223,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
5798,NCT00666978,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5799,NCT00667602,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
5800,NCT00667602,meningococcal meningitis,192644005,Meningococcal meningitis (disorder),0.0,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
5817,NCT00668564,"leukodystrophy, globoid cell",192782005,Galactosylceramide beta-galactosidase deficiency (disorder),3.0787,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
5818,NCT00668564,krabbe disease,192782005,Galactosylceramide beta-galactosidase deficiency (disorder),0.0053,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
5826,NCT00670904,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5865,NCT00678314,carpal tunnel syndrome,57406009,Carpal tunnel syndrome (disorder),0.0,"[397828008, 128189008]","['Median neuropathy (disorder)', 'Mononeuropathy (disorder)']",Median neuropathy (disorder)
5887,NCT00683189,metachromatic leukodystrophy,396338004,Metachromatic leucodystrophy (disorder),0.0053,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
5888,NCT00683189,"leukodystrophy, metachromatic",396338004,Metachromatic leucodystrophy (disorder),3.0331,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
5940,NCT00690924,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5941,NCT00691132,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
5958,NCT00694460,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5959,NCT00694460,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0066,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5965,NCT00697073,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
5968,NCT00697164,"malaria, cerebral",53622003,Cerebral malaria (disorder),1.8365,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
5970,NCT00697814,prolactinoma,134209002,Prolactinoma (disorder),0.002,"[399244003, 126950007]","['Disorder of pituitary gland (disorder)', 'Neoplasm of nervous system (disorder)']",Disorder of pituitary gland (disorder)
5986,NCT00701233,carpal tunnel syndrome,57406009,Carpal tunnel syndrome (disorder),0.0,"[397828008, 128189008]","['Median neuropathy (disorder)', 'Mononeuropathy (disorder)']",Median neuropathy (disorder)
5989,NCT00701415,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
6034,NCT00709696,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
6038,NCT00710034,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
6051,NCT00712426,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
6076,NCT00716066,neuromyelitis optica,25044007,Neuromyelitis optica (disorder),0.007,"[77157004, 48522003]","['Disorder of optic nerve (disorder)', 'Spinal cord disorder (disorder)']",Disorder of optic nerve (disorder)
6080,NCT00716066,myasthenia gravis,91637004,Myasthenia gravis (disorder),0.0,"[128213006, 257277002]","['Neuromuscular junction disorder (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)']",Neuromuscular junction disorder (disorder)
6110,NCT00722124,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
6121,NCT00724048,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
6139,NCT00727103,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
6144,NCT00727194,myasthenia gravis,91637004,Myasthenia gravis (disorder),0.0,"[128213006, 257277002]","['Neuromuscular junction disorder (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)']",Neuromuscular junction disorder (disorder)
6145,NCT00727233,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
6163,NCT00731055,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
6197,NCT00735644,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.002,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
