,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
16009,NCT01038570,syndrome of prader-willi,89392001,Prader-Willi syndrome (disorder),2.7995,"[362969004, 42030000, 276654001]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)', 'Congenital malformation (disorder)']",Disorder of endocrine system (disorder)
16021,NCT01039909,immobilization-induced skeletal muscle atrophy,240129002,Disuse muscle atrophy (disorder),10.4885,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
16034,NCT01041157,cervical dystonia,74333002,Spasmodic torticollis (disorder),0.0,"[15802004, 75047002]","['Dystonia (disorder)', 'Disorder of skeletal muscle (disorder)']",Dystonia (disorder)
16042,NCT01041495,muscle spasm,48532005,Muscle strain (disorder),10.0736,"[282026002, 75047002, 95847005, 105606008]","['Soft tissue injury (disorder)', 'Disorder of skeletal muscle (disorder)', 'Injury of muscle (disorder)', 'Injury of musculoskeletal system (disorder)']",Soft tissue injury (disorder)
16064,NCT01042574,ventriculostomy,230807001,Brain ventricular shunt displacement (disorder),12.4765,"[88797001, 111746009, 738668004]","['Complication of surgical procedure (disorder)', 'Mechanical complication of device (disorder)', 'Perioperative complication (disorder)']",Complication of surgical procedure (disorder)
16076,NCT01044693,autonomic failure,84438001,Pure autonomic failure (disorder),0.005,"[45007003, 15241006, 785810000, 128283000]","['Low blood pressure (disorder)', 'Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)', 'Chronic nervous system disorder (disorder)']",Low blood pressure (disorder)
16082,NCT01044992,multi systemic atrophy,230297002,Multiple system atrophy (disorder),8.286,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
16083,NCT01044992,multiple system atrophy,230297002,Multiple system atrophy (disorder),0.0,"[15241006, 785810000]","['Disorder of autonomic nervous system (disorder)', 'Synucleinopathy (disorder)']",Disorder of autonomic nervous system (disorder)
16090,NCT01045122,sleep-induced upper airway collapse,230493001,Mixed sleep apnea (disorder),10.7681,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16092,NCT01045720,clozapine,387568001,Clozapine,0.0039,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Clozapine
16093,NCT01045720,hypersalivation,53827007,Excessive salivation (disorder),0.0059,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
16098,NCT01046786,chronic spinal cord injuries,434371000124108,Chronic disorder of spinal cord (disorder),6.7675,"[48522003, 128283000]","['Spinal cord disorder (disorder)', 'Chronic nervous system disorder (disorder)']",Spinal cord disorder (disorder)
16103,NCT01047488,painful polyneuropathy,39231000087102,Chronic painful polyneuropathy (disorder),7.6954,"[247384001, 302226006, 128283000]","['Neurological pain disorder (disorder)', 'Peripheral nerve disease (disorder)', 'Chronic nervous system disorder (disorder)']",Neurological pain disorder (disorder)
16109,NCT01047527,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
16111,NCT01047592,chronic schizophrenic,83746006,Chronic schizophrenia (disorder),4.956,"[128293007, 58214004]","['Chronic mental disorder (disorder)', 'Schizophrenia (disorder)']",Chronic mental disorder (disorder)
16113,NCT01047839,jev,52947006,Japanese encephalitis virus disease (disorder),11.2463,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
16116,NCT01048138,"epilepsy, post-traumatic",75023009,Post-traumatic epilepsy (disorder),2.3339,"[128613002, 127295002]","['Seizure disorder (disorder)', 'Traumatic brain injury (disorder)']",Seizure disorder (disorder)
16118,NCT01048242,sleep apnea syndromes,73430006,Sleep apnea (disorder),1.7621,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16119,NCT01048255,treatment-resistant partial epilepsy,290741000119102,Intractable idiopathic partial epilepsy (disorder),10.2468,"[128613002, 41969006]","['Seizure disorder (disorder)', 'Idiopathic disease (disorder)']",Seizure disorder (disorder)
16122,NCT01048684,supratentorial craniotomies,28740008,Trigonocephaly (disorder),13.4068,"[276654001, 88230002]","['Congenital malformation (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
16135,NCT01049399,mild to moderate progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),10.4706,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16136,NCT01049399,mild-to-moderate progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),10.0141,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16155,NCT01051271,moderate to severe vascular type headache,128187005,Vascular headache (disorder),11.0716,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16156,NCT01051271,nausea,762279002,Functional nausea (disorder),7.6164,"[119292006, 50410009]","['Disorder of gastrointestinal tract (disorder)', 'Disorder of upper digestive tract (disorder)']",Disorder of gastrointestinal tract (disorder)
16160,NCT01051440,attention deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),0.0041,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16170,NCT01052363,recurrent gliomas,25173007,Recurrent neoplasm (disorder),11.615,"[58184002, 55342001]","['Recurrent disease (disorder)', 'Neoplastic disease (disorder)']",Recurrent disease (disorder)
16171,NCT01052363,recurrent high-grade gliomas,25173007,Recurrent neoplasm (disorder),13.3853,"[58184002, 55342001]","['Recurrent disease (disorder)', 'Neoplastic disease (disorder)']",Recurrent disease (disorder)
16175,NCT01052623,ataxia telangiectasia,68504005,Ataxia-telangiectasia syndrome (disorder),0.0052,"[48522003, 234532001, 276654001, 27550009, 223176004]","['Spinal cord disorder (disorder)', 'Immunodeficiency disorder (disorder)', 'Congenital malformation (disorder)', 'Disorder of blood vessel (disorder)', 'Cerebellar disorder (disorder)']",Spinal cord disorder (disorder)
16182,NCT01053156,fragile x syndrome,613003,Fragile X syndrome (disorder),0.006,"[276654001, 409709004, 110359009]","['Congenital malformation (disorder)', 'Chromosomal disorder (disorder)', 'Intellectual disability (disorder)']",Congenital malformation (disorder)
16185,NCT01053507,post-traumatic headache,230477005,Chronic post-traumatic headache (disorder),7.8118,"[230461009, 14817008]","['Headache disorder (disorder)', 'Late effect of injury (disorder)']",Headache disorder (disorder)
16206,NCT01054976,serious disturbance of attention,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",11.4519,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16208,NCT01055171,alcohol dependence,66590003,Alcohol dependence (disorder),0.0,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
16217,NCT01056965,cbs,24308003,Cystathionine beta-synthase deficiency (disorder),8.9771,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16221,NCT01056965,progressive supranuclear palsy,192976002,Progressive supranuclear palsy (disorder),0.002,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16223,NCT01056965,"supranuclear palsy, progressive",192976002,Progressive supranuclear palsy (disorder),2.2785,"[29426003, 128283000, 45030009]","['Paralytic syndrome (disorder)', 'Chronic nervous system disorder (disorder)', 'Disorder of eye movements (disorder)']",Paralytic syndrome (disorder)
16226,NCT01057082,sarcopenia,772791006,Sarcopenia (disorder),0.0,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
16227,NCT01057160,acute migraine,4473006,Migraine with aura (disorder),8.209,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16228,NCT01057680,muscle and bone loss,772791006,Sarcopenia (disorder),6.7084,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
16229,NCT01057680,reduction in muscle and bone,772791006,Sarcopenia (disorder),11.3389,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
16242,NCT01058395,moderate and severe tbi,127300000,Traumatic brain injury with moderate loss of consciousness (disorder),9.8248,"[127295002, 127297005]","['Traumatic brain injury (disorder)', 'Intracranial injury with loss of consciousness (disorder)']",Traumatic brain injury (disorder)
16244,NCT01058395,tbi,110030002,Concussion injury of brain (disorder),10.878,"[127295002, 708540005]","['Traumatic brain injury (disorder)', 'Concussion injury of body structure (disorder)']",Traumatic brain injury (disorder)
16245,NCT01058642,"neuralgia, postherpetic",2177002,Postherpetic neuralgia (disorder),2.2055,"[17111003, 123948009, 363302008]","['Postinfectious neuralgia (disorder)', 'Disorder following viral disease (disorder)', 'Sequelae of neurological disorders (disorder)']",Postinfectious neuralgia (disorder)
16260,NCT01060111,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16261,NCT01060111,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16262,NCT01060111,migraine with,37796009,Migraine (disorder),5.783,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16263,NCT01060111,without aura,56097005,Migraine without aura (disorder),12.5939,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16265,NCT01061190,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
16266,NCT01061372,moderate to severe restless legs syndrome,722963007,Secondary restless legs syndrome (disorder),8.7027,"[128137003, 39898005]","['Disorder of lower leg (disorder)', 'Sleep disorder (disorder)']",Disorder of lower leg (disorder)
16270,NCT01062451,methamphetamine,387499002,Methamphetamine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Methamphetamine
16273,NCT01062529,insulin resistance,763325000,Insulin resistance (disorder),0.0034,"[237597000, 362969004]","['Disorder of glucose regulation (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose regulation (disorder)
16274,NCT01062698,acute ischemic stroke,422504002,Ischemic stroke (disorder),7.675,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
16279,NCT01062711,muscle loss,88092000,Muscle atrophy (disorder),6.9637,"[363058009, 75047002]","['Degenerative disorder of muscle (disorder)', 'Disorder of skeletal muscle (disorder)']",Degenerative disorder of muscle (disorder)
16285,NCT01062945,cocaine dependent,31956009,Cocaine dependence (disorder),6.1073,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
16288,NCT01063348,excoriation disorder,247444006,Excoriation of skin (disorder),6.1744,"[282026002, 416462003, 95320005]","['Soft tissue injury (disorder)', 'Wound (disorder)', 'Disorder of skin (disorder)']",Soft tissue injury (disorder)
16292,NCT01063764,uncontrolled partial seizures,290741000119102,Intractable idiopathic partial epilepsy (disorder),11.2181,"[128613002, 41969006]","['Seizure disorder (disorder)', 'Idiopathic disease (disorder)']",Seizure disorder (disorder)
16299,NCT01064505,acute non-arteritic anterior ischemic optic neuropathy,733506009,Arteritic anterior ischemic optic neuropathy (disorder),6.3385,"[77157004, 57182000]","['Disorder of optic nerve (disorder)', 'Nerve injury (disorder)']",Disorder of optic nerve (disorder)
16300,NCT01064505,non-arteritic anterior ischemic optic neuropathy,230509007,Non-arteritic ischemic optic neuropathy (disorder),4.795,"[77157004, 57182000]","['Disorder of optic nerve (disorder)', 'Nerve injury (disorder)']",Disorder of optic nerve (disorder)
16323,NCT01066546,moderate-to-severe alzheimer's disease,416975007,"Primary degenerative dementia of the Alzheimer type, senile onset (disorder)",10.0913,"[15662003, 26929004]","['Senile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Senile dementia (disorder)
16341,NCT01067391,thoracic level,95304000,Thoracic hemivertebra (disorder),12.0564,"[276654001, 88230002]","['Congenital malformation (disorder)', 'Disorder of skeletal system (disorder)']",Congenital malformation (disorder)
16345,NCT01067846,cocaine addicts,31956009,Cocaine dependence (disorder),8.2931,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
16346,NCT01067846,crack cocaine,229003004,Crack cocaine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Crack cocaine
16351,NCT01068847,methadone,387286002,Methadone,0.0,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Methadone
16355,NCT01069536,moderate to severe nausea,16932000,Nausea and vomiting (disorder),10.8051,"[119292006, 50410009]","['Disorder of gastrointestinal tract (disorder)', 'Disorder of upper digestive tract (disorder)']",Disorder of gastrointestinal tract (disorder)
16356,NCT01069536,nausea,762279002,Functional nausea (disorder),7.6164,"[119292006, 50410009]","['Disorder of gastrointestinal tract (disorder)', 'Disorder of upper digestive tract (disorder)']",Disorder of gastrointestinal tract (disorder)
16360,NCT01070316,tuberous sclerosis,7199000,Tuberous sclerosis syndrome (disorder),0.0053,"[55342001, 95320005, 11164009]","['Neoplastic disease (disorder)', 'Disorder of skin (disorder)', 'Autosomal dominant hereditary disorder (disorder)']",Neoplastic disease (disorder)
16361,NCT01071044,attention,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",13.0386,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16362,NCT01071044,attention deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),0.0041,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16363,NCT01071044,chronic muscle pain,203102006,Muscular rheumatism (disorder),11.2009,"[396332003, 75047002]","['Rheumatism (disorder)', 'Disorder of skeletal muscle (disorder)']",Rheumatism (disorder)
16367,NCT01071044,hyperactivity problems,406506008,Attention deficit hyperactivity disorder (disorder),7.6073,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
16372,NCT01071135,cannabis induced psychosis,723936000,Psychotic disorder caused by cannabis (disorder),3.4286,"[77355000, 191483003]","['Organic mental disorder caused by cannabis (disorder)', 'Psychotic disorder caused by drug (disorder)']",Organic mental disorder caused by cannabis (disorder)
16376,NCT01071317,acute migraine,4473006,Migraine with aura (disorder),8.209,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16378,NCT01071317,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16379,NCT01071317,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16389,NCT01071876,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16400,NCT01072968,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16402,NCT01073007,ischemic stroke,422504002,Ischemic stroke (disorder),0.0039,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
16404,NCT01073228,mild to moderate probable alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",10.8519,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
16405,NCT01073319,methamphetamine,387499002,Methamphetamine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Methamphetamine
16408,NCT01073787,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16409,NCT01073787,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16413,NCT01073800,heart attack,22298006,Myocardial infarction (disorder),0.0062,"[56265001, 48125009]","['Heart disease (disorder)', 'Injury of trunk (disorder)']",Heart disease (disorder)
16418,NCT01073813,acute optic neuritis,51604006,Acute retrobulbar neuritis (disorder),7.6269,"[77157004, 127341005, 128482007]","['Disorder of optic nerve (disorder)', 'Acute nervous system disorder (disorder)', 'Acute inflammatory disease (disorder)']",Disorder of optic nerve (disorder)
16421,NCT01073995,lumbar disc herniations,202708005,Prolapsed lumbar intervertebral disc (disorder),7.0967,"[105969002, 88230002]","['Disorder of connective tissue (disorder)', 'Disorder of skeletal system (disorder)']",Disorder of connective tissue (disorder)
16432,NCT01074944,gaucher disease type 1,62201009,Chronic non-neuropathic Gaucher's disease (disorder),2.5568,"[1821000146108, 128289001]","['Hereditary metabolic disease (disorder)', 'Chronic metabolic disorder (disorder)']",Hereditary metabolic disease (disorder)
16434,NCT01075152,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
16436,NCT01075763,early-onset alzheimer's disease,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)",3.0095,"[12348006, 26929004]","['Presenile dementia (disorder)', ""Alzheimer's disease (disorder)""]",Presenile dementia (disorder)
16437,NCT01076478,diabetic polyneuropathies,49455004,Polyneuropathy due to diabetes mellitus (disorder),2.9303,"[422088007, 302226006]","['Disorder of nervous system due to diabetes mellitus (disorder)', 'Peripheral nerve disease (disorder)']",Disorder of nervous system due to diabetes mellitus (disorder)
16447,NCT01078298,nicotine,68540007,Nicotine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Nicotine
16457,NCT01079169,post-acute rehabilitation,40425004,Postconcussion syndrome (disorder),14.1795,"[14817008, 363302008]","['Late effect of injury (disorder)', 'Sequelae of neurological disorders (disorder)']",Late effect of injury (disorder)
16460,NCT01079169,urinary tract infections,68566005,Urinary tract infectious disease (disorder),1.735,"[40733004, 42030000]","['Infectious disease (disorder)', 'Disorder of the genitourinary system (disorder)']",Infectious disease (disorder)
16462,NCT01080677,acute migraine,4473006,Migraine with aura (disorder),8.209,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16463,NCT01080677,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16464,NCT01080677,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16472,NCT01081795,migraine,37796009,Migraine (disorder),0.0076,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16473,NCT01081795,migraine disorders,37796009,Migraine (disorder),3.8284,"[27550009, 230461009]","['Disorder of blood vessel (disorder)', 'Headache disorder (disorder)']",Disorder of blood vessel (disorder)
16481,NCT01082328,phenylketonuria,190687004,Phenylketonuria (disorder),0.0034,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16482,NCT01082328,phenylketonurias,190687004,Phenylketonuria (disorder),2.3806,"[1821000146108, 44779003]","['Hereditary metabolic disease (disorder)', 'Disorder of amino acid metabolism (disorder)']",Hereditary metabolic disease (disorder)
16499,NCT01083966,"neuroma, acoustic",126949007,Acoustic neuroma (disorder),2.5696,"[55342001, 302226006]","['Neoplastic disease (disorder)', 'Peripheral nerve disease (disorder)']",Neoplastic disease (disorder)
16501,NCT01084135,down syndrome,41040004,Complete trisomy 21 syndrome (disorder),0.0,"[409709004, 276654001]","['Chromosomal disorder (disorder)', 'Congenital malformation (disorder)']",Chromosomal disorder (disorder)
16505,NCT01085266,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[128293007, 15802004, 271700006, 75047002, 11164009, 128283000]","['Chronic mental disorder (disorder)', 'Dystonia (disorder)', 'Chorea (disorder)', 'Disorder of skeletal muscle (disorder)', 'Autosomal dominant hereditary disorder (disorder)', 'Chronic nervous system disorder (disorder)']",Chronic mental disorder (disorder)
16512,NCT01085383,hypogonadism,48130008,Hypogonadism (disorder),0.0052,"[362969004, 42030000]","['Disorder of endocrine system (disorder)', 'Disorder of the genitourinary system (disorder)']",Disorder of endocrine system (disorder)
16531,NCT01087736,alcohol dependence,66590003,Alcohol dependence (disorder),0.0,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
16532,NCT01087736,alcohol use,15167005,Alcohol abuse (disorder),8.9262,"[719848005, 66214007]","['Disorder caused by alcohol (disorder)', 'Substance abuse (disorder)']",Disorder caused by alcohol (disorder)
16543,NCT01089387,localized prostate cancer,1259388006,Primary carcinoma of prostate (disorder),10.532,"[42030000, 55342001]","['Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)']",Disorder of the genitourinary system (disorder)
16544,NCT01089387,penile vascular abnormality,198029003,Vascular disorder of penis (disorder),7.5283,"[42030000, 27550009]","['Disorder of the genitourinary system (disorder)', 'Disorder of blood vessel (disorder)']",Disorder of the genitourinary system (disorder)
16545,NCT01089387,penile vascular damage,198029003,Vascular disorder of penis (disorder),7.993,"[42030000, 27550009]","['Disorder of the genitourinary system (disorder)', 'Disorder of blood vessel (disorder)']",Disorder of the genitourinary system (disorder)
16546,NCT01089387,post prostatectomy,442060006,Stress incontinence after prostatectomy (disorder),11.4323,"[42030000, 88797001, 738668004]","['Disorder of the genitourinary system (disorder)', 'Complication of surgical procedure (disorder)', 'Perioperative complication (disorder)']",Disorder of the genitourinary system (disorder)
16547,NCT01089387,post prostatectomy erectile dysfunction,367451000119101,Erectile dysfunction following radical prostatectomy (disorder),5.2882,"[231532002, 738668004]","['Sexual disorder (disorder)', 'Perioperative complication (disorder)']",Sexual disorder (disorder)
16548,NCT01089387,prostate cancer,399068003,Malignant tumor of prostate (disorder),3.0814,"[42030000, 55342001]","['Disorder of the genitourinary system (disorder)', 'Neoplastic disease (disorder)']",Disorder of the genitourinary system (disorder)
16551,NCT01089621,juvenile primary fibromyalgia syndrome,95417003,Primary fibromyalgia syndrome (disorder),8.7746,"[203082005, 75047002]","['Fibromyalgia (disorder)', 'Disorder of skeletal muscle (disorder)']",Fibromyalgia (disorder)
16553,NCT01089647,mild obstructive sleep apnea,78275009,Obstructive sleep apnea syndrome (disorder),10.6699,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16554,NCT01089855,diabetes,73211009,Diabetes mellitus (disorder),3.8005,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
16555,NCT01089855,diabetic,73211009,Diabetes mellitus (disorder),5.4033,"[126877002, 362969004]","['Disorder of glucose metabolism (disorder)', 'Disorder of endocrine system (disorder)']",Disorder of glucose metabolism (disorder)
16562,NCT01090180,traumatic memory reactivation,3014005,Id reaction (disorder),13.6972,"[363168001, 95320005]","['Inflammation of skin and/or subcutaneous tissue (disorder)', 'Disorder of skin (disorder)']",Inflammation of skin and/or subcutaneous tissue (disorder)
16574,NCT01091701,ischemic cerebral stroke,422504002,Ischemic stroke (disorder),3.8095,"[230690007, 389100007]","['Cerebrovascular accident (disorder)', 'Ischemic encephalopathy (disorder)']",Cerebrovascular accident (disorder)
16577,NCT01091870,cerebral aneurism,128609009,Intracranial aneurysm (disorder),9.5351,"[27550009, 432119003]","['Disorder of blood vessel (disorder)', 'Aneurysm (disorder)']",Disorder of blood vessel (disorder)
16579,NCT01091870,rupture of a,46126003,Rupture of artery (disorder),10.0505,"[282026002, 27550009]","['Soft tissue injury (disorder)', 'Disorder of blood vessel (disorder)']",Soft tissue injury (disorder)
16582,NCT01092065,- dopa,387086006,- dopa,4.5592,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",- dopa
16590,NCT01092507,"encephalitis, japanese",52947006,Japanese encephalitis virus disease (disorder),0.0024,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
16591,NCT01092507,japanese encephalitis,52947006,Japanese encephalitis virus disease (disorder),0.0,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
16594,NCT01092780,hypopnea syndrome,73430006,Sleep apnea (disorder),9.4185,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16595,NCT01092780,sleep apnea syndromes,73430006,Sleep apnea (disorder),1.7621,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16596,NCT01092780,"sleep apnea, obstructive",78275009,Obstructive sleep apnea syndrome (disorder),2.3482,"[39898005, 50043002]","['Sleep disorder (disorder)', 'Disorder of respiratory system (disorder)']",Sleep disorder (disorder)
16599,NCT01093261,pneumonia,233604007,Pneumonia (disorder),0.0,"[40733004, 50043002]","['Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']",Infectious disease (disorder)
16600,NCT01093261,post trauma pneumonia,266370006,Trauma and postoperative pulmonary insufficiency (disorder),9.0091,"[48125009, 738668004, 50043002]","['Injury of trunk (disorder)', 'Perioperative complication (disorder)', 'Disorder of respiratory system (disorder)']",Injury of trunk (disorder)
16619,NCT01093976,pathological skin picking,238474002,Chafing of skin (disorder),12.5123,"[118933004, 282026002, 416462003, 95320005, 400209005]","['Disorder of hand (disorder)', 'Soft tissue injury (disorder)', 'Wound (disorder)', 'Disorder of skin (disorder)', 'Injury caused by causative force (disorder)']",Disorder of hand (disorder)
