,nct_id,aact_snomed_term_canonical_conditions,aact_top_concept_canonical_first_conditions
2235,NCT00271596,Chorea (disorder)|Huntington's chorea (disorder),Chorea (disorder)|Dystonia (disorder)
2236,NCT00271635,Hereditary motor and sensory neuropathy (disorder),Hereditary disorder of nervous system (disorder)
2237,NCT00271791,Epidemic vertigo (disorder),Epidemic vertigo (disorder)
2238,NCT00272025,Bipolar disorder (disorder),Bipolar disorder (disorder)
2239,NCT00272207,Fibromyalgia (disorder),Fibromyalgia (disorder)
2240,NCT00272454,Cerebral infarction (disorder),Cerebral infarction (disorder)
2241,NCT00272597,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
2242,NCT00272688,Parkinson's disease (disorder),Parkinsonism (disorder)
2243,NCT00272792,Phenylketonuria (disorder),Phenylketonuria (disorder)
2244,NCT00272896,Migraine (disorder),Headache disorder (disorder)
2245,NCT00272909,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2246,NCT00273039,Anxiety disorder (disorder),Anxiety disorder (disorder)
2247,NCT00273351,Parkinson's disease (disorder),Parkinsonism (disorder)
2248,NCT00273364,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2249,NCT00273416,Erectile dysfunction (disorder),Sexual disorder (disorder)
2250,NCT00273702,Compulsive gambling (disorder),Impulse control disorder (disorder)
2251,NCT00273754,Obstructive sleep apnea syndrome (disorder),Sleep apnea (disorder)
2252,NCT00274131,Parkinson's disease (disorder),Parkinsonism (disorder)
2253,NCT00274170,Migraine (disorder),Headache disorder (disorder)
2254,NCT00274586,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2255,NCT00274677,Bipolar disorder (disorder),Bipolar disorder (disorder)
2256,NCT00275236,Restless legs (disorder),Restless legs (disorder)
2257,NCT00275275,Parkinson's disease (disorder),Parkinsonism (disorder)
2258,NCT00275301,Borderline personality disorder (disorder),Personality disorder (disorder)
2259,NCT00275457,Restless legs (disorder),Restless legs (disorder)
2260,NCT00276172,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2261,NCT00276185,Hemiplegia (disorder),Hemiplegia (disorder)
2262,NCT00276263,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
2263,NCT00276315,Hemifacial spasm (disorder),Facial nerve disorder (disorder)
2264,NCT00276341,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2265,NCT00276380,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2266,NCT00276510,Organic memory impairment (disorder),Organic memory impairment (disorder)
2267,NCT00276874,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
2268,NCT00276900,Depressive disorder (disorder),Depressive disorder (disorder)
2269,NCT00276952,Tension-type headache (disorder),Headache disorder (disorder)
2270,NCT00276965,Bipolar disorder (disorder)|Depressive disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)
2271,NCT00277212,Bipolar disorder (disorder),Bipolar disorder (disorder)
2272,NCT00277355,Huntington's chorea (disorder),Dystonia (disorder)
2273,NCT00277602,Huntington's chorea (disorder),Dystonia (disorder)
2274,NCT00277641,Binge eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2275,NCT00277654,Anxiety disorder (disorder)|Bipolar disorder (disorder),Anxiety disorder (disorder)|Bipolar disorder (disorder)
2276,NCT00277667,Bipolar disorder (disorder),Bipolar disorder (disorder)
2277,NCT00277810,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2278,NCT00277914,Sexual disorder (disorder),Sexual disorder (disorder)
2279,NCT00278655,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2280,NCT00279032,Cranial neuralgia (disorder)|Central pain syndrome (disorder),Cranial neuralgia (disorder)|Central pain syndrome (disorder)
2281,NCT00279149,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2282,NCT00279266,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
2283,NCT00279617,Panic disorder (disorder),Anxiety disorder (disorder)
2284,NCT00279825,Parkinson's disease (disorder),Parkinsonism (disorder)
2285,NCT00279942,Fibromyalgia (disorder),Fibromyalgia (disorder)
2286,NCT00280059,Partial epilepsy with impairment of consciousness (disorder),Seizure disorder (disorder)
2287,NCT00280267,Muscle atrophy (disorder),Muscle atrophy (disorder)
2288,NCT00280293,Bipolar disorder (disorder)|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Bipolar disorder (disorder)|Disorder caused by cocaine (disorder)
2289,NCT00280423,Disorders of initiating and maintaining sleep (disorder),Disorders of initiating and maintaining sleep (disorder)
2290,NCT00280436,Disorders of initiating and maintaining sleep (disorder),Disorders of initiating and maintaining sleep (disorder)
2291,NCT00280566,Bipolar disorder (disorder),Bipolar disorder (disorder)
2292,NCT00280592,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2293,NCT00280696,Partial epilepsy with impairment of consciousness (disorder),Seizure disorder (disorder)
2294,NCT00281320,Psychotic disorder (disorder),Psychotic disorder (disorder)
2295,NCT00281502,Hepatic encephalopathy (disorder),Metabolic encephalopathy (disorder)
2296,NCT00282139,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
2297,NCT00282152,Parkinson's disease (disorder),Parkinsonism (disorder)
2298,NCT00282165,Psychotic disorder (disorder)|Intermittent explosive disorder (disorder)|Impulse control disorder (disorder)|Antisocial personality disorder (disorder),Psychotic disorder (disorder)|Personality disorder (disorder)|Impulse control disorder (disorder)
2299,NCT00282464,Bipolar disorder (disorder),Bipolar disorder (disorder)
2300,NCT00282607,Erectile dysfunction (disorder),Sexual disorder (disorder)
2301,NCT00282763,Postherpetic neuralgia (disorder),Postherpetic neuralgia (disorder)
2302,NCT00282867,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2303,NCT00282997,Fibromyalgia (disorder),Fibromyalgia (disorder)
2304,NCT00283088,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2305,NCT00283179,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2306,NCT00283309,Organic memory impairment (disorder),Organic memory impairment (disorder)
2307,NCT00283400,Subarachnoid intracranial hemorrhage (disorder),Intracranial hemorrhage (disorder)
2308,NCT00283595,Anorexia nervosa (disorder)|Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2309,NCT00283660,Depressive disorder (disorder),Depressive disorder (disorder)
2310,NCT00283699,Cysticercosis of central nervous system (disorder),Infectious disease of central nervous system (disorder)
2311,NCT00283842,Neuropathy due to diabetes mellitus (disorder),Neuropathy due to diabetes mellitus (disorder)
2312,NCT00283933,Fabry's disease (disorder),Hereditary disorder of nervous system (disorder)
2313,NCT00283946,Disorder of sleep-wake cycle (disorder)|Disorders of initiating and maintaining sleep (disorder),Dyssomnia (disorder)|Disorders of initiating and maintaining sleep (disorder)
2314,NCT00283959,Fabry's disease (disorder),Hereditary disorder of nervous system (disorder)
2315,NCT00284505,Arachnoiditis (disorder),Meningitis (disorder)
2316,NCT00284583,Morton's metatarsalgia (disorder),Mononeuropathy (disorder)
2317,NCT00285025,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2318,NCT00285077,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2319,NCT00285350,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
2320,NCT00285402,Migraine (disorder),Headache disorder (disorder)
2321,NCT00285584,Depressive disorder (disorder),Depressive disorder (disorder)
2322,NCT00285818,Depressive disorder (disorder),Depressive disorder (disorder)
2323,NCT00286104,Benign intracranial hypertension (disorder)|Hydrocephalus (disorder),Benign intracranial hypertension (disorder)|Hydrocephalus (disorder)
2324,NCT00286377,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
2325,NCT00286689,Cerebral palsy (disorder),Cerebral palsy (disorder)
2326,NCT00286897,Parkinson's disease (disorder),Parkinsonism (disorder)
2327,NCT00286936,Delirium (disorder),Confusional state (disorder)
2328,NCT00286949,Parkinson's disease (disorder),Parkinsonism (disorder)
2329,NCT00287092,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2330,NCT00287157,Traumatic brain injury (disorder),Traumatic brain injury (disorder)
2331,NCT00287235,Hepatic encephalopathy (disorder),Metabolic encephalopathy (disorder)
2332,NCT00287248,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2333,NCT00287352,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2334,NCT00287742,Alzheimer's disease (disorder)|Dementia (disorder),Alzheimer's disease (disorder)|Dementia (disorder)
2335,NCT00287781,Migraine (disorder),Headache disorder (disorder)
2336,NCT00287820,Schizophrenia (disorder),Schizophrenia (disorder)
2337,NCT00288353,Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2338,NCT00288366,Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2339,NCT00288574,Anorexia nervosa (disorder)|Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2340,NCT00288626,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2341,NCT00288639,Epilepsy (disorder),Seizure disorder (disorder)
2342,NCT00288782,Mood disorder (disorder)|Depressive disorder (disorder)|Mental disorder (disorder),Mood disorder (disorder)|Depressive disorder (disorder)|Mental disorder (disorder)
2343,NCT00289653,Tobacco dependence syndrome (disorder)|Nicotine dependence (disorder),Psychoactive substance abuse (disorder)|Nicotine dependence (disorder)
2344,NCT00289861,Schizophrenia (disorder),Schizophrenia (disorder)
2345,NCT00290121,Schizophrenia (disorder),Schizophrenia (disorder)
2346,NCT00290186,Cerebral palsy (disorder),Cerebral palsy (disorder)
2347,NCT00290823,Cysticercosis of central nervous system (disorder),Infectious disease of central nervous system (disorder)
2348,NCT00291148,Multiple sclerosis (disorder)|Neurological pain disorder (disorder)|Cranial neuralgia (disorder),Multiple sclerosis (disorder)|Neurological pain disorder (disorder)|Cranial neuralgia (disorder)
2349,NCT00291213,Tardive dyskinesia (disorder),Drug-induced dyskinesia (disorder)
2350,NCT00291395,Migraine (disorder),Headache disorder (disorder)
2351,NCT00291655,Epilepsy (disorder),Seizure disorder (disorder)
2352,NCT00292110,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
2353,NCT00292123,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
2354,NCT00292188,Cranial neuralgia (disorder),Cranial neuralgia (disorder)
2355,NCT00292227,Parkinson's disease (disorder),Parkinsonism (disorder)
2356,NCT00292266,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2357,NCT00292370,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
2358,NCT00292461,Epilepsy (disorder),Seizure disorder (disorder)
2359,NCT00292734,Depressive disorder (disorder)|Disorders of initiating and maintaining sleep (disorder),Depressive disorder (disorder)|Disorders of initiating and maintaining sleep (disorder)
2360,NCT00292929,Cerebral malaria (disorder),Infectious disease of central nervous system (disorder)
2361,NCT00292942,Cerebral malaria (disorder),Infectious disease of central nervous system (disorder)
2362,NCT00293176,Organic memory impairment (disorder),Organic memory impairment (disorder)
2363,NCT00294255,Bipolar disorder (disorder),Bipolar disorder (disorder)
2364,NCT00294554,Dementia (disorder)|Parkinson's disease (disorder),Dementia (disorder)|Parkinsonism (disorder)
2365,NCT00294593,Complete trisomy 21 syndrome (disorder),Complete trisomy 21 syndrome (disorder)
2366,NCT00294619,Disorder of pituitary gland (disorder),Disorder of pituitary gland (disorder)
2367,NCT00294658,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
2368,NCT00294671,Familial amyloid polyneuropathy (disorder),Polyneuropathy (disorder)
2369,NCT00295412,Substance-related disorders|Schizophrenia (disorder),Substance-related disorders|Schizophrenia (disorder)
2370,NCT00295776,Postherpetic neuralgia (disorder),Postherpetic neuralgia (disorder)
2371,NCT00296192,Parkinson's disease (disorder),Parkinsonism (disorder)
2372,NCT00296205,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2373,NCT00296517,Depressive disorder (disorder),Depressive disorder (disorder)
2374,NCT00296621,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
2375,NCT00296647,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
2376,NCT00296933,Depressive disorder (disorder),Depressive disorder (disorder)
2377,NCT00296946,Parkinson's disease (disorder),Parkinsonism (disorder)
2378,NCT00296959,Parkinson's disease (disorder),Parkinsonism (disorder)
2379,NCT00297024,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
2380,NCT00297232,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2381,NCT00297375,Migraine (disorder),Headache disorder (disorder)
2382,NCT00297388,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2383,NCT00297505,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
2384,NCT00297544,Erectile dysfunction (disorder),Sexual disorder (disorder)
2385,NCT00297687,Meningococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
2386,NCT00297739,Aggressive unsocial conduct disorder (disorder),Disruptive behavior disorder (disorder)
2387,NCT00297778,Depressive disorder (disorder)|Parkinson's disease (disorder),Depressive disorder (disorder)|Parkinsonism (disorder)
2388,NCT00297947,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2389,NCT00298038,Hepatic encephalopathy (disorder),Metabolic encephalopathy (disorder)
2390,NCT00298597,Amyotrophic lateral sclerosis (disorder),Motor neuron disease (disorder)
2391,NCT00298623,Restless legs (disorder),Restless legs (disorder)
2392,NCT00298662,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2393,NCT00299611,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
2394,NCT00299702,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
2395,NCT00299715,Mood disorder (disorder)|Bipolar disorder (disorder),Mood disorder (disorder)|Bipolar disorder (disorder)
2396,NCT00299988,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2397,NCT00300196,Cerebral infarction (disorder)|Cerebrovascular accident (disorder),Cerebral infarction (disorder)|Cerebrovascular accident (disorder)
2398,NCT00300222,Disorder of the peripheral nervous system (disorder)|Cranial neuralgia (disorder),Disorder of the peripheral nervous system (disorder)|Cranial neuralgia (disorder)
2399,NCT00300391,Delirium (disorder),Confusional state (disorder)
2400,NCT00300404,Schizophrenia (disorder),Schizophrenia (disorder)
2401,NCT00300417,Disease caused by West Nile virus (disorder),Disease caused by West Nile virus (disorder)
2402,NCT00300716,Cognitive disorder (disorder)|Multiple sclerosis (disorder),Cognitive disorder (disorder)|Multiple sclerosis (disorder)
2403,NCT00300846,Schizophrenia (disorder),Schizophrenia (disorder)
2404,NCT00300924,Migraine (disorder),Headache disorder (disorder)
2405,NCT00300963,Schizophrenia (disorder),Schizophrenia (disorder)
2406,NCT00301223,Neurological pain disorder (disorder)|Cranial neuralgia (disorder),Neurological pain disorder (disorder)|Cranial neuralgia (disorder)
2407,NCT00301262,Erectile dysfunction (disorder),Sexual disorder (disorder)
2408,NCT00301431,Fibromyalgia (disorder),Fibromyalgia (disorder)
2409,NCT00301574,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2410,NCT00301587,Neural tube defect (disorder)|Congenital anomaly of nervous system (disorder),Congenital anomaly of nervous system (disorder)
2411,NCT00301665,Migraine (disorder),Headache disorder (disorder)
2412,NCT00301873,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
2413,NCT00302068,Depressive disorder (disorder),Depressive disorder (disorder)
2414,NCT00302107,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
2415,NCT00302133,Bipolar disorder (disorder),Bipolar disorder (disorder)
2416,NCT00302159,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
2417,NCT00303082,Periventricular leukomalacia (disorder),Periventricular leukomalacia (disorder)
2418,NCT00303277,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2419,NCT00303316,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2420,NCT00303433,Delirium (disorder),Confusional state (disorder)
2421,NCT00303446,Bulbospinal neuronopathy (disorder),Motor neuron disease (disorder)
2422,NCT00303602,Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Bipolar disorder (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2423,NCT00304083,Neurofibromatosis type 1 (disorder),Neoplasm of nerve sheath origin (disorder)
2424,NCT00304161,Depressive disorder (disorder)|Parkinson's disease (disorder),Depressive disorder (disorder)|Parkinsonism (disorder)
2425,NCT00304187,Bulimia nervosa (disorder)|Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2426,NCT00304265,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2427,NCT00304291,Demyelinating disease of central nervous system (disorder)|Autoimmune inflammation of nerve (disorder)|Neuromyelitis optica (disorder)|Transverse myelopathy syndrome (disorder),Demyelinating disease of central nervous system (disorder)|Autoimmune inflammation of nerve (disorder)|Disorder of optic nerve (disorder)|Spinal cord disorder (disorder)
2428,NCT00304473,Schizophrenia (disorder),Schizophrenia (disorder)
2429,NCT00304512,Fabry's disease (disorder),Hereditary disorder of nervous system (disorder)
2430,NCT00304616,Schizophrenia (disorder),Schizophrenia (disorder)
2431,NCT00304629,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2432,NCT00304655,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2433,NCT00304707,Disorder caused by alcohol (disorder),Disorder caused by alcohol (disorder)
2434,NCT00305331,Parkinson's disease (disorder),Parkinsonism (disorder)
2435,NCT00305370,Bipolar disorder (disorder),Bipolar disorder (disorder)
2436,NCT00305422,Schizophrenia (disorder),Schizophrenia (disorder)
2437,NCT00305474,Schizophrenia (disorder),Schizophrenia (disorder)
2438,NCT00305500,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
2439,NCT00305539,Giant cell arteritis (disorder),Giant cell arteritis (disorder)
2440,NCT00305578,Bipolar disorder (disorder),Bipolar disorder (disorder)
2441,NCT00305591,Hepatic encephalopathy (disorder),Metabolic encephalopathy (disorder)
2442,NCT00305903,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2443,NCT00306033,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
2444,NCT00306124,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2445,NCT00306475,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2446,NCT00306540,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
2447,NCT00306592,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2448,NCT00307203,Tobacco dependence syndrome (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Psychoactive substance abuse (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2449,NCT00307450,Parkinson's disease (disorder),Parkinsonism (disorder)
2450,NCT00307567,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2451,NCT00307593,Microscopic polyangiitis (disorder),Microscopic polyangiitis (disorder)
2452,NCT00307671,Microscopic polyangiitis (disorder),Microscopic polyangiitis (disorder)
2453,NCT00307944,Obstructive sleep apnea syndrome (disorder),Sleep apnea (disorder)
2454,NCT00308113,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
2455,NCT00308360,Schizophrenia (disorder),Schizophrenia (disorder)
2456,NCT00308503,Disorders of initiating and maintaining sleep (disorder),Disorders of initiating and maintaining sleep (disorder)
2457,NCT00308763,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
2458,NCT00308776,Bulimia nervosa (disorder)|Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2459,NCT00308893,Depressive disorder (disorder),Depressive disorder (disorder)
2460,NCT00309088,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
2461,NCT00309101,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
2462,NCT00309686,Mania (disorder)|Bipolar disorder (disorder),Mania (disorder)|Bipolar disorder (disorder)
2463,NCT00309699,Mood disorder (disorder)|Bipolar disorder (disorder),Mood disorder (disorder)|Bipolar disorder (disorder)
2464,NCT00309725,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2465,NCT00310323,Sleep apnea (disorder),Sleep apnea (disorder)
2466,NCT00310375,Epilepsy (disorder),Seizure disorder (disorder)
2467,NCT00310388,Epilepsy (disorder),Seizure disorder (disorder)
2468,NCT00310401,Brainstem death (disorder),Brainstem death (disorder)
2469,NCT00310583,Neurological pain disorder (disorder)|Cranial neuralgia (disorder),Neurological pain disorder (disorder)|Cranial neuralgia (disorder)
2470,NCT00310791,Anorexia nervosa (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2471,NCT00310817,Meningococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
2472,NCT00310856,Meningococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
2473,NCT00311363,Restless legs (disorder),Restless legs (disorder)
2474,NCT00311402,Cerebrovascular accident (disorder),Cerebrovascular accident (disorder)
2475,NCT00311441,Encephalitis caused by tick-borne encephalitis virus (disorder),Infectious disease of central nervous system (disorder)
2476,NCT00311493,Encephalitis caused by tick-borne encephalitis virus (disorder),Infectious disease of central nervous system (disorder)
2477,NCT00312494,Bipolar disorder (disorder),Bipolar disorder (disorder)
2478,NCT00312676,Epilepsy (disorder),Seizure disorder (disorder)
2479,NCT00312728,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
2480,NCT00312767,Fabry's disease (disorder),Hereditary disorder of nervous system (disorder)
2481,NCT00313105,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
2482,NCT00313391,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2483,NCT00313716,Traumatic brain injury (disorder),Traumatic brain injury (disorder)
2484,NCT00313885,Fibromyalgia (disorder),Fibromyalgia (disorder)
2485,NCT00313898,Erectile dysfunction (disorder),Sexual disorder (disorder)
2486,NCT00313976,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
2487,NCT00314041,Meningococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
2488,NCT00314132,Japanese encephalitis virus disease (disorder)|Encephalitis (disorder),Infectious disease of central nervous system (disorder)|Encephalitis (disorder)
2489,NCT00314145,Japanese encephalitis virus disease (disorder),Infectious disease of central nervous system (disorder)
2490,NCT00314184,Bipolar disorder (disorder),Bipolar disorder (disorder)
2491,NCT00314210,Anxiety disorder (disorder),Anxiety disorder (disorder)
2492,NCT00314249,Fibromyalgia (disorder),Fibromyalgia (disorder)
2493,NCT00314288,Movement disorder (disorder)|Parkinson's disease (disorder),Movement disorder (disorder)|Parkinsonism (disorder)
2494,NCT00314314,Bipolar disorder (disorder),Bipolar disorder (disorder)
2495,NCT00314327,Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Schizoaffective disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
2496,NCT00314613,Schizophrenia (disorder),Schizophrenia (disorder)
2497,NCT00314808,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
2498,NCT00314821,Bipolar disorder (disorder),Bipolar disorder (disorder)
2499,NCT00314860,Restless legs (disorder),Restless legs (disorder)
2500,NCT00314912,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
2501,NCT00315055,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2502,NCT00315081,Hyperprolactinemia (disorder)|Schizophrenia (disorder),Disorder of pituitary gland (disorder)|Schizophrenia (disorder)
2503,NCT00315107,Acromegaly (disorder),Disorder of pituitary gland (disorder)
2504,NCT00315250,Parkinson's disease (disorder),Parkinsonism (disorder)
2505,NCT00315302,Amblyopia (disorder),Disorder of vision (disorder)
2506,NCT00315328,Amblyopia (disorder),Disorder of vision (disorder)
2507,NCT00315367,Relapsing remitting multiple sclerosis (disorder),Multiple sclerosis (disorder)
2508,NCT00315666,Tension-type headache (disorder),Headache disorder (disorder)
2509,NCT00315900,Dementia (disorder),Dementia (disorder)
2510,NCT00316004,Traumatic brain injury (disorder),Traumatic brain injury (disorder)
2511,NCT00316147,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2512,NCT00316238,Schizophrenia (disorder),Schizophrenia (disorder)
2513,NCT00316303,Bipolar disorder (disorder)|Depressive disorder (disorder)|Substance-related disorders|Schizophrenia (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)|Substance-related disorders|Schizophrenia (disorder)|Schizoaffective disorder (disorder)|Psychotic disorder (disorder)
2514,NCT00316498,Sphingomyelin/cholesterol lipidosis (disorder),Sphingolipidosis (disorder)
2515,NCT00316563,Disorder of taste (disorder),Sensory disorder (disorder)
2516,NCT00316797,Degenerative brain disorder (disorder),Degenerative brain disorder (disorder)
2517,NCT00317447,Sciatica (disorder),Sciatica (disorder)
2518,NCT00317460,Substance-related disorders,Substance-related disorders
2519,NCT00317746,Depressive disorder (disorder),Depressive disorder (disorder)
2520,NCT00317850,Leudet's tinnitus (disorder),Hearing disorder (disorder)
2521,NCT00318409,Substance-related disorders,Substance-related disorders
2522,NCT00318539,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
2523,NCT00318760,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
2524,NCT00318929,Seizure disorder (disorder)|Epilepsy (disorder),Seizure disorder (disorder)
2525,NCT00319137,Migraine (disorder),Headache disorder (disorder)
2526,NCT00319319,Depressive disorder (disorder),Depressive disorder (disorder)
2527,NCT00319345,Benign intracranial hypertension (disorder),Benign intracranial hypertension (disorder)
2528,NCT00319501,Seizure disorder (disorder)|Partial epilepsy with impairment of consciousness (disorder)|Epilepsy (disorder)|Generalized epilepsy (disorder),Seizure disorder (disorder)
2529,NCT00319592,Japanese encephalitis virus disease (disorder),Infectious disease of central nervous system (disorder)
2530,NCT00319709,Depressive disorder (disorder),Depressive disorder (disorder)
2531,NCT00319852,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2532,NCT00320047,Bulimia nervosa (disorder)|Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
2533,NCT00320281,Spinal cord injury (disorder),Spinal cord disorder (disorder)
2534,NCT00320463,Acute poliomyelitis (disorder),Infectious disease of central nervous system (disorder)
2535,NCT00320489,Schizophrenia (disorder),Schizophrenia (disorder)
