,nct_id,start_date,start_year,allocation,masking,were_results_reported,lead_or_collaborator,sponsor_name,agency_class,phase,agency_class_refined
306502,NCT00087542,2004-03-31,2004.0,Randomized,Double,False,lead,ACADIA Pharmaceuticals Inc.,INDUSTRY,Phase 2,INDUSTRY
306606,NCT00087555,2004-07-31,2004.0,Randomized,Triple,True,lead,Jazz Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
306666,NCT00087724,2004-07-31,2004.0,Randomized,Double,False,lead,Astellas Pharma Inc,INDUSTRY,Phase 2,INDUSTRY
307674,NCT00087750,2003-10-31,2003.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
307676,NCT00087789,2004-06-30,2004.0,Non-Randomized,None (Open Label),False,lead,Sangamo Therapeutics,INDUSTRY,Phase 1,INDUSTRY
307688,NCT00087880,2002-12-31,2002.0,Randomized,None (Open Label),False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
307690,NCT00088036,2004-02-29,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
307870,NCT00088049,2003-10-31,2003.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
308446,NCT00088075,2004-08-31,2004.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
308458,NCT00088153,2003-07-31,2003.0,Randomized,Quadruple,True,lead,Massachusetts General Hospital,OTHER,Phase 2/Phase 3,HOSPITAL
308467,NCT00088166,2004-05-31,2004.0,Randomized,Quadruple,True,lead,Celtic Pharma Development Services,INDUSTRY,Phase 3,INDUSTRY
309283,NCT00088374,2004-07-31,2004.0,Non-Randomized,None (Open Label),True,lead,National Cancer Institute (NCI),NIH,Phase 2,NIH
309287,NCT00088387,2004-07-31,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
309290,NCT00088452,2004-07-31,2004.0,Randomized,Triple,True,lead,"Children's Hospital Medical Center, Cincinnati",OTHER,Phase 3,HOSPITAL
309910,NCT00088465,2004-08-31,2004.0,Non-Randomized,None (Open Label),True,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
319846,NCT00088478,2004-06-30,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
320179,NCT00088491,2004-06-30,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
320395,NCT00088582,2004-03-31,2004.0,Randomized,None (Open Label),False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
320545,NCT00088621,2004-07-31,2004.0,Non-Randomized,None (Open Label),True,lead,"Sumitomo Pharma America, Inc.",INDUSTRY,Phase 2,INDUSTRY
320608,NCT00088634,2004-05-31,2004.0,Randomized,Triple,True,lead,"Sumitomo Pharma America, Inc.",INDUSTRY,Phase 2,INDUSTRY
320674,NCT00088673,2004-06-30,2004.0,Randomized,Double,False,lead,Bellus Health Inc. - a GSK company,INDUSTRY,Phase 3,INDUSTRY
321076,NCT00088699,2004-07-26,2004.0,Randomized,Quadruple,True,lead,National Institute of Mental Health (NIMH),NIH,Phase 1/Phase 2,NIH
321081,NCT00088738,2004-07-27,2004.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 1,NIH
321090,NCT00089414,2004-07-31,2004.0,Randomized,Double,True,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
321096,NCT00089440,2004-06-30,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
321116,NCT00089622,2004-08-04,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
321119,NCT00089687,2004-04-30,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
321321,NCT00089843,2003-06-30,2003.0,Randomized,Quadruple,True,lead,Massachusetts General Hospital,OTHER,Phase 2/Phase 3,HOSPITAL
321390,NCT00090012,2004-07-31,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
321640,NCT00090064,2004-03-12,2004.0,Randomized,Triple,True,lead,Lykos Therapeutics,INDUSTRY,Phase 2,INDUSTRY
321642,NCT00090116,2003-03-31,2003.0,Randomized,Double,False,lead,Forest Laboratories,INDUSTRY,Phase 3,INDUSTRY
321747,NCT00090311,2004-07-31,2004.0,Randomized,Double,False,lead,AstraZeneca,INDUSTRY,Phase 3,INDUSTRY
321811,NCT00090324,2004-09-30,2004.0,Randomized,Double,False,lead,AstraZeneca,INDUSTRY,Phase 3,INDUSTRY
323197,NCT00090376,2003-12-31,2003.0,Randomized,Double,False,lead,Eisai Inc.,INDUSTRY,Phase 2,INDUSTRY
323347,NCT00090402,2004-04-30,2004.0,Randomized,Triple,True,lead,Oregon Health and Science University,OTHER,Phase 1/Phase 2,UNIVERSITY
323378,NCT00091468,2003-09-30,2003.0,Randomized,Quadruple,False,lead,National Institute on Aging (NIA),NIH,Phase 1,NIH
323384,NCT00091650,2004-03-31,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
324086,NCT00091845,2004-11-30,2004.0,Non-Randomized,None (Open Label),False,lead,"Sarepta Therapeutics, Inc.",INDUSTRY,Phase 1,INDUSTRY
324089,NCT00091897,2004-09-30,2004.0,Randomized,Double,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
324104,NCT00091949,2005-02-28,2005.0,Randomized,Triple,True,lead,Yale University,OTHER,Phase 3,UNIVERSITY
346064,NCT00091962,2003-08-31,2003.0,Randomized,Triple,True,lead,University of Pittsburgh,OTHER,Not Applicable,UNIVERSITY
346074,NCT00092469,2002-03-31,2002.0,Randomized,None (Open Label),False,lead,Merck Sharp & Dohme LLC,INDUSTRY,Phase 3,INDUSTRY
346086,NCT00092963,2004-08-17,2004.0,Randomized,Double,False,lead,Organon and Co,INDUSTRY,Phase 3,INDUSTRY
346089,NCT00093275,2004-10-31,2004.0,Randomized,Double,False,lead,Sanofi,INDUSTRY,Phase 2,INDUSTRY
346194,NCT00093847,2004-05-31,2004.0,Randomized,Double,True,lead,Massachusetts General Hospital,OTHER,Phase 2,HOSPITAL
346198,NCT00093860,2004-10-31,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
346201,NCT00093951,2004-04-30,2004.0,Randomized,Double,False,lead,Saegis Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
346378,NCT00094172,2005-05-31,2005.0,Randomized,Quadruple,True,lead,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Phase 2,NIH
346546,NCT00094289,2004-08-31,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
346554,NCT00094315,2004-09-30,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
346556,NCT00094549,2004-10-31,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
347228,NCT00094614,2002-06-30,2002.0,Randomized,None (Open Label),False,lead,Jaeb Center for Health Research,OTHER,Phase 4,OTHER
347560,NCT00094692,2002-10-31,2002.0,Randomized,None (Open Label),False,lead,Jaeb Center for Health Research,OTHER,Phase 3,OTHER
347584,NCT00094926,2004-05-31,2004.0,Randomized,Quadruple,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
347588,NCT00095004,2004-10-21,2004.0,Randomized,Double,False,lead,Organon and Co,INDUSTRY,Phase 3,INDUSTRY
347591,NCT00095251,2004-08-31,2004.0,Randomized,Triple,False,lead,Vanderbilt University,OTHER,Phase 2,UNIVERSITY
347690,NCT00095355,2004-10-31,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
347693,NCT00095511,2004-06-30,2004.0,Randomized,Double,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
347845,NCT00095524,2004-03-31,2004.0,Randomized,Double,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
350405,NCT00095719,2003-12-31,2003.0,Randomized,Double,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
350573,NCT00095810,2003-07-31,2003.0,Non-Randomized,None (Open Label),False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 4,INDUSTRY
350583,NCT00096473,2001-01-31,2001.0,Randomized,Double,False,lead,Eisai Inc.,INDUSTRY,Phase 3,INDUSTRY
353607,NCT00096720,2004-02-29,2004.0,Randomized,Single,False,lead,Institute for Neurodegenerative Disorders,OTHER,Phase 2,OTHER
353841,NCT00096798,2001-09-30,2001.0,Randomized,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 3,NIH
353845,NCT00096863,2004-12-31,2004.0,Randomized,Double,False,lead,Vanderbilt University,OTHER,Phase 2,UNIVERSITY
353873,NCT00097032,2004-10-31,2004.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
353882,NCT00097188,2004-12-31,2004.0,,,False,lead,"Genentech, Inc.",INDUSTRY,Phase 2,INDUSTRY
353979,NCT00097266,2004-12-31,2004.0,Randomized,Double,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
355424,NCT00097318,2004-11-17,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 1,NIH
355433,NCT00097331,2004-09-30,2004.0,Randomized,Double,False,lead,GlaxoSmithKline,INDUSTRY,Phase 2,INDUSTRY
355763,NCT00097474,2004-12-21,2004.0,Randomized,Triple,False,lead,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,Phase 2,NIH
355766,NCT00097604,2004-09-30,2004.0,Randomized,Quadruple,False,lead,University of Washington,OTHER,Phase 2,UNIVERSITY
414380,NCT00097708,2004-11-30,2004.0,Randomized,Double,True,lead,Jazz Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
414480,NCT00097760,2003-06-30,2003.0,Randomized,Triple,False,lead,Biogen,INDUSTRY,Phase 2,INDUSTRY
414486,NCT00097890,2004-11-30,2004.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 4,NIH
414489,NCT00097916,2004-09-30,2004.0,Randomized,Double,False,lead,Forest Laboratories,INDUSTRY,Phase 3,INDUSTRY
414516,NCT00097942,2004-08-31,2004.0,Randomized,Double,False,lead,Forest Laboratories,INDUSTRY,Phase 2,INDUSTRY
414555,NCT00098124,2004-11-30,2004.0,Randomized,Double,False,lead,Forest Laboratories,INDUSTRY,Phase 3,INDUSTRY
414823,NCT00099216,2001-08-31,2001.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
416713,NCT00099229,2004-11-30,2004.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
416845,NCT00099242,2003-11-30,2003.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
426745,NCT00099268,2004-09-30,2004.0,Randomized,Quadruple,True,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
432877,NCT00099489,2004-02-29,2004.0,Randomized,Double,False,lead,Biogen,INDUSTRY,Phase 2,INDUSTRY
433117,NCT00099502,2003-11-30,2003.0,Randomized,Triple,False,lead,Bayer,INDUSTRY,Phase 3,INDUSTRY
448639,NCT00099528,2003-08-31,2003.0,Randomized,Double,False,lead,Renovis,INDUSTRY,Phase 2,INDUSTRY
448751,NCT00099710,2003-07-31,2003.0,Randomized,Double,False,lead,John Douglas French Foundation,OTHER,Phase 2,OTHER
448777,NCT00100074,2004-09-30,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
448779,NCT00100100,2004-10-31,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
448791,NCT00100113,2004-06-30,2004.0,,,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
448793,NCT00100165,2005-01-31,2005.0,Randomized,Triple,True,lead,"University of Colorado, Denver",OTHER,Phase 2,UNIVERSITY
448799,NCT00100282,2003-05-31,2003.0,Randomized,Double,False,lead,PRAECIS Pharmaceuticals Inc.,INDUSTRY,Phase 1,INDUSTRY
448805,NCT00100334,2004-12-31,2004.0,Randomized,Double,False,lead,PRAECIS Pharmaceuticals Inc.,INDUSTRY,Phase 1/Phase 2,INDUSTRY
448814,NCT00100464,2000-11-30,2000.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 4,FED
448817,NCT00100776,2003-09-30,2003.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
448982,NCT00100802,2005-03-21,2005.0,,None (Open Label),True,lead,Children's Oncology Group,NETWORK,Phase 2,NETWORK
449108,NCT00101426,2004-10-31,2004.0,Randomized,Double,False,lead,"Sumitomo Pharma Co., Ltd.",INDUSTRY,Phase 3,INDUSTRY
449111,NCT00101452,2005-04-30,2005.0,Randomized,Triple,True,lead,"Maurizio Fava, MD",OTHER,Not Applicable,OTHER
449122,NCT00101569,2004-03-31,2004.0,Non-Randomized,None (Open Label),False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
449164,NCT00101634,2004-12-31,2004.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
449185,NCT00101959,2004-11-30,2004.0,,,False,lead,EMD Serono,INDUSTRY,Phase 4,INDUSTRY
449188,NCT00102063,2004-07-31,2004.0,Randomized,Quadruple,True,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
449518,NCT00102258,2005-01-19,2005.0,,,False,lead,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,Phase 2,NIH
449583,NCT00102453,2002-03-31,2002.0,Non-Randomized,None (Open Label),False,lead,Cooperative International Neuromuscular Research Group,NETWORK,Phase 1/Phase 2,NETWORK
449598,NCT00102479,2004-07-31,2004.0,Randomized,None (Open Label),False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 2,INDUSTRY
449603,NCT00102518,2004-09-30,2004.0,,None (Open Label),True,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
449853,NCT00102596,2005-01-31,2005.0,,None (Open Label),True,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
449856,NCT00102817,2003-05-31,2003.0,Randomized,None (Open Label),False,lead,Novo Nordisk A/S,INDUSTRY,Phase 3,INDUSTRY
449964,NCT00102869,2005-01-31,2005.0,Randomized,Triple,False,lead,University Hospital Muenster,OTHER,Phase 4,UNIVERSITY
449978,NCT00103571,2004-07-31,2004.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
450008,NCT00103597,2005-01-31,2005.0,Randomized,Double,False,lead,Royal Brisbane and Women's Hospital,OTHER_GOV,Phase 1,HOSPITAL
450017,NCT00103649,2003-11-30,2003.0,Randomized,Double,False,lead,Sanofi,INDUSTRY,Phase 3,INDUSTRY
450743,NCT00103727,2004-12-31,2004.0,Randomized,Double,False,lead,GlaxoSmithKline,INDUSTRY,Phase 2,INDUSTRY
450809,NCT00103974,2004-07-31,2004.0,Randomized,Double,False,lead,Bayhill Therapeutics,INDUSTRY,Phase 1,INDUSTRY
450833,NCT00104013,2003-11-30,2003.0,Randomized,Double,False,lead,Sanofi,INDUSTRY,Phase 3,INDUSTRY
452063,NCT00104078,2005-02-28,2005.0,Randomized,Double,False,lead,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,Phase 1/Phase 2,INDUSTRY
452126,NCT00104143,2007-10-31,2007.0,Randomized,Double,False,lead,Hoffmann-La Roche,INDUSTRY,Phase 2,INDUSTRY
453413,NCT00104247,2005-03-31,2005.0,Randomized,Double,True,lead,BioMarin Pharmaceutical,INDUSTRY,Phase 3,INDUSTRY
453452,NCT00104260,2004-12-31,2004.0,Non-Randomized,None (Open Label),False,lead,BioMarin Pharmaceutical,INDUSTRY,Phase 2,INDUSTRY
453491,NCT00104273,2004-08-31,2004.0,Randomized,Double,False,lead,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,Phase 2,INDUSTRY
456275,NCT00104299,2005-01-31,2005.0,Randomized,Double,True,lead,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Phase 2/Phase 3,NIH
456515,NCT00104416,2004-12-31,2004.0,Randomized,Double,True,lead,GlaxoSmithKline,INDUSTRY,Phase 3,INDUSTRY
461333,NCT00104442,2003-10-31,2003.0,Randomized,None (Open Label),False,lead,Novartis,INDUSTRY,Phase 4,INDUSTRY
461336,NCT00104572,2004-03-31,2004.0,Randomized,Quadruple,True,lead,National Institute on Aging (NIA),NIH,Phase 2,NIH
461344,NCT00104598,2000-09-30,2000.0,Randomized,Single,False,lead,Yale University,OTHER,Not Applicable,UNIVERSITY
461348,NCT00104663,2004-06-30,2004.0,Non-Randomized,None (Open Label),False,lead,Medical Research Council,OTHER_GOV,Not Applicable,OTHER_GOV
461351,NCT00105040,2004-09-30,2004.0,Randomized,Triple,False,lead,UCB Pharma,INDUSTRY,Phase 2,INDUSTRY
461756,NCT00105105,2003-04-30,2003.0,Randomized,Double,False,lead,Corcept Therapeutics,INDUSTRY,Phase 2,INDUSTRY
461882,NCT00105326,2005-02-28,2005.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 2,INDUSTRY
461914,NCT00105482,2005-01-31,2005.0,Randomized,Triple,True,lead,Yale University,OTHER,Phase 2,UNIVERSITY
461918,NCT00105508,2004-09-30,2004.0,Randomized,None (Open Label),True,lead,EMD Serono,INDUSTRY,Phase 3,INDUSTRY
462104,NCT00105521,2004-09-30,2004.0,Randomized,Double,True,lead,EMD Serono,INDUSTRY,Phase 3,INDUSTRY
462296,NCT00105547,2005-02-28,2005.0,Randomized,Triple,False,lead,Myrexis Inc.,INDUSTRY,Phase 3,INDUSTRY
463098,NCT00105586,2004-12-31,2004.0,Randomized,Quadruple,True,lead,University of Pittsburgh,OTHER,Phase 4,UNIVERSITY
463192,NCT00106106,2005-03-31,2005.0,Randomized,Quadruple,True,lead,National Institutes of Health Clinical Center (CC),NIH,Phase 2,NIH
463202,NCT00106184,2006-03-31,2006.0,Randomized,Triple,True,lead,University of Pittsburgh,OTHER,Phase 2,UNIVERSITY
469402,NCT00106197,2004-06-30,2004.0,Non-Randomized,None (Open Label),False,lead,Uma Rao,OTHER,Phase 4,OTHER
469430,NCT00106392,2005-02-28,2005.0,Randomized,Quadruple,True,lead,Astellas Pharma Inc,INDUSTRY,Phase 4,INDUSTRY
469448,NCT00106405,2005-02-28,2005.0,,None (Open Label),False,lead,Forest Laboratories,INDUSTRY,Phase 2,INDUSTRY
469460,NCT00106769,2005-03-22,2005.0,,,False,lead,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Phase 1,NIH
469471,NCT00106860,2005-03-31,2005.0,Non-Randomized,None (Open Label),False,lead,Jazz Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
470135,NCT00107003,2005-03-30,2005.0,,None (Open Label),False,lead,National Cancer Institute (NCI),NIH,Phase 2,NIH
470143,NCT00107055,2003-12-31,2003.0,Randomized,Double,False,lead,Renovis,INDUSTRY,Phase 2,INDUSTRY
470279,NCT00107471,2005-10-31,2005.0,Non-Randomized,None (Open Label),False,lead,Children's Oncology Group,NETWORK,Phase 1/Phase 2,NETWORK
477005,NCT00107770,2005-04-30,2005.0,Non-Randomized,None (Open Label),False,lead,US Department of Veterans Affairs,FED,Phase 1/Phase 2,FED
477065,NCT00107796,2004-10-31,2004.0,Randomized,Double,False,lead,Cephalon,INDUSTRY,Phase 3,INDUSTRY
477503,NCT00107809,2004-10-31,2004.0,Randomized,Double,False,lead,Cephalon,INDUSTRY,Phase 3,INDUSTRY
477887,NCT00107848,2004-10-31,2004.0,Non-Randomized,,False,lead,Cephalon,INDUSTRY,Phase 3,INDUSTRY
478619,NCT00107926,2004-10-31,2004.0,Randomized,Quadruple,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
479763,NCT00107939,2004-11-30,2004.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
479819,NCT00108173,2002-10-31,2002.0,,None (Open Label),False,lead,US Department of Veterans Affairs,FED,Phase 1,FED
479826,NCT00108316,2004-01-31,2004.0,Non-Randomized,None (Open Label),False,lead,US Department of Veterans Affairs,FED,Not Applicable,FED
479828,NCT00108368,2003-10-31,2003.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 4,FED
479844,NCT00108420,2003-10-31,2003.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 4,FED
479846,NCT00108498,2003-10-31,2003.0,Randomized,Double,False,lead,US Department of Veterans Affairs,FED,Phase 1,FED
479849,NCT00108537,2003-10-31,2003.0,Randomized,None (Open Label),False,lead,US Department of Veterans Affairs,FED,Phase 3,FED
479854,NCT00108576,2003-10-31,2003.0,Randomized,Quadruple,False,lead,VA Office of Research and Development,FED,Phase 3,FED
479856,NCT00108602,2007-05-31,2007.0,,Single,False,lead,US Department of Veterans Affairs,FED,Not Applicable,FED
479862,NCT00108667,2005-04-30,2005.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
479865,NCT00108706,2004-12-31,2004.0,Randomized,Double,False,lead,City Hospitals Sunderland NHS Foundation Trust,OTHER,Phase 4,HOSPITAL
479875,NCT00108836,2005-03-31,2005.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
479967,NCT00109083,2002-03-31,2002.0,Randomized,Double,False,lead,"SK Life Science, Inc.",INDUSTRY,Phase 2,INDUSTRY
480042,NCT00109161,2005-04-30,2005.0,Randomized,Double,False,lead,"PDL BioPharma, Inc.",INDUSTRY,Phase 2,INDUSTRY
480258,NCT00109304,2005-07-31,2005.0,Randomized,Double,False,lead,"DynPort Vaccine Company LLC, A GDIT Company",INDUSTRY,Phase 1,INDUSTRY
480261,NCT00109382,2003-05-31,2003.0,Randomized,Double,False,lead,University of Calgary,OTHER,Phase 2/Phase 3,UNIVERSITY
480937,NCT00109564,2005-01-31,2005.0,Randomized,Double,False,lead,Targacept Inc.,INDUSTRY,Phase 2,INDUSTRY
480967,NCT00109577,2005-04-30,2005.0,Randomized,Quadruple,True,lead,University of Calgary,OTHER,Phase 2,UNIVERSITY
480983,NCT00109733,2005-01-31,2005.0,Randomized,None (Open Label),True,lead,EMD Serono,INDUSTRY,Phase 3,INDUSTRY
481019,NCT00109772,2005-02-28,2005.0,Randomized,Quadruple,True,lead,Celgene Corporation,INDUSTRY,Phase 2,INDUSTRY
481100,NCT00109798,2005-03-31,2005.0,,None (Open Label),False,lead,The Methodist Hospital Research Institute,OTHER,Not Applicable,HOSPITAL
481118,NCT00110396,2005-01-31,2005.0,Non-Randomized,None (Open Label),True,lead,EMD Serono,INDUSTRY,Phase 3,INDUSTRY
481124,NCT00110461,2005-03-31,2005.0,Randomized,Quadruple,True,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
481230,NCT00110500,2005-04-30,2005.0,Non-Randomized,Single,False,lead,Sangamo Therapeutics,INDUSTRY,Phase 1,INDUSTRY
481233,NCT00110552,2005-07-31,2005.0,Randomized,Single,False,lead,Oregon Health and Science University,OTHER,Phase 1,UNIVERSITY
481239,NCT00110604,2000-09-30,2000.0,Randomized,Double,False,lead,Wageningen University,OTHER,Not Applicable,UNIVERSITY
481272,NCT00110669,2004-01-31,2004.0,Randomized,Triple,False,lead,Cooperative International Neuromuscular Research Group,NETWORK,Phase 3,NETWORK
481278,NCT00110708,2005-04-30,2005.0,Randomized,Double,False,lead,PediaMed Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
481412,NCT00111189,2005-02-28,2005.0,Randomized,Quadruple,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
484490,NCT00111267,2003-05-31,2003.0,Randomized,Double,False,lead,Wageningen University,OTHER,Not Applicable,UNIVERSITY
484498,NCT00111371,2005-01-31,2005.0,Randomized,Double,False,lead,University Hospital Muenster,OTHER,Phase 4,UNIVERSITY
484505,NCT00111709,2005-05-27,2005.0,Randomized,Double,False,lead,Organon and Co,INDUSTRY,Phase 3,INDUSTRY
484508,NCT00111722,2005-05-27,2005.0,Randomized,Double,False,lead,Organon and Co,INDUSTRY,Phase 3,INDUSTRY
484511,NCT00111852,2005-04-30,2005.0,Randomized,Triple,False,lead,Forest Laboratories,INDUSTRY,Phase 3,INDUSTRY
485215,NCT00111982,2003-12-31,2003.0,,None (Open Label),False,lead,Amgen,INDUSTRY,Phase 1/Phase 2,INDUSTRY
485221,NCT00112034,2003-06-30,2003.0,Randomized,Double,False,lead,Biogen,INDUSTRY,Phase 4,INDUSTRY
485224,NCT00112073,2005-04-30,2005.0,Randomized,Quadruple,False,lead,"JANSSEN Alzheimer Immunotherapy Research & Development, LLC",INDUSTRY,Phase 2,INDUSTRY
485380,NCT00112385,2006-03-31,2006.0,Randomized,Double,True,lead,Brigham and Women's Hospital,OTHER,Phase 1,HOSPITAL
485392,NCT00112515,2004-02-29,2004.0,,,False,lead,University of Virginia,OTHER,Not Applicable,UNIVERSITY
485402,NCT00113022,2005-05-31,2005.0,Randomized,Quadruple,True,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
485412,NCT00113165,2004-10-31,2004.0,Randomized,Double,False,lead,GlaxoSmithKline,INDUSTRY,Phase 3,INDUSTRY
494292,NCT00113295,2004-02-29,2004.0,Randomized,Double,True,lead,Massachusetts General Hospital,OTHER,Phase 4,HOSPITAL
494296,NCT00113594,2005-06-30,2005.0,Non-Randomized,None (Open Label),False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
494551,NCT00113620,2005-07-31,2005.0,Randomized,Double,False,lead,Avanir Pharmaceuticals,INDUSTRY,Phase 3,INDUSTRY
494727,NCT00113685,2003-04-30,2003.0,Randomized,Double,False,lead,University of Washington,OTHER,Not Applicable,UNIVERSITY
494739,NCT00113815,2005-05-31,2005.0,Randomized,Quadruple,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
514197,NCT00113854,2004-10-31,2004.0,Randomized,Double,False,lead,Makerere University,OTHER,Phase 3,UNIVERSITY
514200,NCT00113906,2005-03-31,2005.0,Randomized,Double,False,lead,"University Hospital, Gentofte, Copenhagen",OTHER,Phase 2/Phase 3,UNIVERSITY
514216,NCT00114127,2004-06-30,2004.0,Randomized,Double,True,lead,Massachusetts General Hospital,OTHER,Phase 3,HOSPITAL
514218,NCT00114374,2005-06-30,2005.0,Randomized,Double,False,lead,Massachusetts General Hospital,OTHER,Phase 3,HOSPITAL
