,Neurological Disease,Source,Disease Class
5365,Encephalitis Periaxialis Concentrica,MeSH,Central Nervous System Diseases
5366,Encephalitis Periaxialis Diffusa,MeSH,Central Nervous System Diseases
5367,Encephalitis associated with herpes zoster,ICD,Diseases of the nervous system
5368,Encephalitis due to Alfuy virus,ICD,Diseases of the nervous system
5369,Encephalitis due to Alphavirus,ICD,Diseases of the nervous system
5370,Encephalitis due to Arenavirus,ICD,Diseases of the nervous system
5371,Encephalitis due to Australian Bat Lyssavirus,ICD,Diseases of the nervous system
5372,Encephalitis due to BK virus,ICD,Diseases of the nervous system
5373,Encephalitis due to Borrelia species,ICD,Diseases of the nervous system
5374,Encephalitis due to Bunyaviridae,ICD,Diseases of the nervous system
5375,Encephalitis due to Coxsackie virus group A or B,ICD,Diseases of the nervous system
5376,Encephalitis due to Cytomegalovirus,ICD,Diseases of the nervous system
5377,Encephalitis due to Dengue fever,ICD,Diseases of the nervous system
5378,Encephalitis due to Enterovirus,ICD,Diseases of the nervous system
5379,Encephalitis due to Epstein-Barr virus,ICD,Diseases of the nervous system
5380,Encephalitis due to European Bat Lyssavirus types 1 or 2,ICD,Diseases of the nervous system
5381,Encephalitis due to Filovirus,ICD,Diseases of the nervous system
5382,Encephalitis due to Flavivirus,ICD,Diseases of the nervous system
5383,Encephalitis due to Hantaan virus,ICD,Diseases of the nervous system
5384,Encephalitis due to Herpes B virus,ICD,Diseases of the nervous system
5385,Encephalitis due to Human T-lymphotropic virus Type 2,ICD,Diseases of the nervous system
5386,Encephalitis due to Human herpesvirus,ICD,Diseases of the nervous system
5387,Encephalitis due to Human herpesvirus 6,ICD,Diseases of the nervous system
5388,Encephalitis due to Human herpesvirus 7,ICD,Diseases of the nervous system
5389,Encephalitis due to Influenza virus,ICD,Diseases of the nervous system
5390,Encephalitis due to Junin virus,ICD,Diseases of the nervous system
5391,Encephalitis due to Kokobera virus,ICD,Diseases of the nervous system
5392,Encephalitis due to Koutango virus,ICD,Diseases of the nervous system
5393,Encephalitis due to Kunjin virus,ICD,Diseases of the nervous system
5394,Encephalitis due to Lagos bat virus,ICD,Diseases of the nervous system
5395,Encephalitis due to Lassa virus,ICD,Diseases of the nervous system
5396,Encephalitis due to Leptospira species,ICD,Diseases of the nervous system
5397,Encephalitis due to Listeria monocytogenes,ICD,Diseases of the nervous system
5398,Encephalitis due to Louping ill virus,ICD,Diseases of the nervous system
5399,Encephalitis due to Lymphocytic choriomeningitis virus,ICD,Diseases of the nervous system
5400,Encephalitis due to Machupo virus,ICD,Diseases of the nervous system
5401,Encephalitis due to Me Tri virus,ICD,Diseases of the nervous system
5402,Encephalitis due to Mokola virus,ICD,Diseases of the nervous system
5403,Encephalitis due to Morbillivirus,ICD,Diseases of the nervous system
5404,Encephalitis due to Nocardia species,ICD,Diseases of the nervous system
5405,Encephalitis due to Orthopoxvirus,ICD,Diseases of the nervous system
5406,Encephalitis due to Paramyxoviridae,ICD,Diseases of the nervous system
5407,Encephalitis due to Parechovirus,ICD,Diseases of the nervous system
5408,Encephalitis due to Polyoma virus,ICD,Diseases of the nervous system
5409,Encephalitis due to Puumala virus,ICD,Diseases of the nervous system
5410,Encephalitis due to Respiratory syncytial virus,ICD,Diseases of the nervous system
5411,Encephalitis due to Retroviridae,ICD,Diseases of the nervous system
5412,Encephalitis due to Rhabdoviridae,ICD,Diseases of the nervous system
5413,Encephalitis due to Rift valley virus,ICD,Diseases of the nervous system
5414,Encephalitis due to Roseolovirus,ICD,Diseases of the nervous system
5415,Encephalitis due to Rubella virus,ICD,Diseases of the nervous system
5416,Encephalitis due to Rubulavirus,ICD,Diseases of the nervous system
5417,Encephalitis due to Schistosoma,ICD,Diseases of the nervous system
5418,Encephalitis due to Schistosoma haematobium,ICD,Diseases of the nervous system
5419,Encephalitis due to Schistosoma japonicum,ICD,Diseases of the nervous system
5420,Encephalitis due to Schistosoma mansoni,ICD,Diseases of the nervous system
5421,Encephalitis due to Sin nombre virus,ICD,Diseases of the nervous system
5422,Encephalitis due to Stratford virus,ICD,Diseases of the nervous system
5423,Encephalitis due to Toscana virus,ICD,Diseases of the nervous system
5424,Encephalitis due to Toxoplasma gondii,ICD,Diseases of the nervous system
5425,Encephalitis due to Treponema pallidum,ICD,Diseases of the nervous system
5426,Encephalitis due to Usutu virus,ICD,Diseases of the nervous system
5427,Encephalitis due to Vesiculovirus,ICD,Diseases of the nervous system
5428,Encephalitis due to Vilyuisk human encephalitis virus,ICD,Diseases of the nervous system
5429,Encephalitis due to classical rabies virus,ICD,Diseases of the nervous system
5430,Encephalitis due to coenurus cerebralis,ICD,Diseases of the nervous system
5431,Encephalitis due to cysticercosis,ICD,Diseases of the nervous system
5432,Encephalitis due to echinococcosis,ICD,Diseases of the nervous system
5433,Encephalitis due to echo virus,ICD,Diseases of the nervous system
5434,Encephalitis due to enterovirus types 68-71,ICD,Diseases of the nervous system
5435,Encephalitis due to herpes simplex type 1,ICD,Diseases of the nervous system
5436,Encephalitis due to herpes simplex type 2,ICD,Diseases of the nervous system
5437,Encephalitis due to herpes simplex virus,ICD,Diseases of the nervous system
5438,Encephalitis due to human T-lymphotropic virus Type I,ICD,Diseases of the nervous system
5439,Encephalitis due to human immunodeficiency virus Type 1,ICD,Diseases of the nervous system
5440,Encephalitis due to human immunodeficiency virus Type 2,ICD,Diseases of the nervous system
5441,Encephalitis due to malaria,ICD,Diseases of the nervous system
5442,Encephalitis due to mumps virus,ICD,Diseases of the nervous system
5443,Encephalitis due to poliovirus,ICD,Diseases of the nervous system
5444,Encephalitis in African trypanosomiasis,ICD,Diseases of the nervous system
5445,Encephalitis in Chagas disease,ICD,Diseases of the nervous system
5446,Encephalitis in Gambiense trypanosomiasis,ICD,Diseases of the nervous system
5447,Encephalitis in Rhodesiense trypanosomiasis,ICD,Diseases of the nervous system
5448,Encephalitis lethargica,ICD,Diseases of the nervous system
5449,"Encephalitis, Anti-N-Methyl-D-Aspartate Receptor",MeSH,Central Nervous System Diseases
5450,"Encephalitis, Anti-NMDA Receptor",MeSH,Central Nervous System Diseases
5451,"Encephalitis, Anti-NMDAR",MeSH,Central Nervous System Diseases
5452,"Encephalitis, Arboviral",MeSH,Central Nervous System Diseases
5453,"Encephalitis, Arbovirus",MeSH,Central Nervous System Diseases
5454,"Encephalitis, Arthropod Borne",MeSH,Central Nervous System Diseases
5455,"Encephalitis, Arthropod-Borne",MeSH,Central Nervous System Diseases
5456,"Encephalitis, Arthropod-Borne Viral",MeSH,Central Nervous System Diseases
5457,"Encephalitis, Bovine Spongiform",MeSH,Central Nervous System Diseases
5458,"Encephalitis, California",MeSH,Central Nervous System Diseases
5459,"Encephalitis, California Viral",MeSH,Central Nervous System Diseases
5460,"Encephalitis, California, Viral",MeSH,Central Nervous System Diseases
5461,"Encephalitis, Eastern Equine",MeSH,Central Nervous System Diseases
5462,"Encephalitis, Epidemic",MeSH,Central Nervous System Diseases
5463,"Encephalitis, Equine",MeSH,Central Nervous System Diseases
5464,"Encephalitis, Herpes",MeSH,Central Nervous System Diseases
5465,"Encephalitis, Herpes Simplex",MeSH,Central Nervous System Diseases
5466,"Encephalitis, Herpes Zoster",MeSH,Central Nervous System Diseases
5467,"Encephalitis, Herpetic",MeSH,Central Nervous System Diseases
5468,"Encephalitis, Human Herpesvirus 3",MeSH,Central Nervous System Diseases
5469,"Encephalitis, Inclusion Body, Measles",MeSH,Central Nervous System Diseases
5470,"Encephalitis, Infectious",MeSH,Central Nervous System Diseases
5471,"Encephalitis, JC Polyomavirus",MeSH,Central Nervous System Diseases
5472,"Encephalitis, Japanese",MeSH,Central Nervous System Diseases
5473,"Encephalitis, Japanese B",MeSH,Central Nervous System Diseases
5474,"Encephalitis, Limbic",MeSH,Central Nervous System Diseases
5475,"Encephalitis, Paraneoplastic Limbic",MeSH,Central Nervous System Diseases
5476,"Encephalitis, Saint Louis",MeSH,Central Nervous System Diseases
5477,"Encephalitis, St. Louis",MeSH,Central Nervous System Diseases
5478,"Encephalitis, Tick Borne",MeSH,Central Nervous System Diseases
5479,"Encephalitis, Tick-Borne",MeSH,Central Nervous System Diseases
5480,"Encephalitis, VZ Virus",MeSH,Central Nervous System Diseases
5481,"Encephalitis, Varicella",MeSH,Central Nervous System Diseases
5482,"Encephalitis, Varicella Zoster",MeSH,Central Nervous System Diseases
5483,"Encephalitis, Venezuelan Equine",MeSH,Central Nervous System Diseases
5484,"Encephalitis, Viral",MeSH,Central Nervous System Diseases
5485,"Encephalitis, Viral, St. Louis",MeSH,Central Nervous System Diseases
5486,"Encephalitis, Western Equine",MeSH,Central Nervous System Diseases
5487,"Encephalitis, not elsewhere classified",ICD,Diseases of the nervous system
5488,Encephalocele,MeSH|ICD,Diseases of the nervous system|Nervous System Malformations
5489,Encephaloceles,MeSH,Nervous System Malformations
5490,Encephaloclastic disorders,ICD,Diseases of the nervous system
5491,Encephalofacial Hemangiomatosis Syndrome,MeSH,Neurocutaneous Syndromes
5492,Encephalomalacia,MeSH|ICD,Diseases of the nervous system|Central Nervous System Diseases
5493,"Encephalomalacia, Periventricular",MeSH,Central Nervous System Diseases
5494,Encephalomalacias,MeSH,Central Nervous System Diseases
5495,"Encephalomalacias, Periventricular",MeSH,Central Nervous System Diseases
5496,Encephalomeningitides,MeSH,Central Nervous System Diseases
5497,Encephalomeningitis,MeSH,Central Nervous System Diseases
5498,"Encephalomyelitides, Acute Hemorrhagic",MeSH,Autoimmune Diseases of the Nervous System
5499,"Encephalomyelitides, Eastern Equine",MeSH,Central Nervous System Diseases
5500,"Encephalomyelitides, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5501,"Encephalomyelitides, Venezuelan Equine",MeSH,Central Nervous System Diseases
5502,Encephalomyelitis,MeSH,Central Nervous System Diseases
5503,"Encephalomyelitis, Acute Disseminated",MeSH,Central Nervous System Diseases
5504,"Encephalomyelitis, Acute Hemorrhagic",MeSH,Autoimmune Diseases of the Nervous System
5505,"Encephalomyelitis, Acute Necrotizing Hemorrhagic",MeSH,Autoimmune Diseases of the Nervous System
5506,"Encephalomyelitis, Autoimmune Experimental",MeSH,Autoimmune Diseases of the Nervous System
5507,"Encephalomyelitis, Autoimmune, Experimental",MeSH,Autoimmune Diseases of the Nervous System
5508,"Encephalomyelitis, Eastern Equine",MeSH,Central Nervous System Diseases
5509,"Encephalomyelitis, Equine",MeSH,Central Nervous System Diseases
5510,"Encephalomyelitis, Experimental Allergic",MeSH,Autoimmune Diseases of the Nervous System
5511,"Encephalomyelitis, Experimental Autoimmune",MeSH,Autoimmune Diseases of the Nervous System
5512,"Encephalomyelitis, Infectious, Viral",MeSH,Central Nervous System Diseases
5513,"Encephalomyelitis, Lymphocytic Choriomeningitis Virus",MeSH,Central Nervous System Diseases
5514,"Encephalomyelitis, Myalgic",MeSH,Neuromuscular Diseases
5515,"Encephalomyelitis, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5516,"Encephalomyelitis, Venezuelan Equine",MeSH,Central Nervous System Diseases
5517,"Encephalomyelitis, Viral Infectious",MeSH,Central Nervous System Diseases
5518,"Encephalomyelitis, Western Equine",MeSH,Central Nervous System Diseases
5519,"Encephalomyelitis, not elsewhere classified",ICD,Diseases of the nervous system
5520,"Encephalomyelopathies, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5521,Encephalomyelopathy due to toxicity,ICD,Diseases of the nervous system
5522,"Encephalomyelopathy, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5523,"Encephalomyopathies, Mitochondrial",MeSH,Neuromuscular Diseases
5524,"Encephalomyopathy, Mitochondrial",MeSH,Neuromuscular Diseases
5525,Encephalon Disease,MeSH,Central Nervous System Diseases
5526,Encephalon Diseases,MeSH,Central Nervous System Diseases
5527,"Encephalopathies, Acute Febrile",MeSH,Central Nervous System Diseases
5528,"Encephalopathies, Bilirubin",MeSH,Central Nervous System Diseases
5529,"Encephalopathies, Glycine",MeSH,Central Nervous System Diseases
5530,"Encephalopathies, Hepatic",MeSH,Central Nervous System Diseases
5531,"Encephalopathies, Hepatocerebral",MeSH,Central Nervous System Diseases
5532,"Encephalopathies, Hyperbilirubinemic",MeSH,Central Nervous System Diseases
5533,"Encephalopathies, JC Polyomavirus",MeSH,Central Nervous System Diseases
5534,"Encephalopathies, Metabolic",MeSH,Central Nervous System Diseases
5535,"Encephalopathies, Metabolic, Inborn",MeSH,Central Nervous System Diseases
5536,"Encephalopathies, Portal-Systemic",MeSH,Central Nervous System Diseases
5537,"Encephalopathies, Portosystemic",MeSH,Central Nervous System Diseases
5538,"Encephalopathies, Sepsis Associated",MeSH,Central Nervous System Diseases
5539,"Encephalopathies, Sepsis-Associated",MeSH,Central Nervous System Diseases
5540,"Encephalopathies, Spongiform, Transmissible",MeSH,Neurodegenerative Diseases
5541,"Encephalopathies, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5542,"Encephalopathies, Subacute Spongiform",MeSH,Central Nervous System Diseases
5543,"Encephalopathies, Transmissible Spongiform",MeSH,Neurodegenerative Diseases
5544,"Encephalopathies, Traumatic",MeSH,Central Nervous System Diseases
5545,"Encephalopathies, Wernicke",MeSH,Central Nervous System Diseases
5546,Encephalopathy due to ammonia,ICD,Diseases of the nervous system
5547,Encephalopathy due to arsenic,ICD,Diseases of the nervous system
5548,Encephalopathy due to carbon monoxide,ICD,Diseases of the nervous system
5549,Encephalopathy due to early brain irradiation,ICD,Diseases of the nervous system
5550,Encephalopathy due to early-delayed brain irradiation,ICD,Diseases of the nervous system
5551,Encephalopathy due to folate deficiency,ICD,Diseases of the nervous system
5552,Encephalopathy due to lead,ICD,Diseases of the nervous system
5553,Encephalopathy due to methylmercury ingestion,ICD,Diseases of the nervous system
5554,Encephalopathy due to multiple nutrient deficiencies,ICD,Diseases of the nervous system
5555,Encephalopathy due to nutritional deficiency,ICD,Diseases of the nervous system
5556,Encephalopathy due to organophosphate ingestion,ICD,Diseases of the nervous system
5557,Encephalopathy due to other specified nutritional deficiencies,ICD,Diseases of the nervous system
5558,Encephalopathy due to other specified toxins,ICD,Diseases of the nervous system
5559,Encephalopathy due to toxicity,ICD,Diseases of the nervous system
5560,Encephalopathy due to vitamin B12 deficiency,ICD,Diseases of the nervous system
5561,"Encephalopathy, Acute Febrile",MeSH,Central Nervous System Diseases
5562,"Encephalopathy, Bilirubin",MeSH,Central Nervous System Diseases
5563,"Encephalopathy, Bovine Spongiform",MeSH,Central Nervous System Diseases
5564,"Encephalopathy, Chronic",MeSH,Central Nervous System Diseases
5565,"Encephalopathy, Gayet Wernicke",MeSH,Central Nervous System Diseases
5566,"Encephalopathy, Gayet-Wernicke",MeSH,Central Nervous System Diseases
5567,"Encephalopathy, Glycine",MeSH,Central Nervous System Diseases
5568,"Encephalopathy, Hepatic",MeSH,Central Nervous System Diseases
5569,"Encephalopathy, Hepatocerebral",MeSH,Central Nervous System Diseases
5570,"Encephalopathy, Hyperbilirubinemic",MeSH,Central Nervous System Diseases
5571,"Encephalopathy, Hypertensive",MeSH,Central Nervous System Diseases
5572,"Encephalopathy, Ischemic",MeSH,Central Nervous System Diseases
5573,"Encephalopathy, JC Polyomavirus",MeSH,Central Nervous System Diseases
5574,"Encephalopathy, Kuru",MeSH,Central Nervous System Diseases
5575,"Encephalopathy, Metabolic",MeSH,Central Nervous System Diseases
5576,"Encephalopathy, Portal Systemic",MeSH,Central Nervous System Diseases
5577,"Encephalopathy, Portal-Systemic",MeSH,Central Nervous System Diseases
5578,"Encephalopathy, Portosystemic",MeSH,Central Nervous System Diseases
5579,"Encephalopathy, Post-Traumatic, Chronic",MeSH,Central Nervous System Diseases
5580,"Encephalopathy, Sepsis Associated",MeSH,Central Nervous System Diseases
5581,"Encephalopathy, Sepsis-Associated",MeSH,Central Nervous System Diseases
5582,"Encephalopathy, Subacute Necrotizing",MeSH,Central Nervous System Diseases
5583,"Encephalopathy, Subacute Spongiform",MeSH,Central Nervous System Diseases
5584,"Encephalopathy, Subacute Spongiform, Gerstmann-Straussler Type",MeSH,Neurodegenerative Diseases
5585,"Encephalopathy, Transmissible Spongiform",MeSH,Neurodegenerative Diseases
5586,"Encephalopathy, Traumatic",MeSH,Central Nervous System Diseases
5587,"Encephalopathy, Wernicke",MeSH,Central Nervous System Diseases
5588,"Encephalopathy, Wernicke's",MeSH,Central Nervous System Diseases
5589,"Encephalopathy, Wernickes",MeSH,Central Nervous System Diseases
5590,"Encephalopathy, not elsewhere classified",ICD,Diseases of the nervous system
5591,Encopresis,ICD,Diseases of the nervous system
5592,Encopresis with constipation or overflow incontinence,ICD,Diseases of the nervous system
5593,Encopresis without constipation or overflow incontinence,ICD,Diseases of the nervous system
5594,End stage dementia,ICD,Diseases of the nervous system
5595,Endocarditis with acute or subacute rheumatic chorea,ICD,Diseases of the nervous system
5596,Enhanced physiological tremor,ICD,Diseases of the nervous system
5597,"Enteroviral encephalitis, myelitis or encephalomyelitis",ICD,Diseases of the nervous system
5598,Enteroviral meningitis,ICD,Diseases of the nervous system
5599,Entomophobia,ICD,Diseases of the nervous system
5600,"Entrapment Neuropathy, Carpal Tunnel",MeSH,Neuromuscular Diseases
5601,"Entrapment Neuropathy, Tarsal Tunnel",MeSH,Neuromuscular Diseases
5602,Enuresis,ICD,Diseases of the nervous system
5603,Eosinophilia Myalgia Syndrome,MeSH,Neuromuscular Diseases
5604,Eosinophilia-Myalgia Syndrome,MeSH,Neuromuscular Diseases
5605,Eosinophilia-Myalgia Syndromes,MeSH,Neuromuscular Diseases
5606,Eosinophilic meningitis due to Angiostrongylus cantonensis,ICD,Diseases of the nervous system
5607,Ependymopathy,ICD,Diseases of the nervous system
5608,Epidemic Acute Poliomyelitis,MeSH,Neuromuscular Diseases
5609,Epidemic Encephalitides,MeSH,Central Nervous System Diseases
5610,Epidemic Encephalitis,MeSH,Central Nervous System Diseases
5611,Epidemic Neurolabyrinthitides,MeSH,Cranial Nerve Diseases
5612,Epidemic Neurolabyrinthitis,MeSH,Cranial Nerve Diseases
5613,Epidemic vertigo,ICD,Diseases of the nervous system
5614,Epidermolysis bullosa simplex with muscular dystrophy,ICD,Diseases of the nervous system
5615,Epidural Abscess,MeSH,Central Nervous System Diseases
5616,"Epidural Hematoma, Cranial",MeSH,"Trauma, Nervous System"
5617,"Epidural Hematoma, Intracranial",MeSH,"Trauma, Nervous System"
5618,"Epidural Hematomas, Cranial",MeSH,"Trauma, Nervous System"
5619,"Epidural Hematomas, Intracranial",MeSH,"Trauma, Nervous System"
5620,"Epidural Hemorrhage, Cranial",MeSH,"Trauma, Nervous System"
5621,"Epidural Hemorrhages, Cranial",MeSH,"Trauma, Nervous System"
5622,Epidural Neoplasm,MeSH,Central Nervous System Diseases
5623,Epidural Neoplasms,MeSH,Central Nervous System Diseases
5624,Epidural Tumor,MeSH,Central Nervous System Diseases
5625,Epidural Tumors,MeSH,Central Nervous System Diseases
5626,Epidural abscess due to tuberculosis,ICD,Diseases of the nervous system
5627,Epidural brain abscess,ICD,Diseases of the nervous system
5628,"Epidural haemorrhage, confined to a small region in relation to a fracture",ICD,Diseases of the nervous system
5629,"Epidural haemorrhage, localised, no generalised mass effect or midline shift",ICD,Diseases of the nervous system
5630,"Epidural haemorrhage, mass effect or midline shift greater than or equal to 0.5 cm and less than 1.0 cm",ICD,Diseases of the nervous system
5631,"Epidural haemorrhage, mass effect or midline shift greater than or equal to 1.0 cm",ICD,Diseases of the nervous system
5632,"Epidural haemorrhage, mass effect or midline shift less than 0.5 cm",ICD,Diseases of the nervous system
5633,"Epidural haemorrhage, size less than 1 x 1 x 1 cm, not in relation to a fracture",ICD,Diseases of the nervous system
5634,Epidural infectious cyst,ICD,Diseases of the nervous system
5635,Epilepsia Partialis Continua,MeSH,Neurologic Manifestations
5636,Epilepsia partialis continua,ICD,Diseases of the nervous system
5637,Epilepsies,MeSH,Central Nervous System Diseases
5638,"Epilepsies, Baltic Myoclonic",MeSH,Central Nervous System Diseases
5639,"Epilepsies, Baltic Myoclonus",MeSH,Central Nervous System Diseases
5640,"Epilepsies, Benign Neonatal",MeSH,Central Nervous System Diseases
5641,"Epilepsies, Benign Neonatal-Infantile",MeSH,Central Nervous System Diseases
5642,"Epilepsies, Drug Refractory",MeSH,Central Nervous System Diseases
5643,"Epilepsies, Drug Resistant",MeSH,Central Nervous System Diseases
5644,"Epilepsies, Focal",MeSH,Central Nervous System Diseases
5645,"Epilepsies, Generalized",MeSH,Central Nervous System Diseases
5646,"Epilepsies, Intractable",MeSH,Central Nervous System Diseases
5647,"Epilepsies, Kojevnikov's",MeSH,Neurologic Manifestations
5648,"Epilepsies, Localization-Related",MeSH,Central Nervous System Diseases
5649,"Epilepsies, Medication Resistant",MeSH,Central Nervous System Diseases
5650,"Epilepsies, Myoclonic",MeSH,Central Nervous System Diseases
5651,"Epilepsies, Partial",MeSH,Central Nervous System Diseases
5652,"Epilepsies, Post-Traumatic",MeSH,Central Nervous System Diseases
5653,"Epilepsies, Progressive Myoclonic",MeSH,Central Nervous System Diseases
5654,"Epilepsies, Progressive Myoclonus",MeSH,Central Nervous System Diseases
5655,"Epilepsies, Reflex",MeSH,Central Nervous System Diseases
5656,"Epilepsies, Refractory",MeSH,Central Nervous System Diseases
5657,"Epilepsies, Rolandic",MeSH,Central Nervous System Diseases
5658,"Epilepsies, Syndromic",MeSH,Central Nervous System Diseases
5659,"Epilepsies, Temporal Lobe",MeSH,Central Nervous System Diseases
5660,"Epilepsies, Tonic-Clonic",MeSH,Central Nervous System Diseases
5661,"Epilepsies, Traumatic",MeSH,Central Nervous System Diseases
5662,Epilepsy,MeSH,Central Nervous System Diseases
5663,Epilepsy Progressive Myoclonic 2,MeSH,Central Nervous System Diseases
5664,Epilepsy Syndrome,MeSH,Central Nervous System Diseases
5665,Epilepsy Syndromes,MeSH,Central Nervous System Diseases
5666,Epilepsy due to Rasmussen encephalitis,ICD,Diseases of the nervous system
5667,Epilepsy due to X-linked recessive progressive myoclonic epilepsy with ataxia,ICD,Diseases of the nervous system
5668,Epilepsy due to abnormalities of brain development,ICD,Diseases of the nervous system
5669,Epilepsy due to autosomal dominant genetic syndromes with widespread or progressive effects,ICD,Diseases of the nervous system
5670,Epilepsy due to autosomal recessive genetic syndromes with widespread or progressive effects,ICD,Diseases of the nervous system
5671,Epilepsy due to bacterial endocarditis,ICD,Diseases of the nervous system
5672,Epilepsy due to central nervous system infections or infestations,ICD,Diseases of the nervous system
5673,Epilepsy due to cerebrovascular disorders,ICD,Diseases of the nervous system
5674,Epilepsy due to chromosomal disorders,ICD,Diseases of the nervous system
5675,Epilepsy due to congenital infections,ICD,Diseases of the nervous system
5676,Epilepsy due to degenerative brain disorders,ICD,Diseases of the nervous system
5677,Epilepsy due to dementias,ICD,Diseases of the nervous system
5678,Epilepsy due to genetic syndromes with widespread or progressive effects,ICD,Diseases of the nervous system
5679,Epilepsy due to immune disorders,ICD,Diseases of the nervous system
5680,Epilepsy due to infectious encephalitis,ICD,Diseases of the nervous system
5681,Epilepsy due to infectious meningitis,ICD,Diseases of the nervous system
5682,Epilepsy due to injuries to the head,ICD,Diseases of the nervous system
5683,Epilepsy due to malformations of cortical development with genetic determinants,ICD,Diseases of the nervous system
5684,Epilepsy due to mitochondrial disorders,ICD,Diseases of the nervous system
5685,Epilepsy due to multiple sclerosis or other demyelinating disorders,ICD,Diseases of the nervous system
5686,Epilepsy due to neonatal central nervous system infections,ICD,Diseases of the nervous system
5687,Epilepsy due to neonatal hypoxic ischemic encephalopathy,ICD,Diseases of the nervous system
5688,Epilepsy due to other central nervous system infections or infestations,ICD,Diseases of the nervous system
5689,Epilepsy due to parasitic diseases,ICD,Diseases of the nervous system
5690,Epilepsy due to periventricular or intraventricular haemorrhage,ICD,Diseases of the nervous system
5691,Epilepsy due to prenatal or perinatal brain insults,ICD,Diseases of the nervous system
5692,Epilepsy due to prenatal or perinatal ischemic stroke,ICD,Diseases of the nervous system
5693,Epilepsy due to prenatal or perinatal vascular insults,ICD,Diseases of the nervous system
5694,Epilepsy due to structural or metabolic conditions or diseases,ICD,Diseases of the nervous system
5695,Epilepsy due to tumours of the nervous system,ICD,Diseases of the nervous system
5696,Epilepsy in females with intellectual development disorder with PCDH19 mutations,ICD,Diseases of the nervous system
5697,Epilepsy of infancy with migrating focal seizures,ICD,Diseases of the nervous system
5698,Epilepsy or seizures,ICD,Diseases of the nervous system
5699,Epilepsy with GLUT1 deficiency with SLC2A1 mutations,ICD,Diseases of the nervous system
5700,Epilepsy with continuous spike wave during sleep,ICD,Diseases of the nervous system
5701,Epilepsy with generalised tonic-clonic seizures on awakening,ICD,Diseases of the nervous system
5702,Epilepsy with mesial temporal sclerosis,ICD,Diseases of the nervous system
5703,Epilepsy with myoclonic-astatic seizures,ICD,Diseases of the nervous system
5704,"Epilepsy, Absence",MeSH,Central Nervous System Diseases
5705,"Epilepsy, Adolescent Myoclonic",MeSH,Central Nervous System Diseases
5706,"Epilepsy, Baltic Myoclonic",MeSH,Central Nervous System Diseases
5707,"Epilepsy, Baltic Myoclonus",MeSH,Central Nervous System Diseases
5708,"Epilepsy, Benign Neonatal",MeSH,Central Nervous System Diseases
5709,"Epilepsy, Benign Neonatal Infantile",MeSH,Central Nervous System Diseases
5710,"Epilepsy, Benign Neonatal-Infantile",MeSH,Central Nervous System Diseases
5711,"Epilepsy, Complex Partial",MeSH,Central Nervous System Diseases
5712,"Epilepsy, Drug Refractory",MeSH,Central Nervous System Diseases
5713,"Epilepsy, Drug Resistant",MeSH,Central Nervous System Diseases
5714,"Epilepsy, Focal",MeSH,Central Nervous System Diseases
5715,"Epilepsy, Focal Motor",MeSH,Central Nervous System Diseases
5716,"Epilepsy, Frontal Lobe",MeSH,Central Nervous System Diseases
5717,"Epilepsy, Generalized",MeSH,Central Nervous System Diseases
5718,"Epilepsy, Grand Mal",MeSH,Central Nervous System Diseases
5719,"Epilepsy, Intractable",MeSH,Central Nervous System Diseases
5720,"Epilepsy, Juvenile Myoclonic",MeSH,Central Nervous System Diseases
5721,"Epilepsy, Kojevnikov's",MeSH,Neurologic Manifestations
5722,"Epilepsy, Kojewnikov's",MeSH,Neurologic Manifestations
5723,"Epilepsy, Localization-Related",MeSH,Central Nervous System Diseases
5724,"Epilepsy, Major",MeSH,Central Nervous System Diseases
5725,"Epilepsy, Medication Resistant",MeSH,Central Nervous System Diseases
5726,"Epilepsy, Mediterranean Myoclonic",MeSH,Central Nervous System Diseases
5727,"Epilepsy, Motor Partial",MeSH,Central Nervous System Diseases
5728,"Epilepsy, Myoclonic",MeSH,Central Nervous System Diseases
5729,"Epilepsy, Myoclonic Juvenile",MeSH,Central Nervous System Diseases
5730,"Epilepsy, Myoclonic, Juvenile",MeSH,Central Nervous System Diseases
5731,"Epilepsy, Myoclonus",MeSH,Central Nervous System Diseases
5732,"Epilepsy, Partial",MeSH,Central Nervous System Diseases
5733,"Epilepsy, Partial, Motor",MeSH,Central Nervous System Diseases
5734,"Epilepsy, Partial, Sensory",MeSH,Central Nervous System Diseases
5735,"Epilepsy, Petit Mal",MeSH,Central Nervous System Diseases
5736,"Epilepsy, Post Traumatic",MeSH,Central Nervous System Diseases
5737,"Epilepsy, Post-Traumatic",MeSH,Central Nervous System Diseases
5738,"Epilepsy, Progressive Myoclonic",MeSH,Central Nervous System Diseases
5739,"Epilepsy, Progressive Myoclonic 1",MeSH,Central Nervous System Diseases
5740,"Epilepsy, Progressive Myoclonic 1a",MeSH,Central Nervous System Diseases
5741,"Epilepsy, Progressive Myoclonic 2A",MeSH,Central Nervous System Diseases
5742,"Epilepsy, Progressive Myoclonic Type 1",MeSH,Central Nervous System Diseases
5743,"Epilepsy, Progressive Myoclonic, Lafora",MeSH,Central Nervous System Diseases
