,Neurological Disease,Disease Class,Source
816,"Discrimination Disorder, Somatosensory",Diseases Category,MeSH
817,"Discrimination Disorders, Somatosensory",Diseases Category,MeSH
818,Somatosensory Discrimination Disorders,Diseases Category,MeSH
819,Sensory Neglect,Diseases Category,MeSH
820,"Neglect, Sensory",Diseases Category,MeSH
821,Sensory Neglects,Diseases Category,MeSH
822,Hemisensory Neglect,Diseases Category,MeSH
823,Hemisensory Neglects,Diseases Category,MeSH
824,"Neglect, Hemisensory",Diseases Category,MeSH
825,"Neglects, Hemisensory",Diseases Category,MeSH
826,Hemispatial Neglect,Diseases Category,MeSH
827,Hemispatial Neglects,Diseases Category,MeSH
828,"Neglect, Hemispatial",Diseases Category,MeSH
829,Agnosias,Diseases Category,MeSH
830,Agnosia for Smell,Diseases Category,MeSH
831,Olfactory Agnosia,Diseases Category,MeSH
832,"Agnosia, Olfactory",Diseases Category,MeSH
833,"Agnosias, Olfactory",Diseases Category,MeSH
834,Olfactory Agnosias,Diseases Category,MeSH
835,Agnosia for Taste,Diseases Category,MeSH
836,Agnosia for Tastes,Diseases Category,MeSH
837,Gustatory Agnosia,Diseases Category,MeSH
838,"Agnosia, Gustatory",Diseases Category,MeSH
839,Agnosia for Temperature,Diseases Category,MeSH
840,Anosognosia,Diseases Category,MeSH
841,Anosognosias,Diseases Category,MeSH
842,Auditory Agnosia,Diseases Category,MeSH
843,"Agnosia, Auditory",Diseases Category,MeSH
844,"Agnosias, Auditory",Diseases Category,MeSH
845,Auditory Agnosias,Diseases Category,MeSH
846,"Auditory Agnosia, Congenital",Diseases Category,MeSH
847,"Agnosia, Congenital Auditory",Diseases Category,MeSH
848,"Agnosias, Congenital Auditory",Diseases Category,MeSH
849,"Auditory Agnosias, Congenital",Diseases Category,MeSH
850,Congenital Auditory Agnosias,Diseases Category,MeSH
851,Congenital Auditory Agnosia,Diseases Category,MeSH
852,Body-Image Agnosia,Diseases Category,MeSH
853,"Agnosia, Body-Image",Diseases Category,MeSH
854,"Agnosias, Body-Image",Diseases Category,MeSH
855,Body Image Agnosia,Diseases Category,MeSH
856,Body-Image Agnosias,Diseases Category,MeSH
857,Developmental Agnosia,Diseases Category,MeSH
858,"Agnosia, Developmental",Diseases Category,MeSH
859,"Agnosias, Developmental",Diseases Category,MeSH
860,Developmental Agnosias,Diseases Category,MeSH
861,Finger Agnosia,Diseases Category,MeSH
862,"Agnosia, Finger",Diseases Category,MeSH
863,"Agnosias, Finger",Diseases Category,MeSH
864,Finger Agnosias,Diseases Category,MeSH
865,Ideational Agnosia,Diseases Category,MeSH
866,"Agnosia, Ideational",Diseases Category,MeSH
867,"Agnosias, Ideational",Diseases Category,MeSH
868,Ideational Agnosias,Diseases Category,MeSH
869,Position Agnosia,Diseases Category,MeSH
870,"Agnosia, Position",Diseases Category,MeSH
871,"Agnosias, Position",Diseases Category,MeSH
872,Position Agnosias,Diseases Category,MeSH
873,Sensory Agnosia,Diseases Category,MeSH
874,"Agnosia, Sensory",Diseases Category,MeSH
875,"Agnosias, Sensory",Diseases Category,MeSH
876,Sensory Agnosias,Diseases Category,MeSH
877,Somatosensory Agnosia,Diseases Category,MeSH
878,"Agnosia, Somatosensory",Diseases Category,MeSH
879,"Agnosias, Somatosensory",Diseases Category,MeSH
880,Somatosensory Agnosias,Diseases Category,MeSH
881,Tactile Agnosia,Diseases Category,MeSH
882,"Agnosia, Tactile",Diseases Category,MeSH
883,"Agnosias, Tactile",Diseases Category,MeSH
884,Tactile Agnosias,Diseases Category,MeSH
885,Time Agnosia,Diseases Category,MeSH
886,"Agnosia, Time",Diseases Category,MeSH
887,"Agnosias, Time",Diseases Category,MeSH
888,Time Agnosias,Diseases Category,MeSH
889,Topographical Agnosia,Diseases Category,MeSH
890,"Agnosia, Topographical",Diseases Category,MeSH
891,"Agnosias, Topographical",Diseases Category,MeSH
892,Topographical Agnosias,Diseases Category,MeSH
893,Visual Disorientation Syndrome,Diseases Category,MeSH
894,"Syndrome, Visual Disorientation",Diseases Category,MeSH
895,"Syndromes, Visual Disorientation",Diseases Category,MeSH
896,Visual Disorientation Syndromes,Diseases Category,MeSH
897,Visual Agnosia,Diseases Category,MeSH
898,"Agnosia, Visual",Diseases Category,MeSH
899,"Agnosias, Visual",Diseases Category,MeSH
900,Visual Agnosias,Diseases Category,MeSH
901,Visual Agnosia for Objects,Diseases Category,MeSH
902,Visuospatial Agnosia,Diseases Category,MeSH
903,"Agnosia, Visuospatial",Diseases Category,MeSH
904,"Agnosias, Visuospatial",Diseases Category,MeSH
905,Visuospatial Agnosias,Diseases Category,MeSH
906,Agnosia for Pain,Diseases Category,MeSH
907,Allesthesias,Diseases Category,MeSH
908,Alloesthesia,Diseases Category,MeSH
909,Alloesthesias,Diseases Category,MeSH
910,Allachesthesia,Diseases Category,MeSH
911,Allachesthesias,Diseases Category,MeSH
912,Allochiria,Diseases Category,MeSH
913,Allochirias,Diseases Category,MeSH
914,Dyschiria,Diseases Category,MeSH
915,Dyschirias,Diseases Category,MeSH
916,Auditory Perceptual Disorder,Diseases Category,MeSH
917,"Perceptual Disorder, Auditory",Diseases Category,MeSH
918,Auditory Processing Disorder,Diseases Category,MeSH
919,Auditory Processing Disorders,Diseases Category,MeSH
920,"Disorder, Auditory Processing",Diseases Category,MeSH
921,"Disorders, Auditory Processing",Diseases Category,MeSH
922,"Processing Disorder, Auditory",Diseases Category,MeSH
923,"Processing Disorders, Auditory",Diseases Category,MeSH
924,Psychoacoustical Disorders,Diseases Category,MeSH
925,"Disorder, Psychoacoustical",Diseases Category,MeSH
926,"Disorders, Psychoacoustical",Diseases Category,MeSH
927,Psychoacoustical Disorder,Diseases Category,MeSH
928,Acoustic Perceptual Disorder,Diseases Category,MeSH
929,Acoustic Perceptual Disorders,Diseases Category,MeSH
930,"Disorder, Acoustic Perceptual",Diseases Category,MeSH
931,"Disorders, Acoustic Perceptual",Diseases Category,MeSH
932,"Perceptual Disorder, Acoustic",Diseases Category,MeSH
933,"Perceptual Disorders, Acoustic",Diseases Category,MeSH
934,"Perceptual Disorders, Auditory",Diseases Category,MeSH
935,Auditory Comprehension Disorder,Diseases Category,MeSH
936,Auditory Comprehension Disorders,Diseases Category,MeSH
937,"Comprehension Disorder, Auditory",Diseases Category,MeSH
938,"Comprehension Disorders, Auditory",Diseases Category,MeSH
939,"Disorder, Auditory Comprehension",Diseases Category,MeSH
940,"Disorders, Auditory Comprehension",Diseases Category,MeSH
941,Auditory Inattention,Diseases Category,MeSH
942,Auditory Inattentions,Diseases Category,MeSH
943,"Inattention, Auditory",Diseases Category,MeSH
944,"Inattentions, Auditory",Diseases Category,MeSH
945,Hallucination,Diseases Category,MeSH
946,"Hallucinations, Visual",Diseases Category,MeSH
947,"Hallucination, Visual",Diseases Category,MeSH
948,Visual Hallucination,Diseases Category,MeSH
949,Visual Hallucinations,Diseases Category,MeSH
950,Hallucination of Body Sensation,Diseases Category,MeSH
951,Body Sensation Hallucination,Diseases Category,MeSH
952,Body Sensation Hallucinations,Diseases Category,MeSH
953,"Hallucinations, Auditory",Diseases Category,MeSH
954,Auditory Hallucination,Diseases Category,MeSH
955,Auditory Hallucinations,Diseases Category,MeSH
956,"Hallucination, Auditory",Diseases Category,MeSH
957,"Hallucinations, Dissociative",Diseases Category,MeSH
958,Dissociative Hallucination,Diseases Category,MeSH
959,Dissociative Hallucinations,Diseases Category,MeSH
960,"Hallucination, Dissociative",Diseases Category,MeSH
961,"Hallucinations, Elementary",Diseases Category,MeSH
962,Elementary Hallucination,Diseases Category,MeSH
963,Elementary Hallucinations,Diseases Category,MeSH
964,"Hallucination, Elementary",Diseases Category,MeSH
965,"Hallucinations, Formed, of People",Diseases Category,MeSH
966,"Hallucinations, Gustatory",Diseases Category,MeSH
967,Gustatory Hallucination,Diseases Category,MeSH
968,Gustatory Hallucinations,Diseases Category,MeSH
969,"Hallucination, Gustatory",Diseases Category,MeSH
970,"Hallucinations, Hypnagogic",Diseases Category,MeSH
971,"Hallucination, Hypnagogic",Diseases Category,MeSH
972,Hypnagogic Hallucination,Diseases Category,MeSH
973,Hypnagogic Hallucinations,Diseases Category,MeSH
974,"Hallucinations, Hypnapompic",Diseases Category,MeSH
975,"Hallucination, Hypnapompic",Diseases Category,MeSH
976,Hypnapompic Hallucination,Diseases Category,MeSH
977,Hypnapompic Hallucinations,Diseases Category,MeSH
978,"Hallucinations, Internal Body Sensation",Diseases Category,MeSH
979,"Hallucinations, Kinesthetic",Diseases Category,MeSH
980,"Hallucination, Kinesthetic",Diseases Category,MeSH
981,Kinesthetic Hallucination,Diseases Category,MeSH
982,Kinesthetic Hallucinations,Diseases Category,MeSH
983,"Hallucinations, Mood Congruent",Diseases Category,MeSH
984,"Hallucination, Mood Congruent",Diseases Category,MeSH
985,Mood Congruent Hallucination,Diseases Category,MeSH
986,Mood Congruent Hallucinations,Diseases Category,MeSH
987,"Hallucinations, Mood Incongruent",Diseases Category,MeSH
988,"Hallucination, Mood Incongruent",Diseases Category,MeSH
989,Mood Incongruent Hallucination,Diseases Category,MeSH
990,Mood Incongruent Hallucinations,Diseases Category,MeSH
991,"Hallucinations, Olfactory",Diseases Category,MeSH
992,"Hallucination, Olfactory",Diseases Category,MeSH
993,Olfactory Hallucination,Diseases Category,MeSH
994,Olfactory Hallucinations,Diseases Category,MeSH
995,"Hallucinations, Organic",Diseases Category,MeSH
996,"Hallucination, Organic",Diseases Category,MeSH
997,Organic Hallucination,Diseases Category,MeSH
998,Organic Hallucinations,Diseases Category,MeSH
999,"Hallucinations, Reflex",Diseases Category,MeSH
1000,"Hallucination, Reflex",Diseases Category,MeSH
1001,Reflex Hallucination,Diseases Category,MeSH
1002,Reflex Hallucinations,Diseases Category,MeSH
1003,"Hallucinations, Sensory",Diseases Category,MeSH
1004,"Hallucination, Sensory",Diseases Category,MeSH
1005,Sensory Hallucination,Diseases Category,MeSH
1006,Sensory Hallucinations,Diseases Category,MeSH
1007,"Hallucinations, Somatic",Diseases Category,MeSH
1008,"Hallucination, Somatic",Diseases Category,MeSH
1009,Somatic Hallucination,Diseases Category,MeSH
1010,Somatic Hallucinations,Diseases Category,MeSH
1011,"Hallucinations, Tactile",Diseases Category,MeSH
1012,"Hallucination, Tactile",Diseases Category,MeSH
1013,Tactile Hallucination,Diseases Category,MeSH
1014,Tactile Hallucinations,Diseases Category,MeSH
1015,"Hallucinations, Verbal Auditory",Diseases Category,MeSH
1016,"Auditory Hallucination, Verbal",Diseases Category,MeSH
1017,"Auditory Hallucinations, Verbal",Diseases Category,MeSH
1018,"Hallucination, Verbal Auditory",Diseases Category,MeSH
1019,Verbal Auditory Hallucination,Diseases Category,MeSH
1020,Verbal Auditory Hallucinations,Diseases Category,MeSH
1021,"Hallucinations, Visual, Formed",Diseases Category,MeSH
1022,"Hallucinations, Visual, Unformed",Diseases Category,MeSH
1023,Illusion,Diseases Category,MeSH
1024,Autokinetic Illusions,Diseases Category,MeSH
1025,Autokinetic Illusion,Diseases Category,MeSH
1026,"Illusion, Autokinetic",Diseases Category,MeSH
1027,"Illusions, Autokinetic",Diseases Category,MeSH
1028,"Illusions, Visual",Diseases Category,MeSH
1029,"Illusion, Visual",Diseases Category,MeSH
1030,Visual Illusion,Diseases Category,MeSH
1031,Visual Illusions,Diseases Category,MeSH
1032,"Illusions, Kinesthetic",Diseases Category,MeSH
1033,"Illusion, Kinesthetic",Diseases Category,MeSH
1034,Kinesthetic Illusion,Diseases Category,MeSH
1035,Kinesthetic Illusions,Diseases Category,MeSH
1036,"Illusions, Tactile",Diseases Category,MeSH
1037,"Illusion, Tactile",Diseases Category,MeSH
1038,Tactile Illusion,Diseases Category,MeSH
1039,Tactile Illusions,Diseases Category,MeSH
1040,Autokinetic Effect,Diseases Category,MeSH
1041,"Effect, Autokinetic",Diseases Category,MeSH
1042,Autokinetic Effects,Diseases Category,MeSH
1043,"Effects, Autokinetic",Diseases Category,MeSH
1044,"Illusions, Auditory",Diseases Category,MeSH
1045,Auditory Illusion,Diseases Category,MeSH
1046,Auditory Illusions,Diseases Category,MeSH
1047,"Illusion, Auditory",Diseases Category,MeSH
1048,"Limb, Phantom",Diseases Category,MeSH
1049,"Limbs, Phantom",Diseases Category,MeSH
1050,Phantom Limbs,Diseases Category,MeSH
1051,Phantom Sensation,Diseases Category,MeSH
1052,Phantom Sensations,Diseases Category,MeSH
1053,"Sensation, Phantom",Diseases Category,MeSH
1054,"Sensations, Phantom",Diseases Category,MeSH
1055,Pseudomelia,Diseases Category,MeSH
1056,Pseudomelias,Diseases Category,MeSH
1057,Phantom Limb Pain,Diseases Category,MeSH
1058,"Limb Pain, Phantom",Diseases Category,MeSH
1059,"Limb Pains, Phantom",Diseases Category,MeSH
1060,"Pain, Phantom Limb",Diseases Category,MeSH
1061,"Pains, Phantom Limb",Diseases Category,MeSH
1062,Phantom Limb Pains,Diseases Category,MeSH
1063,Phantom Pain,Diseases Category,MeSH
1064,"Pain, Phantom",Diseases Category,MeSH
1065,"Pains, Phantom",Diseases Category,MeSH
1066,Phantom Pains,Diseases Category,MeSH
1067,Developmental Psychomotor Disorders,Diseases Category,MeSH
1068,Developmental Psychomotor Disorder,Diseases Category,MeSH
1069,"Psychomotor Disorder, Developmental",Diseases Category,MeSH
1070,"Psychomotor Disorders, Developmental",Diseases Category,MeSH
1071,Psychomotor Impairment,Diseases Category,MeSH
1072,"Impairment, Psychomotor",Diseases Category,MeSH
1073,"Impairments, Psychomotor",Diseases Category,MeSH
1074,Psychomotor Impairments,Diseases Category,MeSH
1075,Dyspraxia,Diseases Category,MeSH
1076,Dyspraxias,Diseases Category,MeSH
1077,Apraxia,Diseases Category,MeSH
1078,"Apraxia, Articulatory",Diseases Category,MeSH
1079,"Apraxias, Articulatory",Diseases Category,MeSH
1080,Articulatory Apraxia,Diseases Category,MeSH
1081,Articulatory Apraxias,Diseases Category,MeSH
1082,"Dyspraxia, Articulatory",Diseases Category,MeSH
1083,Articulatory Dyspraxia,Diseases Category,MeSH
1084,Articulatory Dyspraxias,Diseases Category,MeSH
1085,"Dyspraxias, Articulatory",Diseases Category,MeSH
1086,"Apraxia, Developmental Verbal",Diseases Category,MeSH
1087,"Apraxias, Developmental Verbal",Diseases Category,MeSH
1088,Developmental Verbal Apraxia,Diseases Category,MeSH
1089,Developmental Verbal Apraxias,Diseases Category,MeSH
1090,"Verbal Apraxia, Developmental",Diseases Category,MeSH
1091,"Verbal Apraxias, Developmental",Diseases Category,MeSH
1092,Speech-Language Disorder 1,Diseases Category,MeSH
1093,"1s, Speech-Language Disorder",Diseases Category,MeSH
1094,"Disorder 1, Speech-Language",Diseases Category,MeSH
1095,"Disorder 1s, Speech-Language",Diseases Category,MeSH
1096,Speech Language Disorder 1,Diseases Category,MeSH
1097,Speech-Language Disorder 1s,Diseases Category,MeSH
1098,Developmental Verbal Dyspraxia,Diseases Category,MeSH
1099,Developmental Verbal Dyspraxias,Diseases Category,MeSH
1100,"Dyspraxia, Developmental Verbal",Diseases Category,MeSH
1101,"Dyspraxias, Developmental Verbal",Diseases Category,MeSH
1102,"Verbal Dyspraxia, Developmental",Diseases Category,MeSH
1103,"Verbal Dyspraxias, Developmental",Diseases Category,MeSH
1104,"Apraxia, Facial-Oral",Diseases Category,MeSH
1105,"Apraxia, Facial Oral",Diseases Category,MeSH
1106,"Apraxias, Facial-Oral",Diseases Category,MeSH
1107,Facial-Oral Apraxia,Diseases Category,MeSH
1108,Facial-Oral Apraxias,Diseases Category,MeSH
1109,Speech And Language Disorder With Orofacial Dyspraxia,Diseases Category,MeSH
1110,Ideational Apraxia,Diseases Category,MeSH
1111,"Apraxia, Ideational",Diseases Category,MeSH
1112,"Apraxias, Ideational",Diseases Category,MeSH
1113,Ideational Apraxias,Diseases Category,MeSH
1114,"Apraxia, Motor",Diseases Category,MeSH
1115,"Apraxias, Motor",Diseases Category,MeSH
1116,Motor Apraxia,Diseases Category,MeSH
1117,Motor Apraxias,Diseases Category,MeSH
1118,"Apraxia, Oral",Diseases Category,MeSH
1119,"Apraxias, Oral",Diseases Category,MeSH
1120,Oral Apraxia,Diseases Category,MeSH
1121,Oral Apraxias,Diseases Category,MeSH
1122,"Dyspraxia, Oral",Diseases Category,MeSH
1123,"Dyspraxias, Oral",Diseases Category,MeSH
1124,Oral Dyspraxia,Diseases Category,MeSH
1125,Oral Dyspraxias,Diseases Category,MeSH
1126,"Apraxia, Verbal",Diseases Category,MeSH
1127,"Apraxias, Verbal",Diseases Category,MeSH
1128,Verbal Apraxia,Diseases Category,MeSH
1129,Verbal Apraxias,Diseases Category,MeSH
1130,"Dyspraxia, Verbal",Diseases Category,MeSH
1131,"Dyspraxias, Verbal",Diseases Category,MeSH
1132,Verbal Dyspraxia,Diseases Category,MeSH
1133,Verbal Dyspraxias,Diseases Category,MeSH
1134,Dressing Apraxia,Diseases Category,MeSH
1135,"Apraxia, Dressing",Diseases Category,MeSH
1136,"Apraxias, Dressing",Diseases Category,MeSH
1137,Dressing Apraxias,Diseases Category,MeSH
1138,Apraxia of Phonation,Diseases Category,MeSH
1139,Phonation Apraxia,Diseases Category,MeSH
1140,Phonation Apraxias,Diseases Category,MeSH
1141,"Apraxia, Gestural",Diseases Category,MeSH
1142,"Apraxias, Gestural",Diseases Category,MeSH
1143,Gestural Apraxia,Diseases Category,MeSH
1144,Gestural Apraxias,Diseases Category,MeSH
1145,Mental Disorder,Psychiatry and Psychology Category,MeSH
1146,Psychiatric Illness,Psychiatry and Psychology Category,MeSH
1147,Psychiatric Illnesses,Psychiatry and Psychology Category,MeSH
1148,Psychiatric Diseases,Psychiatry and Psychology Category,MeSH
1149,Psychiatric Disease,Psychiatry and Psychology Category,MeSH
1150,Mental Illness,Psychiatry and Psychology Category,MeSH
1151,"Illness, Mental",Psychiatry and Psychology Category,MeSH
1152,Mental Illnesses,Psychiatry and Psychology Category,MeSH
1153,Psychiatric Disorders,Psychiatry and Psychology Category,MeSH
1154,Psychiatric Disorder,Psychiatry and Psychology Category,MeSH
1155,Behavior Disorders,Psychiatry and Psychology Category,MeSH
1156,"Diagnosis, Psychiatric",Psychiatry and Psychology Category,MeSH
1157,Psychiatric Diagnosis,Psychiatry and Psychology Category,MeSH
1158,"Mental Disorders, Severe",Psychiatry and Psychology Category,MeSH
1159,"Mental Disorder, Severe",Psychiatry and Psychology Category,MeSH
1160,Severe Mental Disorder,Psychiatry and Psychology Category,MeSH
1161,Severe Mental Disorders,Psychiatry and Psychology Category,MeSH
1162,Anxiety Disorder,Psychiatry and Psychology Category,MeSH
1163,"Disorder, Anxiety",Psychiatry and Psychology Category,MeSH
1164,"Disorders, Anxiety",Psychiatry and Psychology Category,MeSH
1165,"Neuroses, Anxiety",Psychiatry and Psychology Category,MeSH
1166,Anxiety Neuroses,Psychiatry and Psychology Category,MeSH
1167,"Anxiety States, Neurotic",Psychiatry and Psychology Category,MeSH
1168,"Anxiety State, Neurotic",Psychiatry and Psychology Category,MeSH
1169,Neurotic Anxiety State,Psychiatry and Psychology Category,MeSH
1170,Neurotic Anxiety States,Psychiatry and Psychology Category,MeSH
1171,"State, Neurotic Anxiety",Psychiatry and Psychology Category,MeSH
1172,"States, Neurotic Anxiety",Psychiatry and Psychology Category,MeSH
1173,Separation Anxiety,Psychiatry and Psychology Category,MeSH
1174,Separation Anxiety Disorder,Psychiatry and Psychology Category,MeSH
1175,"Anxiety Disorder, Separation",Psychiatry and Psychology Category,MeSH
1176,"Disorder, Neurotic",Psychiatry and Psychology Category,MeSH
1177,"Disorders, Neurotic",Psychiatry and Psychology Category,MeSH
1178,Neurotic Disorder,Psychiatry and Psychology Category,MeSH
1179,Psychoneuroses,Psychiatry and Psychology Category,MeSH
1180,Neuroses,Psychiatry and Psychology Category,MeSH
1181,"Disorder, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1182,"Disorders, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1183,Obsessive Compulsive Disorder,Psychiatry and Psychology Category,MeSH
1184,Obsessive-Compulsive Disorders,Psychiatry and Psychology Category,MeSH
1185,"Neurosis, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1186,"Neuroses, Obsessive-Compulsive",Psychiatry and Psychology Category,MeSH
1187,"Neurosis, Obsessive Compulsive",Psychiatry and Psychology Category,MeSH
1188,Obsessive-Compulsive Neuroses,Psychiatry and Psychology Category,MeSH
1189,Obsessive-Compulsive Neurosis,Psychiatry and Psychology Category,MeSH
1190,Anankastic Personality,Psychiatry and Psychology Category,MeSH
1191,Anankastic Personalities,Psychiatry and Psychology Category,MeSH
1192,"Personalities, Anankastic",Psychiatry and Psychology Category,MeSH
1193,"Personality, Anankastic",Psychiatry and Psychology Category,MeSH
1194,"Disorder, Panic",Psychiatry and Psychology Category,MeSH
1195,"Disorders, Panic",Psychiatry and Psychology Category,MeSH
1196,Panic Disorders,Psychiatry and Psychology Category,MeSH
1197,Panic Attacks,Psychiatry and Psychology Category,MeSH
1198,"Attack, Panic",Psychiatry and Psychology Category,MeSH
1199,"Attacks, Panic",Psychiatry and Psychology Category,MeSH
1200,Panic Attack,Psychiatry and Psychology Category,MeSH
1201,"Disorder, Phobic",Psychiatry and Psychology Category,MeSH
1202,Phobic Disorder,Psychiatry and Psychology Category,MeSH
1203,"Neuroses, Phobic",Psychiatry and Psychology Category,MeSH
1204,Phobic Neuroses,Psychiatry and Psychology Category,MeSH
1205,Phobias,Psychiatry and Psychology Category,MeSH
1206,Phobia,Psychiatry and Psychology Category,MeSH
1207,"Phobia, School",Psychiatry and Psychology Category,MeSH
1208,School Phobia,Psychiatry and Psychology Category,MeSH
1209,Scolionophobia,Psychiatry and Psychology Category,MeSH
1210,Claustrophobia,Psychiatry and Psychology Category,MeSH
1211,Impulse Control Disorders,Psychiatry and Psychology Category,MeSH
1212,"Disorders, Impulse Control",Psychiatry and Psychology Category,MeSH
1213,Impulse-Control Disorders,Psychiatry and Psychology Category,MeSH
1214,Intermittent Explosive Disorder,Psychiatry and Psychology Category,MeSH
1215,"Disorders, Intermittent Explosive",Psychiatry and Psychology Category,MeSH
1216,"Explosive Disorder, Intermittent",Psychiatry and Psychology Category,MeSH
1217,Intermittent Explosive Disorders,Psychiatry and Psychology Category,MeSH
1218,Kleptomania,Psychiatry and Psychology Category,MeSH
1219,"Behavior, Firesetting",Psychiatry and Psychology Category,MeSH
1220,"Behaviors, Firesetting",Psychiatry and Psychology Category,MeSH
1221,Firesetting Behaviors,Psychiatry and Psychology Category,MeSH
1222,Pyromania,Psychiatry and Psychology Category,MeSH
1223,Pyromanias,Psychiatry and Psychology Category,MeSH
1224,Arson,Psychiatry and Psychology Category,MeSH
1225,Arsons,Psychiatry and Psychology Category,MeSH
1226,Gamblings,Psychiatry and Psychology Category,MeSH
1227,"Gambling, Pathological",Psychiatry and Psychology Category,MeSH
1228,"Gamblings, Pathological",Psychiatry and Psychology Category,MeSH
1229,Pathological Gamblings,Psychiatry and Psychology Category,MeSH
1230,"Gambling, Pathologic",Psychiatry and Psychology Category,MeSH
1231,Pathological Gambling,Psychiatry and Psychology Category,MeSH
1232,Trichotillomanias,Psychiatry and Psychology Category,MeSH
1233,Hair Pulling Disorder,Psychiatry and Psychology Category,MeSH
1234,"Disorder, Hair Pulling",Psychiatry and Psychology Category,MeSH
1235,Hair Pulling Disorders,Psychiatry and Psychology Category,MeSH
1236,"Pulling Disorder, Hair",Psychiatry and Psychology Category,MeSH
1237,"Disorder, Dissociative",Psychiatry and Psychology Category,MeSH
1238,"Disorders, Dissociative",Psychiatry and Psychology Category,MeSH
1239,Dissociative Disorder,Psychiatry and Psychology Category,MeSH
1240,Dissociative Reaction,Psychiatry and Psychology Category,MeSH
1241,Dissociative Reactions,Psychiatry and Psychology Category,MeSH
1242,"Reaction, Dissociative",Psychiatry and Psychology Category,MeSH
1243,"Reactions, Dissociative",Psychiatry and Psychology Category,MeSH
1244,"Hysteria, Dissociative",Psychiatry and Psychology Category,MeSH
1245,Dissociative Hysteria,Psychiatry and Psychology Category,MeSH
1246,"Hysterias, Dissociative",Psychiatry and Psychology Category,MeSH
1247,Fugue,Psychiatry and Psychology Category,MeSH
1248,Dissociation,Psychiatry and Psychology Category,MeSH
1249,"Disorder, Dissociative Identity",Psychiatry and Psychology Category,MeSH
1250,"Identity Disorder, Dissociative",Psychiatry and Psychology Category,MeSH
1251,Multiple Personality Disorder,Psychiatry and Psychology Category,MeSH
1252,"Disorder, Multiple Personality",Psychiatry and Psychology Category,MeSH
1253,Multiple Personality Disorders,Psychiatry and Psychology Category,MeSH
1254,"Personality Disorder, Multiple",Psychiatry and Psychology Category,MeSH
1255,"Personality Disorders, Multiple",Psychiatry and Psychology Category,MeSH
1256,Multiple Identity Disorder,Psychiatry and Psychology Category,MeSH
1257,"Disorder, Multiple Identity",Psychiatry and Psychology Category,MeSH
1258,"Identity Disorder, Multiple",Psychiatry and Psychology Category,MeSH
1259,Multiple Identity Disorders,Psychiatry and Psychology Category,MeSH
1260,Multiple Personalities,Psychiatry and Psychology Category,MeSH
1261,Multiple Personality,Psychiatry and Psychology Category,MeSH
1262,"Personalities, Multiple",Psychiatry and Psychology Category,MeSH
1263,"Personality, Multiple",Psychiatry and Psychology Category,MeSH
1264,Dual Personality,Psychiatry and Psychology Category,MeSH
1265,"Personalities, Dual",Psychiatry and Psychology Category,MeSH
1266,"Personality, Dual",Psychiatry and Psychology Category,MeSH
1267,"Disorder, Elimination",Psychiatry and Psychology Category,MeSH
1268,"Disorders, Elimination",Psychiatry and Psychology Category,MeSH
1269,Elimination Disorder,Psychiatry and Psychology Category,MeSH
1270,Eating and Feeding Disorders,Psychiatry and Psychology Category,MeSH
1271,Feeding Disorders,Psychiatry and Psychology Category,MeSH
1272,"Disorder, Feeding",Psychiatry and Psychology Category,MeSH
1273,"Disorders, Feeding",Psychiatry and Psychology Category,MeSH
1274,Feeding Disorder,Psychiatry and Psychology Category,MeSH
1275,Eating Disorders,Psychiatry and Psychology Category,MeSH
1276,"Disorder, Eating",Psychiatry and Psychology Category,MeSH
1277,"Disorders, Eating",Psychiatry and Psychology Category,MeSH
1278,Eating Disorder,Psychiatry and Psychology Category,MeSH
1279,Appetite Disorders,Psychiatry and Psychology Category,MeSH
1280,Appetite Disorder,Psychiatry and Psychology Category,MeSH
1281,Anorexia Nervosas,Psychiatry and Psychology Category,MeSH
1282,"Nervosa, Anorexia",Psychiatry and Psychology Category,MeSH
1283,"Nervosas, Anorexia",Psychiatry and Psychology Category,MeSH
1284,ARFID,Psychiatry and Psychology Category,MeSH
1285,Food Neophobia,Psychiatry and Psychology Category,MeSH
1286,Food Neophobias,Psychiatry and Psychology Category,MeSH
1287,"Neophobia, Food",Psychiatry and Psychology Category,MeSH
1288,Binge Eating Disorder,Psychiatry and Psychology Category,MeSH
1289,Binge-Eating Disorders,Psychiatry and Psychology Category,MeSH
1290,"Disorder, Binge-Eating",Psychiatry and Psychology Category,MeSH
1291,"Disorders, Binge-Eating",Psychiatry and Psychology Category,MeSH
1292,"Nervosa, Bulimia",Psychiatry and Psychology Category,MeSH
1293,Eating Disorder Diabetes Mellitus Type 1,Psychiatry and Psychology Category,MeSH
1294,Childhood Eating and Feeding Disorders,Psychiatry and Psychology Category,MeSH
1295,Food Addictions,Psychiatry and Psychology Category,MeSH
1296,Compulsive Eating,Psychiatry and Psychology Category,MeSH
1297,"Eating, Compulsive",Psychiatry and Psychology Category,MeSH
1298,"Eating Syndrome, Night",Psychiatry and Psychology Category,MeSH
1299,"Eating Syndromes, Night",Psychiatry and Psychology Category,MeSH
1300,Night Eating Syndromes,Psychiatry and Psychology Category,MeSH
1301,"Nervosa, Orthorexia",Psychiatry and Psychology Category,MeSH
